move_effect_id,local_language_id,short_effect,effect
58,9,User becomes a copy of the target until it leaves battle.,"User copies the target's species, weight, type, [ability], [calculated stats] (except [HP]), and moves.  Copied moves will all have 5 [PP] remaining.  [IV] are copied for the purposes of hidden-power, but stats are not recalculated.

choice-band, choice-scarf, and choice-specs stay in effect, and the user must select a new move.

This move cannot be copied by mirror-move, nor forced by encore."
59,9,Lowers the target's Attack by two stages.,Lowers the target's [Attack] by two [stages].
60,9,Lowers the target's Defense by two stages.,Lowers the target's [Defense] by two [stages].
61,9,Lowers the target's Speed by two stages.,Lowers the target's [Speed] by two [stages].
63,9,Lowers the target's Special Defense by two stages.,Lowers the target's [Special Defense] by two [stages].
66,9,Reduces damage from physical attacks by half.,"Erects a barrier around the user's side of the field that reduces damage from [physical] attacks by half for five turns.  In double battles, the reduction is 1/3.  [Critical hit] are not affected by the barrier.

If the user is holding light-clay, the barrier lasts for eight turns.

brick-break or defog used by an opponent will destroy the barrier."
67,9,Poisons the target.,[Poisons] the target.
68,9,Paralyzes the target.,[Paralyzes] the target.
69,9,Has a $effect_chance% chance to lower the target's Attack by one stage.,Inflicts [regular damage].  Has a $effect_chance% chance to lower the target's [Attack] by one [stage].
70,9,Has a $effect_chance% chance to lower the target's Defense by one stage.,Inflicts [regular damage].  Has a $effect_chance% chance to lower the target's [Defense] by one [stage].
71,9,Has a $effect_chance% chance to lower the target's Speed by one stage.,Inflicts [regular damage].  Has a $effect_chance% chance to lower the target's [Speed] by one [stage].
72,9,Has a $effect_chance% chance to lower the target's Special Attack by one stage.,Inflicts [regular damage].  Has a $effect_chance% chance to lower the target's [Special Attack] by one [stage].
73,9,Has a $effect_chance% chance to lower the target's Special Defense by one stage.,Inflicts [regular damage].  Has a $effect_chance% chance to lower the target's [Special Defense] by one [stage].
74,9,Has a $effect_chance% chance to lower the target's accuracy by one stage.,Inflicts [regular damage].  Has a $effect_chance% chance to lower the target's [accuracy] by one [stage].
76,9,User charges for one turn before attacking.  Has a $effect_chance% chance to make the target flinch.,"Inflicts [regular damage].  User charges for one turn before attacking.  [Critical hit chance]-chance is one level higher than normal.  Has a $effect_chance% chance to make the target [flinch].

This move cannot be selected by sleep-talk."
77,9,Has a $effect_chance% chance to confuse the target.,Inflicts [regular damage].  Has a $effect_chance% chance to [confuse] the target.
78,9,Hits twice in the same turn.  Has a $effect_chance% chance to poison the target.,Inflicts [regular damage].  Hits twice in the same turn.  Has a $effect_chance% chance to [poison] the target.
79,9,Never misses.,Inflicts [regular damage].  Ignores [accuracy] and [evasion] modifiers.
80,9,"Transfers 1/4 of the user's max HP into a doll, protecting the user from further damage or status changes until it breaks.","Transfers 1/4 the user's max [HP] into a doll that absorbs damage and causes most negative move effects to [fail].  If the user leaves the [field], the doll will vanish.  If the user cannot pay the [HP] cost, this move will fail.

The doll takes damage as normal, using the user's stats and types, and will break when its [HP] reaches zero.  Self-inflicted damage from [confusion] or recoil is not absorbed.  Healing effects from opponents ignore the doll and heal the user as normal.  Moves that work based on the user's [HP] still do so; the doll's [HP] does not influence any move.

The doll will block [major status effect]-effects, [confusion], and [flinch].  The effects of smelling-salts and wake-up-slap do not trigger against a doll, even if the Pokémon behind the doll has the appropriate [major status effect]-effect.  Multi-turn trapping moves like wrap will hit the doll for their [regular damage], but the multi-turn trapping and damage effects will not activate.

Moves blocked or damage absorbed by the doll do not count as hitting the user or inflicting damage for any effects that respond to such, e.g., avalanche, counter, or a rowap-berry.  magic-coat still works as normal, even against moves the doll would block.  Opposing Pokémon that damage the doll with a leech move like absorb are healed as normal.

It will also block acupressure, block, the curse effect of curse, dream-eater, embargo, flatter, gastro-acid, grudge, heal-block, leech-seed, lock-on, mean-look, mimic, mind-reader, nightmare, pain-split, psycho-shift, spider-web, sketch, swagger, switcheroo, trick, worry-seed, and yawn.  A Pokémon affected by yawn before summoning the doll will still fall to [sleep].

The doll blocks intimidate, but all other abilities act as though the doll did not exist.  If the user has an ability that absorbs moves of a certain type for [HP] (such as volt-absorb absorbing thunder-wave), such moves will not be blocked.

life-orb and berries that cause [confusion] still work as normal, but their respective [HP] loss and [confusion] are absorbed/blocked by the doll.

The user is still vulnerable to damage inflicted when entering or leaving the [field], such as by pursuit or spikes; however, the doll will block the [poison] effect of toxic-spikes.

The doll is passed on by baton-pass.  It keeps its existing [HP], but uses the replacement Pokémon's stats and types for damage calculation.

All other effects work as normal."
81,9,User foregoes its next turn to recharge.,"Inflicts [regular damage].  User loses its next turn to ""recharge"", and cannot attack or [switch] out during that turn."
82,9,"If the user is hit after using this move, its Attack rises by one stage.","Inflicts [regular damage].  Every time the user is hit after it uses this move but before its next action, its [Attack] raises by one [stage]."
83,9,Copies the target's last used move.,"This move is replaced by the target's last successfully used move, and its PP changes to 5.  If the target hasn't used a move since entering the field, if it tried to use a move this turn and [failed], or if the user already knows the targeted move, this move will fail.  This effect vanishes when the user leaves the field.

If chatter, metronome, mimic, sketch, or struggle is selected, this move will [fail].

This move cannot be copied by mirror-move, nor selected by assist or metronome, nor forced by encore."
84,9,Randomly selects and uses any move in the game.,"Selects any move at random and uses it.  Moves the user already knows are not eligible.  Assist, meta, protection, and reflection moves are also not eligible; specifically, assist, chatter, copycat, counter, covet, destiny-bond, detect, endure, feint, focus-punch, follow-me, helping-hand, me-first, metronome, mimic, mirror-coat, mirror-move, protect, quick-guard, sketch, sleep-talk, snatch, struggle, switcheroo, thief, trick, and wide-guard will not be selected by this move.

This move cannot be copied by mimic or mirror-move, nor selected by assist, metronome, or sleep-talk."
85,9,"Seeds the target, stealing HP from it every turn.","Plants a seed on the target that [drains] 1/8 of its max [HP] at the end of every turn and heals the user for the amount taken.  Has no effect on grass Pokémon.  The seed remains until the target leaves the field.

The user takes damage instead of being healed if the target has liquid-ooze.

rapid-spin will remove this effect.

This effect is passed on by baton-pass."
86,9,Does nothing.,"Does nothing.

This move cannot be used while gravity is in effect."
87,9,Disables the target's last used move for 1-8 turns.,"Disables the target's last used move, preventing its use for 4–7 turns, selected at random, or until the target leaves the [field].  If the target hasn't used a move since entering the [field], if it tried to use a move this turn and [failed],  if its last used move has 0 PP remaining, or if it already has a move disabled, this move will fail."
88,9,Inflicts damage equal to the user's level.,"Inflicts damage equal to the user's level.  Type immunity applies, but other type effects are ignored."
89,9,Inflicts damage between 50% and 150% of the user's level.,"Inflicts [typeless] damage between 50% and 150% of the user's level, selected at random in increments of 10%."
90,9,Inflicts twice the damage the user received from the last physical hit it took.,"Targets the last opposing Pokémon to hit the user with a [physical] move this turn.  Inflicts twice the damage that move did to the user.  If there is no eligible target, this move will [fail].  Type immunity applies, but other type effects are ignored.

This move cannot be copied by mirror-move, nor selected by assist or metronome."
91,9,Forces the target to repeat its last used move every turn for 2 to 6 turns.,"The next 4–8 times (selected at random) the target attempts to move, it is forced to repeat its last used move.  If the selected move allows the trainer to select a target, an opponent will be selected at random each turn.  If the target is prevented from using the selected move by some other effect, struggle will be used instead.  This effect ends if the selected move runs out of [PP].

If the target hasn't used a move since entering the [field], if it tried to use a move this turn and [failed], if it does not know the selected move, or if the selected move has 0 [PP] remaining, this move will fail.  If the target's last used move was encore, mimic, mirror-move, sketch, struggle, or transform, this move will fail."
92,9,Sets the user's and targets's HP to the average of their current HP.,"Changes the user's and target's remaining [HP] to the average of their current remaining [HP].  Ignores [accuracy] and [evasion] modifiers.  This effect does not count as inflicting damage for other moves and effects that respond to damage taken.

This effect [fail] against a substitute."
93,9,Has a $effect_chance% chance to make the target flinch.  Only works if the user is sleeping.,Only usable if the user is [sleep].  Inflicts [regular damage].  Has a $effect_chance% chance to make the target flinch.
94,9,Changes the user's type to a random type either resistant or immune to the last move used against it.,"Changes the user's type to a type either resistant or immune to the last damaging move that hit it.  The new type is selected at random and cannot be a type the user already is.  If there is no eligible new type, this move will [fail]."
95,9,Ensures that the user's next move will hit the target.,"If the user targets the same target again before the end of the next turn, the move it uses is guaranteed to hit.  This move itself also ignores [accuracy] and [evasion] modifiers.

One-hit KO moves are also guaranteed to hit, as long as the user is equal or higher level than the target.  This effect also allows the user to hit Pokémon that are off the field due to moves such as dig or fly.

If the target uses detect or protect while under the effect of this move, the user is not guaranteed to hit, but has a (100 - accuracy)% chance to break through the protection.

This effect is passed on by baton-pass."
96,9,Permanently becomes the target's last used move.,"Permanently replaces itself with the target's last used move.  If that move is chatter or struggle, this move will [fail].

This move cannot be copied by mimic or mirror-move, nor selected by assist or metronome, nor forced by encore."
98,9,Randomly uses one of the user's other three moves.  Only works if the user is sleeping.,"Only usable if the user is [sleep].  Randomly selects and uses one of the user's other three moves.  Use of the selected move requires and costs 0 [PP].

This move will not select assist, bide, bounce, chatter, copycat, dig, dive, fly, focus-punch, me-first, metronome, mirror-move, shadow-force, skull-bash, sky-attack, sky-drop, sleep-talk, solar-beam, razor-wind, or uproar.

If the selected move requires a recharge turn—i.e., one of blast-burn, frenzy-plant, giga-impact, hydro-cannon, hyper-beam, roar-of-time, or rock-wrecker—and the user is still [sleep] next turn, then it's forced to use this move again and pay another [PP] for the recharge turn.

This move cannot be copied by mirror-move, nor selected by assist, metronome, or sleep-talk."
99,9,"If the user faints this turn, the target automatically will, too.","If the user [faints] before its next move, the Pokémon that [faint] it will automatically [faint].  End-of-turn damage is ignored.

This move cannot be selected by assist or metronome."
100,9,"Inflicts more damage when the user has less HP remaining, with a maximum of 200 power.","Inflicts [regular damage].  Power varies inversely with the user's proportional remaining [HP].

64 * current HP / max HP | Power
-----------------------: | ----:
 0– 1                    |  200
 2– 5                    |  150
 6–12                    |  100
13–21                    |   80
22–42                    |   40
43–64                    |   20
"
101,9,Lowers the PP of the target's last used move by 4.,"Lowers the PP of the target's last used move by 4.  If the target hasn't used a move since entering the [field], if it tried to use a move this turn and [failed], or if its last used move has 0 PP remaining, this move will fail."
102,9,Cannot lower the target's HP below 1.,Inflicts [regular damage].  Will not reduce the target's [HP] below 1.
103,9,Cures the entire party of major status effects.,Removes [major status effects]-effects and [confusion] from every Pokémon in the user's party.
104,9,Inflicts regular damage with no additional effect.,Inflicts [regular damage].
105,9,"Hits three times, increasing power by 100% with each successful hit.","Inflicts [regular damage].  Hits three times in the same turn.  The second hit has double power, and the third hit has triple power.  Each hit has a separate [accuracy] check, and this move stops if a hit misses.

skill-link does not apply."
106,9,Takes the target's item.,"Inflicts [regular damage].  If the target is holding an item and the user is not, the user will permanently take the item.  Damage is still inflicted if an item cannot be taken.

Pokémon with sticky-hold or multitype are immune to the item theft effect.

The target cannot recover its item with recycle.

This move cannot be selected by assist or metronome."
107,9,Prevents the target from leaving battle.,"The target cannot [switch out] normally.  Ignores [accuracy] and [evasion] modifiers.  This effect ends when the user leaves the [field].

The target may still escape by using baton-pass, u-turn, or a shed-shell.

Both the user and the target pass on this effect with baton-pass."
108,9,Target loses 1/4 its max HP every turn as long as it's asleep.,"Only works on [sleep] Pokémon.  Gives the target a nightmare, damaging it for 1/4 its max [HP] every turn.  If the target wakes up or leaves the [field], this effect ends."
109,9,Raises the user's evasion by two stages.,"Raises the user's [evasion] by two [stages].

stomp and steamroller have double power against Pokémon that have used this move since entering the [field]."
110,9,Ghosts pay half their max HP to hurt the target every turn.  Others decrease Speed but raise Attack and Defense.,"If the user is a ghost: user pays half its max [HP] to place a curse on the target, damaging it for 1/4 its max [HP] every turn.
Otherwise: Lowers the user's [Speed] by one [stage], and raises its [Attack] and [Defense] by one [stage] each.

The curse effect is passed on by baton-pass.

This move cannot be copied by mirror-move."
112,9,Prevents any moves from hitting the user this turn.,"No moves will hit the user for the remainder of this turn.  If the user is last to act this turn, this move will [fail].

If the user successfully used detect, endure, protect, quick-guard, or wide-guard on the last turn, this move has a 50% chance to [fail].

lock-on, mind-reader, and no-guard provide a (100 – accuracy)% chance for moves to break through this move.  This does not apply to one-hit KO moves (fissure, guillotine, horn-drill, and sheer-cold); those are always blocked by this move.

thunder during rain-dance and blizzard during hail have a 30% chance to break through this move.

The following effects are not prevented by this move:

* acupressure from an ally
* curse's curse effect
* Delayed damage from doom-desire and future-sight; however, these moves will be prevented if they are used this turn
* feint, which will also end this move's protection after it hits
* imprison
* perish-song
* shadow-force
* Moves that merely copy the user, such as transform or psych-up

This move cannot be selected by assist or metronome."
113,9,"Scatters Spikes, hurting opposing Pokémon that switch in.","Scatters spikes around the opposing [field], which damage opposing Pokémon that enter the [field] for 1/8 of their max [HP].  Pokémon immune to ground moves are immune to this damage, except during gravity.  Up to three layers of spikes may be laid down, adding 1/16 to the damage done: two layers of spikes damage for 3/16 max [HP], and three layers damage for 1/4 max [HP].

wonder-guard does not block damage from this effect.

rapid-spin removes this effect from its user's side of the [field].  defog removes this effect from its target's side of the [field]."
114,9,"Forces the target to have no Evade, and allows it to be hit by Normal and Fighting moves even if it's a Ghost.",Resets the target's [evasion] to normal and prevents any further boosting until the target leaves the [field].  A ghost under this effect takes normal damage from normal and fighting moves.  This move itself ignores [accuracy] and [evasion] modifiers.
115,9,User and target both faint after three turns.,"Every Pokémon is given a counter that starts at 3 and decreases by 1 at the end of every turn, including this one.  When a Pokémon's counter reaches zero, that Pokémon [faint].  A Pokémon that leaves the [field] will lose its counter; its replacement does not inherit the effect, and other Pokémon's counters remain.

This effect is passed on by baton-pass.

This move cannot be copied by mirror-move."
116,9,Changes the weather to a sandstorm for five turns.,"Changes the weather to a sandstorm for five turns.  Pokémon that are not ground, rock, or steel take 1/16 their max [HP] at the end of every turn.  Every rock Pokémon's original [Special Defense] is raised by 50% for the duration of this effect.

solar-beam's power is halved.

moonlight, morning-sun, and synthesis only heal 1/4 the user's max [HP]."
117,9,Prevents the user's HP from lowering below 1 this turn.,"The user's [HP] cannot be lowered below 1 by any means for the remainder of this turn.

If the user successfully used detect, endure, protect, quick-guard, or wide-guard on the last turn, this move has a 50% chance to [fail].

This move cannot be selected by assist or metronome."
118,9,"Power doubles every turn this move is used in succession after the first, resetting after five turns.","Inflicts [regular damage].  User is forced to use this move for five turns.  Power doubles every time this move is used in succession to a maximum of 16x, and resets to normal after the lock-in ends.  If this move misses or becomes unusable, the lock-in ends.

If the user has used defense-curl since entering the field, this move has double power."
119,9,Raises the target's Attack by two stages and confuses the target.,"Raises the target's [Attack] by two [stages], then [confuses] it.  If the target's [Attack] cannot be [raised] by two [stages], the [confusion] is not applied."
120,9,"Power doubles every turn this move is used in succession after the first, maxing out after five turns.","Inflicts [regular damage].  Power doubles after every time this move is used, whether consecutively or not, maxing out at 16x.  If this move misses or the user leaves the [field], power resets."
121,9,"Target falls in love if it has the opposite gender, and has a 50% chance to refuse attacking the user.","Causes the target to fall in love with the user, giving it a 50% chance to do nothing each turn.  If the user and target are the same gender, or either is genderless, this move will [fail].  If either Pokémon leaves the [field], this effect ends."
122,9,"Power increases with happiness, up to a maximum of 102.","Inflicts [regular damage].  Power increases with [happiness], given by `happiness * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
123,9,Randomly inflicts damage with power from 40 to 120 or heals the target for 1/4 its max HP.,"Randomly uses one of the following effects.

Effect                                             | Chance
-------------------------------------------------- | -----:
Inflicts [regular damage] with 40 power  |    40%
Inflicts [regular damage] with 80 power  |    30%
Inflicts [regular damage] with 120 power |    10%
Heals the target for 1/4 its max [HP]    |    20%

On average, this move inflicts [regular damage] with 52 power and heals the target for 1/20 its max [HP]."
124,9,"Power increases as happiness decreases, up to a maximum of 102.","Inflicts [regular damage].  Power increases inversely with [happiness], given by `(255 - happiness) * 2 / 5`, to a maximum of 102.  Power bottoms out at 1."
125,9,Protects the user's field from major status ailments and confusion for five turns.,"Protects Pokémon on the user's side of the [field] from [major status] effects and [confusion] for five turns.  Does not cancel existing ailments.  This effect remains even if the user leaves the [field].

If yawn is used while this move is in effect, it will immediately [fail].

defog used by an opponent will end this effect.

This effect does not prevent the [confusion] caused by outrage, petal-dance, or thrash."
126,9,Has a $effect_chance% chance to [burn] the target.  Lets frozen Pokémon thaw themselves.,"Inflicts [regular damage].  Has a $effect_chance% chance to [burn] the target.  [Frozen] Pokémon may use this move, in which case they will thaw."
127,9,Power varies randomly from 10 to 150.,"Inflicts [regular damage].  Power is selected at random between 10 and 150, with an average of 71:

Magnitude | Power | Chance
--------: | ----: | -----:
        4 |    10 |     5%
        5 |    30 |    10%
        6 |    50 |    20%
        7 |    70 |    30%
        8 |    90 |    20%
        9 |   110 |    10%
       10 |   150 |     5%

This move has double power against Pokémon currently underground due to dig."
128,9,Allows the trainer to switch out the user and pass effects along to its replacement.,"User [switches out], and the trainer selects a replacement Pokémon from the party.  [Stat] changes, [confusion], and persistent move effects are passed along to the replacement Pokémon.

The following move effects are passed:

* aqua-ring
* both the user's and target's effect of block, mean-look, and spider-web
* the curse effect of curse
* embargo
* focus-energy or an activated lansat-berry
* gastro-acid
* ingrain
* being sapped by leech-seed
* being targeted by lock-on or mind-reader
* magnet-rise
* perish-song's counter
* power-trick
* substitute; the doll's HP is unchanged

The replacement Pokémon does not trigger effects that respond to Pokémon switching in."
129,9,"Has double power against, and can hit, Pokémon attempting to switch out.","Inflicts [regular damage].  If the target attempts to [switch out] this turn before the user acts, this move hits the target before it leaves and has double power.

This effect can still hit a Pokémon that [switches out] when it has a substitute up or when an ally has used follow-me."
130,9,"Frees the user from binding moves, removes Leech Seed, and blows away Spikes.","Inflicts [regular damage].  Removes leech-seed from the user, frees the user from bind, clamp, fire-spin, magma-storm, sand-tomb, whirlpool, and wrap, and clears spikes, stealth-rock, and toxic-spikes from the user's side of the [field].  If this move misses or has [no effect], its effect doesn't activate."
131,9,Inflicts 20 points of damage.,Inflicts exactly 20 damage.
133,9,Heals the user by half its max HP.  Affected by weather.,"Heals the user for half its max [HP].

During sunny-day, the healing is increased to 2/3 max [HP].

During hail, rain-dance, or sandstorm, the healing is decreased to 1/4 max [HP]."
136,9,Power and type depend upon user's IVs.  Power can range from 30 to 70.,"Inflicts [regular damage].  Power and type are determined by the user's [IV].

Power is given by `x * 40 / 63 + 30`.  `x` is obtained by arranging bit 1 from the [IV] for each of [Special Defense], [Special Attack], [Speed], [Defense], [Attack], and [HP] in that order.  (Bit 1 is 1 if the [IV] is of the form `4n + 2` or `4n + 3`.  `x` is then 64 * [Special Defense] [IV] bit 1, plus 32 * [Special Attack] [IV] bit 1, etc.)

Power is always between 30 and 70, inclusive.  Average power is 49.5.

Type is given by `y * 15 / 63`, where `y` is similar to `x` above, except constructed from bit 0.  (Bit 0 is 1 if the [IV] is odd.)  The result is looked up in the following table.

Value | Type
----: | --------
    0 | fighting
    1 | flying
    2 | poison
    3 | ground
    4 | rock
    5 | bug
    6 | ghost
    7 | steel
    8 | fire
    9 | water
   10 | grass
   11 | electric
   12 | psychic
   13 | ice
   14 | dragon
   15 | dark

This move thus cannot be normal.  Most other types have an equal 1/16 chance to be selected, given random [IV].  However, due to the flooring used here, bug, fighting, and grass appear 5/64 of the time, and dark only 1/64 of the time."
137,9,Changes the weather to rain for five turns.,"Changes the weather to rain for five turns, during which water moves inflict 50% extra damage, and fire moves inflict half damage.

If the user is holding damp-rock, this effect lasts for eight turns.

thunder has 100% accuracy.  If the target has used detect or protect, thunder has a (100 - accuracy)% chance to break through the protection.

solar-beam has half power.

moonlight, morning-sun, and synthesis heal only 1/4 of the user's max [HP].

Pokémon with swift-swim have doubled original [Speed].

Pokémon with forecast become water.

Pokémon with dry-skin heal 1/8 max [HP], Pokémon with hydration are cured of [major status effects]-effects, and Pokémon with rain-dish heal 1/16 max [HP] at the end of each turn."
138,9,Changes the weather to sunny for five turns.,"Changes the weather to sunshine for five turns, during which fire moves inflict 50% extra damage, and water moves inflict half damage.

If the user is holding heat-rock, this effect lasts for eight turns.

Pokémon cannot become [frozen].

thunder has 50% accuracy.

solar-beam skips its charge turn.

moonlight, morning-sun, and synthesis heal 2/3 of the user's max [HP].

Pokémon with chlorophyll have doubled original [Speed].

Pokémon with forecast become fire.

Pokémon with leaf-guard are not affected by [major status effects]-effects.

Pokémon with flower-gift change form; every Pokémon on their side of the [field] have their original [Attack] and [Special Attack] increased by 50%.

Pokémon with dry-skin lose 1/8 max [HP] at the end of each turn.

Pokémon with solar-power have their original [Special Attack] raised by 50% but lose 1/8 their max [HP] at the end of each turn."
