ability_id,version_group_id,language_id,flavor_text
5,16,3,"일격으로
쓰러지지 않는다."
5,16,5,"Protège des capacités mettant
K.O. en un coup."
5,16,6,Bietet Schutz gegen K.O.-Treffer.
5,16,7,"Evita que el rival pueda debilitarle
de un solo golpe."
5,16,8,"Evita che il Pokémon vada KO
in un sol colpo."
5,16,9,"It cannot be knocked
out with one hit."
5,16,11,"一撃で　倒されない。
"
6,5,9,Prevents self-destruction.
6,6,9,Prevents self-destruction.
6,7,9,Prevents self-destruction.
6,8,9,"Prevents combatants from
self destructing."
6,9,9,"Prevents combatants from
self destructing."
6,10,9,"Prevents combatants
from self-destructing."
6,11,5,"Empêche les combattants
de s’autodétruire."
6,11,9,"Prevents the use of
self-destructing moves."
6,14,9,"Prevents the use of
self-destructing moves."
6,15,1,"だれも　ばくはつが
できなくなる。"
6,15,3,"누구도 폭발
할 수 없게 된다."
6,15,5,"Empêche les combattants de
s’autodétruire."
6,15,6,"Hält alle Pokémon davon ab,
zu explodieren."
6,15,7,"Evita que un Pokémon pueda
autodestruirse."
6,15,8,"Impedisce le mosse
autodistruttive."
6,15,9,"Prevents the use of
self-destructing moves."
6,15,11,"だれも　爆発が
できなくなる。"
6,16,1,"だれも　ばくはつが
できなくなる。"
6,16,3,"누구도 폭발
할 수 없게 된다."
6,16,5,"Empêche les combattants de
s’autodétruire."
6,16,6,"Hält alle Pokémon davon ab,
zu explodieren."
6,16,7,"Evita que un Pokémon pueda
autodestruirse."
6,16,8,"Impedisce le mosse
autodistruttive."
6,16,9,"Prevents the use of
self-destructing moves."
6,16,11,"だれも　爆発が
できなくなる。"
7,5,9,Prevents paralysis.
7,6,9,Prevents paralysis.
7,7,9,Prevents paralysis.
7,8,9,"The Pokémon is protected
from paralysis."
7,9,9,"The Pokémon is protected
from paralysis."
7,10,9,"The Pokémon is protected
from paralysis."
7,11,5,"Protège le Pokémon de
la paralysie."
7,11,9,"The Pokémon is protected
from paralysis."
7,14,9,"The Pokémon is protected
from paralysis."
7,15,1,"まひ　じょうたいに
ならない。"
7,15,3,"마비 상태가
되지 않는다."
7,15,5,"Protège le Pokémon de la
paralysie."
7,15,6,Verhindert Paralyse.
7,15,7,Evita ser paralizado.
7,15,8,"Il Pokémon è protetto contro
la paralisi."
7,15,9,"Protects the Pokémon
from paralysis."
7,15,11,"まひ状態に
ならない。"
7,16,1,"まひ　じょうたいに
ならない。"
7,16,3,"마비 상태가
되지 않는다."
7,16,5,"Protège le Pokémon de la
paralysie."
7,16,6,Verhindert Paralyse.
7,16,7,Evita ser paralizado.
7,16,8,"Il Pokémon è protetto contro
la paralisi."
7,16,9,"Protects the Pokémon
from paralysis."
7,16,11,"まひ状態に
ならない。"
8,5,9,Ups evasion in a sandstorm.
8,6,9,Ups evasion in a sandstorm.
8,7,9,Ups evasion in a sandstorm.
8,8,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,9,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,10,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,11,5,"Augmente l’Esquive lors
des tempêtes de sable."
8,11,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,14,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,15,1,"すなあらしで
かいひりつが　あがる。"
8,15,3,"모래바람으로
회피율이 올라간다."
8,15,5,"Augmente l’Esquive lors des
tempêtes de sable."
8,15,6,"Erhöht in Sandstürmen
den Fluchtwert."
8,15,7,"Aumenta la Evasión en las
tormentas de arena."
8,15,8,"L’elusione aumenta durante
le tempeste di sabbia."
8,15,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,15,11,"砂あらしで
回避率が　あがる。"
8,16,1,"すなあらしで
かいひりつが　あがる。"
8,16,3,"모래바람으로
회피율이 올라간다."
8,16,5,"Augmente l’Esquive lors des
tempêtes de sable."
8,16,6,"Erhöht in Sandstürmen
den Fluchtwert."
8,16,7,"Aumenta la Evasión en las
tormentas de arena."
8,16,8,"L’elusione aumenta durante
le tempeste di sabbia."
8,16,9,"Boosts the Pokémon’s
evasion in a sandstorm."
8,16,11,"砂あらしで
回避率が　あがる。"
9,5,9,Paralyzes on contact.
9,6,9,Paralyzes on contact.
9,7,9,Paralyzes on contact.
9,8,9,"Contact with the Pokémon
may cause paralysis."
9,9,9,"Contact with the Pokémon
may cause paralysis."
9,10,9,"Contact with the Pokémon
may cause paralysis."
9,11,5,"Un contact avec le
Pokémon peut paralyser."
9,11,9,"Contact with the Pokémon
may cause paralysis."
9,14,9,"Contact with the Pokémon
may cause paralysis."
9,15,1,"さわった　あいてを
まひさせる　ことがある。"
9,15,3,"접촉한 상대를
마비시킬 때가 있다."
9,15,5,"Un contact avec le Pokémon
peut paralyser."
9,15,6,Kann bei Berührung paralysieren.
9,15,7,"Puede paralizar al mínimo
contacto."
9,15,8,"Il contatto fisico con il Pokémon
può causare paralisi."
9,15,9,"Contact with the Pokémon
may cause paralysis."
9,15,11,"触った　相手を
まひさせる　ことがある。"
9,16,1,"さわった　あいてを
まひさせる　ことがある。"
9,16,3,"접촉한 상대를
마비시킬 때가 있다."
9,16,5,"Un contact avec le Pokémon
peut paralyser."
9,16,6,Kann bei Berührung paralysieren.
9,16,7,"Puede paralizar al mínimo
contacto."
9,16,8,"Il contatto fisico con il Pokémon
può causare paralisi."
9,16,9,"Contact with the Pokémon
may cause paralysis."
9,16,11,"触った　相手を
まひさせる　ことがある。"
10,5,9,Turns electricity into HP.
10,6,9,Turns electricity into HP.
10,7,9,Turns electricity into HP.
10,8,9,"Restores HP if hit by an
Electric-type move."
10,9,9,"Restores HP if hit by an
Electric-type move."
10,10,9,"Restores HP if hit by an
Electric-type move."
10,11,5,"Récupère des PV si touché
par une capacité Électrik."
10,11,9,"Restores HP if hit by an
Electric-type move."
10,14,9,"Restores HP if hit by an
Electric-type move."
10,15,1,"でんきを　うけると
かいふくする。"
10,15,3,"전기를 받으면
회복한다."
10,15,5,"Récupère des PV si touché par
une capacité Électrik."
10,15,6,"Treffer durch Elektro-Attacken
regenerieren KP."
10,15,7,"Recupera PS al recibir ataques de
tipo Eléctrico."
10,15,8,"Ridà PS se il Pokémon subisce
una mossa di tipo Elettro."
10,15,9,"Restores HP if hit by an
Electric-type move."
10,15,11,"でんきを　受けると
回復する。"
10,16,1,"でんきを　うけると
かいふくする。"
10,16,3,"전기를 받으면
회복한다."
10,16,5,"Récupère des PV si touché par
une capacité Électrik."
10,16,6,"Treffer durch Elektro-Attacken
regenerieren KP."
10,16,7,"Recupera PS al recibir ataques de
tipo Eléctrico."
10,16,8,"Ridà PS se il Pokémon subisce
una mossa di tipo Elettro."
10,16,9,"Restores HP if hit by an
Electric-type move."
10,16,11,"でんきを　受けると
回復する。"
11,5,9,Changes water into HP.
11,6,9,Changes water into HP.
11,7,9,Changes water into HP.
11,8,9,"Restores HP if hit by a
Water-type move."
11,9,9,"Restores HP if hit by a
Water-type move."
11,10,9,"Restores HP if hit by a
Water-type move."
11,11,5,"Récupère des PV si touché
par une capacité Eau."
11,11,9,"Restores HP if hit by a
Water-type move."
11,14,9,"Restores HP if hit by a
Water-type move."
11,15,1,"みずを　うけると
かいふくする。"
11,15,3,"물을 받으면
회복한다."
11,15,5,"Récupère des PV si touché par
une capacité Eau."
11,15,6,"Treffer durch Wasser-Attacken
regenerieren KP."
11,15,7,"Recupera PS al recibir ataques de
tipo Agua."
11,15,8,"Ridà PS se il Pokémon subisce
una mossa di tipo Acqua."
11,15,9,"Restores HP if hit by a
Water-type move."
11,15,11,"みずを　受けると
回復する。"
11,16,1," ずを　うけると
かいふくする。"
11,16,3,"물을 받으면
회복한다."
11,16,5,"Récupère des PV si touché par
une capacité Eau."
11,16,6,"Treffer durch Wasser-Attacken
regenerieren KP."
11,16,7,"Recupera PS al recibir ataques de
tipo Agua."
11,16,8,"Ridà PS se il Pokémon subisce
una mossa di tipo Acqua."
11,16,9,"Restores HP if hit by a
Water-type move."
11,16,11," ずを　受けると
回復する。"
12,5,9,Prevents attraction.
12,6,9,Prevents attraction.
12,7,9,Prevents attraction.
12,8,9,"Prevents the Pokémon
from becoming infatuated."
12,9,9,"Prevents the Pokémon
from becoming infatuated."
12,10,9,"Prevents it from
becoming infatuated."
12,11,5,"Empêche le Pokémon de
tomber amoureux."
12,11,9,"Prevents it from
becoming infatuated."
12,14,9,"Prevents it from
becoming infatuated."
12,15,1,"メロメロや　ちょうはつ
じょうたいに　ならない。"
12,15,3,"헤롱헤롱이나 도발 상태가
되지 않는다."
12,15,5,"Immunise le Pokémon contre
l’attraction ou la provocation."
12,15,6,"Verhindert, dass das Pokémon
betört oder provoziert wird."
12,15,7,"Evita que el Pokémon sea
atraído o provocado."
12,15,8,"Protegge il Pokémon da
infatuazioni e provocazioni."
12,15,9,"Keeps the Pokémon from being
infatuated or falling for taunts."
12,15,11,"メロメロや　ちょうはつ
状態に　ならない。"
12,16,1,"メロメロや　ちょうはつ
じょうたいに　ならない。"
12,16,3,"헤롱헤롱이나 도발 상태가
되지 않는다."
12,16,5,"Immunise le Pokémon contre
l’attraction ou la provocation."
12,16,6,"Verhindert, dass das Pokémon
betört oder provoziert wird."
12,16,7,"Evita que el Pokémon sea
atraído o provocado."
12,16,8,"Protegge il Pokémon da
infatuazioni e provocazioni."
12,16,9,"Keeps the Pokémon from being
infatuated or falling for taunts."
12,16,11,"メロメロや　ちょうはつ
状態に　ならない。"
13,5,9,Negates weather effects.
13,6,9,Negates weather effects.
13,7,9,Negates weather effects.
13,8,9,"Eliminates the effects of
weather."
13,9,9,"Eliminates the effects of
weather."
13,10,9,"Eliminates the effects of
weather."
13,11,5,"Annule les effets du
climat."
13,11,9,"Eliminates the effects of
weather."
13,14,9,"Eliminates the effects of
weather."
13,15,1,"てんきの　えいきょうが
なくなる。"
13,15,3,"날씨의 영향이
없어진다."
13,15,5,Annule les effets du climat.
13,15,6,Hebt Wetter-Effekte auf.
13,15,7,"Anula los efectos del tiempo
atmosférico."
13,15,8,"Neutralizza gli effetti delle
condizioni atmosferiche."
13,15,9,"Eliminates the effects of
weather."
13,15,11,"天気の　影響が
なくなる。"
13,16,1,"てんきの　えいきょうが
なくなる。"
13,16,3,"날씨의 영향이
없어진다."
13,16,5,Annule les effets du climat.
13,16,6,Hebt Wetter-Effekte auf.
13,16,7,"Anula los efectos del tiempo
atmosférico."
13,16,8,"Neutralizza gli effetti delle
condizioni atmosferiche."
13,16,9,Eliminates the effects of weather.
13,16,11,"天気の　影響が
なくなる。"
14,5,9,Raises accuracy.
14,6,9,Raises accuracy.
14,7,9,Raises accuracy.
14,8,9,"The Pokémon’s accuracy is
boosted."
14,9,9,"The Pokémon’s accuracy is
boosted."
14,10,9,"The Pokémon’s accuracy
is boosted."
14,11,5,"Augmente la Précision du
Pokémon."
14,11,9,"The Pokémon’s accuracy
is boosted."
14,14,9,"The Pokémon’s accuracy
is boosted."
14,15,1,"わざの　めいちゅうりつが
あがる。"
14,15,3,"기술의 명중률이
올라간다."
14,15,5,"Augmente la Précision du
Pokémon."
14,15,6,"Steigert die Genauigkeit
von Attacken."
14,15,7,"Aumenta la Precisión del
Pokémon."
14,15,8,"Aumenta la precisione
del Pokémon."
14,15,9,Boosts the Pokémon’s accuracy.
14,15,11,"技の　命中率が
あがる。"
14,16,1,"わざの　めいちゅうりつが
あがる。"
14,16,3,"기술의 명중률이
올라간다."
14,16,5,"Augmente la Précision du
Pokémon."
14,16,6,"Steigert die Genauigkeit
von Attacken."
14,16,7,"Aumenta la Precisión del
Pokémon."
14,16,8,"Aumenta la precisione
del Pokémon."
14,16,9,Boosts the Pokémon’s accuracy.
14,16,11,"技の　命中率が
あがる。"
15,5,9,Prevents sleep.
15,6,9,Prevents sleep.
15,7,9,Prevents sleep.
15,8,9,"Prevents the Pokémon
from falling asleep."
15,9,9,"Prevents the Pokémon
from falling asleep."
15,10,9,"Prevents the Pokémon
from falling asleep."
15,11,5,"Empêche le Pokémon de
s’endormir."
15,11,9,"Prevents the Pokémon
from falling asleep."
15,14,9,"Prevents the Pokémon
from falling asleep."
15,15,1,"ねむり　じょうたいに
ならない。"
15,15,3,"잠듦 상태가
되지 않는다."
15,15,5,"Empêche le Pokémon de
s’endormir."
15,15,6,Verhindert Einschlafen.
15,15,7,Evita el quedarse dormido.
15,15,8,"Impedisce al Pokémon
di addormentarsi."
15,15,9,"Prevents the Pokémon
from falling asleep."
15,15,11,"ねむり状態に
ならない。"
15,16,1,"ねむり　じょうたいに
ならない。"
15,16,3,"잠듦 상태가
되지 않는다."
15,16,5,"Empêche le Pokémon de
s’endormir."
15,16,6,Verhindert Einschlafen.
15,16,7,Evita el quedarse dormido.
15,16,8,"Impedisce al Pokémon
di addormentarsi."
15,16,9,"Prevents the Pokémon
from falling asleep."
15,16,11,"ねむり状態に
ならない。"
16,5,9,Changes type to foe’s move.
16,6,9,Changes type to foe’s move.
16,7,9,Changes type to foe’s move.
16,8,9,"Changes the Pokémon’s
type to the foe’s move."
16,9,9,"Changes the Pokémon’s
type to the foe’s move."
16,10,9,"Changes the Pokémon’s
type to the foe’s move."
16,11,5,"Le Pokémon adopte le type
de la capacité ennemie."
16,11,9,"Changes the Pokémon’s
type to the foe’s move."
16,14,9,"Changes the Pokémon’s
type to the foe’s move."
16,15,1,"うけた　わざの　タイプに
へんかする。"
16,15,3,"받은 기술의 타입으로
변화한다."
16,15,5,"Le Pokémon adopte le type de
la capacité ennemie."
16,15,6,"Ändert seinen Typ zu dem
der Attacke des Angreifers."
16,15,7,"Adopta el tipo del último
movimiento del que sea blanco."
16,15,8,"Il Pokémon acquisisce il tipo
della mossa subita."
16,15,9,"The Pokémon’s type becomes
the type of the move used on it."
16,15,11,"受けた　技の　タイプに
変化する。"
16,16,1,"うけた　わざの　タイプに
へんかする。"
16,16,3,"받은 기술의 타입으로
변화한다."
16,16,5,"Le Pokémon adopte le type de
la capacité ennemie."
16,16,6,"Ändert seinen Typ zu dem
der Attacke des Angreifers."
16,16,7,"Adopta el tipo del último
movimiento del que se es blanco."
16,16,8,"Il Pokémon acquisisce il tipo
della mossa subita."
16,16,9,"The Pokémon’s type becomes
the type of the move used on it."
16,16,11,"受けた　技の　タイプに
変化する。"
17,5,9,Prevents poisoning.
17,6,9,Prevents poisoning.
17,7,9,Prevents poisoning.
17,8,9,"Prevents the Pokémon
from getting poisoned."
17,9,9,"Prevents the Pokémon
from getting poisoned."
17,10,9,"Prevents the Pokémon
from getting poisoned."
17,11,5,"Empêche le Pokémon d’être
empoisonné."
17,11,9,"Prevents the Pokémon
from getting poisoned."
17,14,9,"Prevents the Pokémon
from getting poisoned."
17,15,1,"どく　じょうたいに
ならない。"
17,15,3,"독 상태가
되지 않는다."
17,15,5,"Empêche le Pokémon d’être
empoisonné."
17,15,6,Verhindert Vergiftungen.
17,15,7,Evita el envenenamiento.
17,15,8,"Impedisce al Pokémon di
venire avvelenato."
17,15,9,"Prevents the Pokémon
from getting poisoned."
17,15,11,"どく状態に
ならない。"
17,16,1,"どく　じょうたいに
ならない。"
17,16,3,"독 상태가
되지 않는다."
17,16,5,"Empêche le Pokémon d’être
empoisonné."
17,16,6,Verhindert Vergiftungen.
17,16,7,Evita el envenenamiento.
17,16,8,"Impedisce al Pokémon di
venire avvelenato."
17,16,9,"Prevents the Pokémon
from getting poisoned."
17,16,11,"どく状態に
ならない。"
18,5,9,Powers up if hit by fire.
18,6,9,Powers up if hit by fire.
18,7,9,Powers up if hit by fire.
18,8,9,"Powers up Fire-type moves
if hit by a fire move."
18,9,9,"Powers up Fire-type moves
if hit by a fire move."
18,10,9,"It powers up Fire-type
moves if it’s hit by one."
18,11,5,"Booste capacités Feu si
touché par attaques Feu."
18,11,9,"It powers up Fire-type
moves if it’s hit by one."
18,14,9,"It powers up Fire-type
moves if it’s hit by one."
18,15,1,"ほのおを　うけると
ほのおわざが　つよくなる。"
18,15,3,"불꽃을 받으면
불꽃 기술이 강해진다."
18,15,5,"Booste les capacités Feu si
touché par attaque Feu."
18,15,6,"Verstärkt Feuer-Attacken, wenn
von Feuer-Attacken getroffen."
18,15,7,"Potencia movimientos de tipo
Fuego si ha sufrido antes alguno."
18,15,8,"Potenzia le proprie mosse Fuoco
se se ne subisce una."
18,15,9,"Powers up the Pokémon’s Fire-
type moves if it’s hit by one."
18,15,11,"ほのおを　受けると
ほのお技が　強くなる。"
18,16,1,"ほのおを　うけると
ほのおわざが　つよくなる。"
18,16,3,"불꽃을 받으면
불꽃 기술이 강해진다."
18,16,5,"Booste les capacités Feu si
touché par attaque Feu."
18,16,6,"Verstärkt Feuer-Attacken, wenn
von Feuer-Attacken getroffen."
18,16,7,"Potencia movimientos de tipo
Fuego si ha sufrido antes alguno."
18,16,8,"Potenzia le proprie mosse Fuoco
se se ne subisce una."
18,16,9,"Powers up the Pokémon’s
Fire-type moves if it’s hit by one."
18,16,11,"ほのおを　受けると
ほのお技が　強くなる。"
19,5,9,Prevents added effects.
19,6,9,Prevents added effects.
19,7,9,Prevents added effects.
19,8,9,"Blocks the added effects
of attacks taken."
19,9,9,"Blocks the added effects
of attacks taken."
19,10,9,"Blocks the added effects
of attacks taken."
19,11,5,"Annule les effets cumulés
d’une attaque ennemie."
19,11,9,"Blocks the added effects
of attacks taken."
19,14,9,"Blocks the added effects
of attacks taken."
19,15,1,"わざの　ついかこうかを
うけない。"
19,15,3,"기술의 추가 효과를
받지 않는다."
19,15,5,"Annule les effets cumulés d’une
attaque ennemie."
19,15,6,"Blockiert Zusatz-Effekte
gegnerischer Angriffe."
19,15,7,"Anula el efecto secundario del
ataque sufrido."
19,15,8,"Annulla gli effetti secondari
delle mosse subite."
19,15,9,"Blocks the additional effects
of attacks taken."
19,15,11,"技の　追加効果を
受けない。"
19,16,1,"わざの　ついかこうかを
うけない。"
19,16,3,"기술의 추가 효과를
받지 않는다."
19,16,5,"Annule les effets cumulés d’une
attaque ennemie."
19,16,6,"Blockiert Zusatz-Effekte
gegnerischer Angriffe."
19,16,7,"Anula el efecto secundario del
ataque sufrido."
19,16,8,"Annulla gli effetti secondari
delle mosse subite."
19,16,9,"Blocks the additional effects
of attacks taken."
19,16,11,"技の　追加効果を
受けない。"
20,5,9,Prevents confusion.
20,6,9,Prevents confusion.
20,7,9,Prevents confusion.
20,8,9,"Prevents the Pokémon
from becoming confused."
20,9,9,"Prevents the Pokémon
from becoming confused."
20,10,9,"Prevents the Pokémon
from becoming confused."
20,11,5,Empêche la confusion.
20,11,9,"Prevents the Pokémon
from becoming confused."
20,14,9,"Prevents the Pokémon
from becoming confused."
20,15,1,"こんらん　じょうたいに
ならない。"
20,15,3,"혼란 상태가
되지 않는다."
20,15,5,Empêche la confusion.
20,15,6,Verhindert Verwirrung.
20,15,7,Evita ser confundido.
20,15,8,"Impedisce al Pokémon
di venire confuso."
20,15,9,"Prevents the Pokémon
from becoming confused."
20,15,11,"混乱状態に
ならない。"
20,16,1,"こんらん　じょうたいに
ならない。"
20,16,3,"혼란 상태가
되지 않는다."
20,16,5,Empêche la confusion.
20,16,6,Verhindert Verwirrung.
20,16,7,Evita ser confundido.
20,16,8,"Impedisce al Pokémon
di venire confuso."
20,16,9,"Prevents the Pokémon
from becoming confused."
20,16,11,"混乱状態に
ならない。"
21,5,9,Firmly anchors the body.
21,6,9,Firmly anchors the body.
21,7,9,Firmly anchors the body.
21,8,9,"Negates moves that
force switching out."
21,9,9,"Negates moves that
force switching out."
21,10,9,"Negates foes’ moves that
force switching out."
21,11,5,"Annule les cap. et obj. qui
font changer de Pokémon."
21,11,9,"Negates all moves that
force switching out."
21,14,9,"Negates all moves that
force switching out."
21,15,1,"いれかえさせる　わざや
どうぐが　きかない。"
21,15,3,"교체시키는 기술이나 도구의
효과를 받지 않는다."
21,15,5,"Annule les capacités ou objets
qui font changer de Pokémon."
21,15,6,"Blockt Attacken und Items,
die Pokémon austauschen."
21,15,7,"Anula movimientos y objetos que
fuerzan el relevo."
21,15,8,"Resiste a strumenti e mosse
di sostituzione."
21,15,9,"Negates all moves and items
that force switching out."
21,15,11,"入れ替えさせる　技や
道具が　効かない。"
21,16,1,"いれかえさせる　わざや
どうぐが　きかない。"
21,16,3,"교체시키는 기술이나 도구의
효과를 받지 않는다."
21,16,5,"Annule les capacités ou objets
qui font changer de Pokémon."
21,16,6,"Blockt Attacken und Items,
die Pokémon austauschen."
21,16,7,"Anula movimientos y objetos que
fuerzan el relevo."
21,16,8,"Resiste a strumenti e mosse
di sostituzione."
21,16,9,"Negates all moves and items
that force switching out."
21,16,11,"入れ替えさせる　技や
道具が　効かない。"
22,5,9,Lowers the foe’s ATTACK.
22,6,9,Lowers the foe’s ATTACK.
22,7,9,Lowers the foe’s ATTACK.
22,8,9,"Lowers the foe’s Attack
stat."
22,9,9,"Lowers the foe’s Attack
stat."
22,10,9,"Lowers the foe’s
Attack stat."
22,11,5,Baisse l’Attaque ennemie.
22,11,9,"Lowers the foe’s
Attack stat."
22,14,9,"Lowers the foe’s
Attack stat."
22,15,1,"あいての　こうげきを
さげる。"
22,15,3,"상대의 공격을
떨어뜨린다."
22,15,5,Baisse l’Attaque ennemie.
22,15,6,Senkt Angriff des Gegners.
22,15,7,Baja el Ataque del rival.
22,15,8,"Riduce la statistica Attacco
del nemico."
22,15,9,"Lowers the opposing Pokémon’s
Attack stat."
22,15,11,"相手の　攻撃を
さげる。"
22,16,1,"あいての　こうげきを
さげる。"
22,16,3,"상대의 공격을
떨어뜨린다."
22,16,5,Baisse l’Attaque ennemie.
22,16,6,Senkt Angriff des Gegners.
22,16,7,Baja el Ataque del rival.
22,16,8,"Riduce la statistica Attacco
del nemico."
22,16,9,"Lowers the opposing Pokémon’s
Attack stat."
22,16,11,"相手の　攻撃を
さげる。"
