move_flag_id,local_language_id,name,description
16,9,Jaw-based,This move has 1.5× its usual power when used by a Pokémon with Strong Jaw.
17,5,À base de vibrations,La puissance de cette capacité est multipliée par 1.5 lorsqu’elle est utilisée par un Pokémon avec Méga Blaster.
17,6,Megawumme basierend,"Diese Fähigkeit hat die 1.5× Kraft, wenn sie von einem Pokémon mit Megawumme genutzt wird."
17,9,Pulse-based,This move has 1.5× its usual power when used by a Pokémon with Mega Launcher.
18,5,À base de ballistique,Cette capacité est bloquée par Pare-Balles.
18,6,Ballistik basierend,Diese Fähigkeit wird von Kugelsicher blockiert.
18,9,Ballistics-based,This move is blocked by Bulletproof.
19,5,Effet mental,Cette capacité est bloquée par Aroma-Voile et soigné par Herbe Mental.
19,6,Psychische Effekte,Diese Fähigkeit wird durch Dufthülle blockiert und wird durch Mentalkraut geheilt.
19,9,Mental effects,This move is blocked by Aroma Veil and cured by Mental Herb.
20,5,Inutilisable en combat aérien,Cette capacité est inutilisable pendant les combats aériens.
20,6,Nicht Nutzbar in Himmelskämpfen,Diese Fähigkeit ist in Himmelskämpfen nicht nutzbar.
20,9,Unusable during Sky Battles,This move is unusable during Sky Battles.
21,5,Danse,Cette capacité déclenche Danseuse.
21,9,Dance,This move triggers Dancer.
