pokemon_species_id,local_language_id,form_description
492,5,"Les formes ont des stats différentes et peuvent apprendre différentes capacités des Mâitres de Capacités. Les capacités sont retenues en changeant de forme. Shaymin prend se transforme en Forme Céleste en utilisant une []{item:gracidea}. Il est limité à la Forme Terrestre la nuit, quand [frozen]{mechanic:frozen}, et dans les boites du PC; sous ces conditions, Shaymin Forme Céleste revient à la Forme Terrestre, et la Gracidée n’a pas d’effet. La Gracidée peut être réutilisée pour reprendre la Forme Céleste.

Dans la Génération IV, Shaymin est aussi limité à la Forme Céleste dans le Club Wi-Fi et la Salle Union.

Une Gracidée peut être reçue en montrant un Shaymin rencontrée dans une rencontre faite par la force du destin à un certain PNJ, selon le jeu:

* Platine: Une femme au sud-ouest de []{location:floaroma-town}.
* Or HeartGold et Argent SoulSilver: Le propriétaire du fleuriste de []{location:goldenrod-city}.
* Noir et Blanc: Une femme au Centre Pokémon de []{location:lacunosa-town}.
* Noir 2 et Blanc 2: Une femme du Centre Pokémon de []{location:striaton-city}."
492,9,"Forms have different stats and can learn different moves.  Moves are retained through form changes.  Shaymin transforms into Sky Forme with the use of a []{item:gracidea}.  It is limited to Land Forme at night, when [frozen]{mechanic:frozen}, and in the storage system boxes; under these conditions, Sky Shaymin reverts to Land Forme, and the Gracidea has no effect.  The Gracidea must be used again to return to Sky Forme.

In Generation IV, Shaymin is also limited to Land Forme in the Wi-Fi Club and the Union Room.

A Gracidea may be received by showing a Shaymin met in a fateful encounter to a certain NPC, depending on the game:

* Platinum: A woman in southwest []{location:floaroma-town}.
* HeartGold and SoulSilver: The owner of the []{location:goldenrod-city} flower shop.
* Black and White: A woman in the []{location:lacunosa-town} Pokémon Center.
* Black 2 and White 2: A woman in the []{location:striaton-city} Pokémon Center."
493,5,"La forme change selon le type de Plaque portée, à cause de []{ability:multitype}."
493,9,"Form changes along with type to match a held Plate, due to []{ability:multitype}."
550,5,"Les formes ont un talent et des objets tenus différents. Forms have one different ability and different wild held items. Les Bargantua Motif Bleu sont plus rare dans Noir et Noir 2, et les Bargantua Motif Rouge dans Blanc et Blanc 2."
550,9,"Forms have one different ability and different wild held items.  Blue-Striped Basculin are rarer in Black Version and Black Version 2, and Red-Striped Basculin in White Version and White Version 2."
555,5,"Les formes ont des stats et types différents. Si le talent de Darumacho est , il passe en Mode Transe en combat s’il termine un tour avec moins de 50% de PV, et revient en Mode Normal s’il termine un tour avec plus de 50% de PV, quitte le terrain, ou perd son talent."
555,9,"Forms have different stats and types.  If Darmanitan’s ability is []{ability:zen-mode}, it changes to Zen Mode in battle if it ends a turn below 50% HP, and back to Standard Mode if it ends a turn at 50% HP or above, leaves battle, or loses its ability."
585,5,"La forme affecte seulement l’apparence. Vivaldaim change de forme pour correspondre à la saison s’il est dans l’équipe lors du chargement de la partie.

Si la saison a changé depuis la dernière sauvegarde, et que le jeu a été sauvegardé en intérieur, la saison de la dernière sauvegarde sera affichée en chargeant le jeu, et Vivaldaim changera en accord avec cette saison. En sortant, le changement de saison prend effet et Vivaldaim changera à nouveau."
585,9,"Forms only affect appearance.  Deerling switches forms to match the season if it is in the party upon loading the game.

If the season has changed since the game was saved, and the game was saved indoors, the previous save’s season will be displayed upon loading the game, and Deerling will change according to that season.  Upon stepping outdoors, the change of season is displayed and Deerling will change again."
586,5,"La forme affecte seulement l’apparence. Haydaim change de forme pour correspondre à la saison s’il est dans l’équipe lors du chargement de la partie.

Si la saison a changé depuis la dernière sauvegarde, et que le jeu a été sauvegardé en intérieur, la saison de la dernière sauvegarde sera affichée en chargeant le jeu, et Haydaim changera en accord avec cette saison. En sortant, le changement de saison prend effet et Haydaim changera à nouveau."
586,9,"Forms only affect appearance.  Sawsbuck switches forms to match the season if it is in the party upon loading the game.

If the season has changed since the game was saved, and the game was saved indoors, the previous save’s season will be displayed upon loading the game, and Sawsbuck will change according to that season.  Upon stepping outdoors, the change of season is displayed and Deerling will change again."
641,5,"Les formes ont différentes stats et talents. Boréas change de forme quand le []{item:reveal-glass} est utilisé sur lui.

Le Miroir Sacré peut être obtenu en emmenant un []{pokemon:tornadus} Avatar au []{location:abundant-shrine}. (Boréas peut être obtenu sous la Forme Totémique dans le RAdar Pokémon.)"
641,9,"Forms have different stats and abilities.  Tornadus switches forms when the []{item:reveal-glass} is used on it.

The Reveal Glass may be obtained by taking a Therian []{pokemon:tornadus} to []{location:abundant-shrine}.  (Landorus can be obtained in Therian Forme from the Dream Radar.)"
642,5,"Les formes ont différentes stats et talents. Fulguris change de forme quand le []{item:reveal-glass} est utilisé sur lui.

Le Miroir Sacré peut être obtenu en emmenant un []{pokemon:thundurus} Avatar au []{location:abundant-shrine}. (Fulguris peut être obtenu sous la Forme Totémique dans le RAdar Pokémon.)"
642,9,"Forms have different stats and abilities.  Thundurus switches forms when the []{item:reveal-glass} is used on it.

The Reveal Glass may be obtained by taking a Therian []{pokemon:thundurus} to []{location:abundant-shrine}.  (Landorus can be obtained in Therian Forme from the Dream Radar.)"
645,5,"Les formes ont différentes stats et talents. Démétéros change de forme quand le []{item:reveal-glass} est utilisé sur lui.

Le Miroir Sacré peut être obtenu en emmenant un Démétéros Avatar au []{location:abundant-shrine}. (Démétéros peut être obtenu sous la Forme Totémique dans le RAdar Pokémon.)"
645,9,"Forms have different stats and abilities.  Landorus switches forms when the []{item:reveal-glass} is used on it.

The Reveal Glass may be obtained by taking a Therian Landorus to []{location:abundant-shrine}.  (Landorus can be obtained in Therian Forme from the Dream Radar.)"
646,5,"Les formes ont différentes stats, talents, et capacités signatures. Kyruem fusionne avec []{pokemon:reshiram} pour devenir Kyurem Blanc ou []{pokemon:zekrom} pour devenir Kyurem Noir. Le []{item:dna-splicers} est utilisé pour fusionner Kyurem avec un autre Pokémon ou les séparer à nouveau. Une fois fusionnés, l’autre Pokémon disparaît. Les capacités signatures sont remplacées par les capacités équivalentes en changeant de forme."
646,9,"Forms have different stats, abilities, and signature moves.  Kyurem fuses with []{pokemon:reshiram} to become White Kyurem or []{pokemon:zekrom} to become Black Kyurem.  The []{item:dna-splicers} are used to fuse Kyurem with another Pokémon or separate them again.  While fused, the other Pokémon disappears.  Signature moves are replaced by the equivalent moves when switching forms."
647,5,"Les formes affectent seulement l’apparence. Dans Noir et Blanc 2, Keldeo prend l’Aspect Décidé quand il apprend []{move:secret-sword} et reprend l’Aspect Normal s’il oublie cette capacité."
647,9,"Forms only affect appearance.  In Black and White Versions 2, Keldeo becomes Resolute Form when it learns []{move:secret-sword} and reverts to Ordinary Form if it forgets that move."
648,5,"Les formes ont différentes stats et types. Meloetta change de forme en utilisant []{move:relic-song} en combat, et reprend la forme Chant en dehors du combat."
648,9,"Forms have different stats and types.  Meloetta changes form upon using []{move:relic-song} in battle, and reverts to Aria Forme outside of battle."
649,5,La forme change pour correspondre au Module tenu par Genesect. Les seules différences sont la couleur de son arme et le type de []{move:techno-blast}.
649,9,Form changes to match Genesect’s held Drive.  The only differences are the color of its weapon and []{move:techno-blast}’s type.
666,5,"Les formes différent seulement en apparance. Le motif de Prismillon dépend de la vraie région géographique de la 3DS du dresseur original, et ne peut être changée.

Échanger un Lépidonille, Pérégrain, ou un oeuf n’affecte pas le motif qu’aura Prismillon. Changer la region de la 3DS du jeu de Prismillon n’affecte pas le motif de Prismillon jusqu’à ce que le joueur commence une nouvelle partie.

Les motifs Fantaisie et Poké Ball ne correspondent à aucune région et ne sont disponibles qu’avec des distributions."
666,9,"Forms only differ in appearance.  Vivillon’s pattern depends on the real-world geographical region set in its original trainer’s 3DS, and cannot be changed.

Trading a Scatterbug, Spewpa, or egg does not affect the pattern it will have as a Vivillon.  Changing the 3DS’s region setting will not affect the game’s Vivillon pattern until the player starts a new game.

The Fancy and Poké Ball Patterns do not correspond to any region and are only available through distributions."
669,5,"Les formes différent seulement en apparence. La fleur de Flabébé est définie lors de la rencontre, et ne peut être changée."
669,9,"Forms only differ in appearance.  Flabébé’s flower is set when it is encountered, and cannot be changed."
670,5,"Les cinq formes régulières de Floette différente seulement en apparence. La fleur de Floette est définie quand rencontré, ou en tant que Flabébé, et ne peut être changée.

Floette Fleur Éternelle a des stats plus élevées, ne peut pas évoluer ou se reproduire, et apprend []{move:light-of-ruin} au niveau 50. Il n’est actuellement pas obtenable."
670,9,"Floette’s five regular forms only differ in appearance.  Floette’s flower is set when it is encountered, or as a Flabébé, and cannot be changed.

Eternal Floette has higher stats, cannot evolve or breed, and learns []{move:light-of-ruin} at level 50.  It is currently not obtainable."
671,5,"Les formes différent seulement en apparence. La fleur de Florges est définie en tant que Flabébé ou Floette, et ne peut être changée."
671,9,"Forms only differ in appearance.  Florges’s flower is set as a Flabébé or Floette, and cannot be changed."
676,5,"Les formes différent seulement en apparence. La coupe de Couafarel peut être changée n’importe quand au Café Toutou à Illumis. Il reprend la Forme Sauvage après 5 jours à moins d’avoir êté coupé à nouveau, ou déposé dans le PC."
676,9,"Forms only differ in appearance.  Furfrou’s trim can be changed at any time in Friseur Furfrou in Lumiose City.  It reverts to its Natural Form after five days unless trimmed again, or if it is deposited in the PC."
678,5,"Les Mistigrix mâles et femelles ont des différentes capacités apprises en montant de niveau et talents. Bien que les différences de genre ne sont habituellement pas considérées comme des formes différentes, celles de Mistigrix le sont pour des raisons pratiques."
678,9,"Male and female Meowstic have different level-up moves and hidden abilities.  While gender differences are not usually considered to be separate forms, Meowstic’s are treated as such for practical purposes."
681,5,"Les formes ont des stats différentes. Si le talent d’Exagide est []{ability:stance-change}, il prend la Forme Assaut avant d’utiliser une capacité offensive, et reprend la Forme Parade avant d’utiliser Bouclier Royal ou en quittant le terrain."
681,9,"Forms have different stats.  If Aegislash’s ability is []{ability:stance-change}, it changes to Blade Forme before using a damaging move, and reverts to Shield Forme before using King’s Shield or upon leaving the field."
710,5,"Les formes ont des stats différentes. La taille de Pitrouille est définie quand rencontré, et ne peut être changée."
710,9,"Forms have different stats.  Pumpkaboo’s size is set when it is encountered, and cannot be changed."
711,5,"Les formes ont des stats différentes. La taille de Banshitrouye est définie quand rencontré, et ne peut être changée."
711,9,"Forms have different stats.  Gourgeist’s size is set as a Pumpkaboo, and cannot be changed."
716,5,"Les formes différent seulement en apparance. Xerneas est toujours en Mode Paisible en dehors du combat, et en Mode Déchaîné en combat."
716,9,"Forms only differ in appearance.  Xerneas is always in Neutral Mode outside of battle, and Active Mode in battle."
