id,identifier,generation_id,is_main_series
10002,wave-rider,5,0
10003,skater,5,0
10004,thrust,5,0
10005,perception,5,0
10006,parry,5,0
10007,instinct,5,0
10008,dodge,5,0
10009,jagged-edge,5,0
10010,frostbite,5,0
10011,tenacity,5,0
10012,pride,5,0
10013,deep-sleep,5,0
10014,power-nap,5,0
10015,spirit,5,0
10016,warm-blanket,5,0
10017,gulp,5,0
10018,herbivore,5,0
10019,sandpit,5,0
10020,hot-blooded,5,0
10021,medic,5,0
10022,life-force,5,0
10023,lunchbox,5,0
10024,nurse,5,0
10025,melee,5,0
10026,sponge,5,0
10027,bodyguard,5,0
10028,hero,5,0
10029,last-bastion,5,0
10030,stealth,5,0
10031,vanguard,5,0
10032,nomad,5,0
10033,sequence,5,0
10034,grass-cloak,5,0
10035,celebrate,5,0
10036,lullaby,5,0
10037,calming,5,0
10038,daze,5,0
10039,frighten,5,0
10040,interference,5,0
10041,mood-maker,5,0
10042,confidence,5,0
10043,fortune,5,0
10044,bonanza,5,0
10045,explode,5,0
10046,omnipotent,5,0
10047,share,5,0
10048,black-hole,5,0
10049,shadow-dash,5,0
10050,sprint,5,0
10051,disgust,5,0
10052,high-rise,5,0
10053,climber,5,0
10054,flame-boost,5,0
10055,aqua-boost,5,0
10056,run-up,5,0
10057,conqueror,5,0
10058,shackle,5,0
10059,decoy,5,0
10060,shield,5,0
