"pokemon_id","specie_id","form_id","evolution_id","is_alternative_evolution"
10115,105,10217,367,1
10126,745,10228,387,0
10152,745,10311,460,0
10165,80,10324,452,1
10172,199,10331,453,1
10177,555,10336,458,1
10184,849,10343,433,0
10191,892,10360,447,0
10248,902,10417,465,0
10254,916,10423,474,0
10255,982,10424,507,0
10257,925,10426,479,1
10273,586,10071,296,1
10274,586,10072,296,1
10275,586,10073,296,1
