id,encounter_condition_id,identifier,is_default
264,26,johto-safari-blocks-plains-min-12,0
265,26,johto-safari-blocks-plains-min-14,0
266,26,johto-safari-blocks-plains-min-15,0
267,26,johto-safari-blocks-plains-min-24,0
268,26,johto-safari-blocks-plains-min-28,0
269,26,johto-safari-blocks-plains-min-35,0
270,26,johto-safari-blocks-plains-min-49,0
271,26,johto-safari-blocks-forest-min-3,0
272,26,johto-safari-blocks-forest-min-4,0
273,26,johto-safari-blocks-forest-min-5,0
274,26,johto-safari-blocks-forest-min-8,0
275,26,johto-safari-blocks-forest-min-10,0
276,26,johto-safari-blocks-forest-min-14,0
277,26,johto-safari-blocks-forest-min-15,0
278,26,johto-safari-blocks-forest-min-18,0
279,26,johto-safari-blocks-forest-min-20,0
280,26,johto-safari-blocks-forest-min-28,0
281,26,johto-safari-blocks-forest-min-35,0
282,26,johto-safari-blocks-forest-min-42,0
283,26,johto-safari-blocks-forest-min-49,0
284,26,johto-safari-blocks-forest-min-56,0
285,26,johto-safari-blocks-peak-min-3,0
286,26,johto-safari-blocks-peak-min-4,0
287,26,johto-safari-blocks-peak-min-5,0
288,26,johto-safari-blocks-peak-min-6,0
289,26,johto-safari-blocks-peak-min-8,0
290,26,johto-safari-blocks-peak-min-10,0
291,26,johto-safari-blocks-peak-min-15,0
292,26,johto-safari-blocks-peak-min-21,0
293,26,johto-safari-blocks-peak-min-24,0
294,26,johto-safari-blocks-peak-min-28,0
295,26,johto-safari-blocks-peak-min-35,0
296,26,johto-safari-blocks-peak-min-42,0
297,26,johto-safari-blocks-peak-min-49,0
298,26,johto-safari-blocks-peak-min-56,0
299,26,johto-safari-blocks-peak-min-63,0
300,26,johto-safari-blocks-water-min-2,0
301,26,johto-safari-blocks-water-min-3,0
302,26,johto-safari-blocks-water-min-4,0
303,26,johto-safari-blocks-water-min-5,0
304,26,johto-safari-blocks-water-min-6,0
305,26,johto-safari-blocks-water-min-7,0
306,26,johto-safari-blocks-water-min-8,0
307,26,johto-safari-blocks-water-min-9,0
308,26,johto-safari-blocks-water-min-10,0
309,26,johto-safari-blocks-water-min-12,0
310,26,johto-safari-blocks-water-min-13,0
311,26,johto-safari-blocks-water-min-14,0
312,26,johto-safari-blocks-water-min-15,0
313,26,johto-safari-blocks-water-min-16,0
314,26,johto-safari-blocks-water-min-18,0
315,26,johto-safari-blocks-water-min-20,0
316,26,johto-safari-blocks-water-min-24,0
317,26,johto-safari-blocks-water-min-28,0
318,26,johto-safari-blocks-water-min-35,0
319,26,johto-safari-blocks-water-min-42,0
320,26,johto-safari-blocks-water-min-49,0
321,11,item-cover-fossil,0
322,11,item-plume-fossil,0
