pokemon_species_id,local_language_id,flavor_summary
250,8,Pokémon Arcobaleno
251,8,Pokémon Tempovia
252,8,Pokémon Legnogeco
253,8,Pokémon Legnogeco
254,8,Pokémon Foresta
255,8,Pokémon Pulcino
256,8,Pokémon Rampollo
257,8,Pokémon Vampe
258,8,Pokémon Fango Pesce
259,8,Pokémon Fango Pesce
26,8,Pokémon Topo
260,8,Pokémon Fango Pesce
261,8,Pokémon Morso
262,8,Pokémon Morso
263,8,Pokémon Procione
264,8,Pokémon Sfrecciante
265,8,Pokémon Baco
266,8,Pokémon Bozzolo
267,8,Pokémon Farfalla
268,8,Pokémon Bozzolo
269,8,Pokémon Velentarma
27,8,Pokémon Topo
270,8,Pokémon Alga
271,8,Pokémon Giocoso
272,8,Pokémon Spensierato
273,8,Pokémon Ghianda
274,8,Pokémon Scaltro
275,8,Pokémon Burbero
276,8,Pokémon Rondine
277,8,Pokémon Rondine
278,8,Pokémon Gabbiano
279,8,Pokémon Alacquatico
28,8,Pokémon Topo
280,8,Pokémon Sensazione
281,8,Pokémon Emozione
282,8,Pokémon Abbraccio
283,8,Pokémon Sfiorapozze
284,8,Pokémon Occhi
285,8,Pokémon Fungo
286,8,Pokémon Fungo
287,8,Pokémon Ozioso
288,8,Pokémon Indocile
289,8,Pokémon Pigrizia
29,8,Pokémon Velenago
290,8,Pokémon Novizio
291,8,Pokémon Ninja
292,8,Pokémon Cambiapelle
293,8,Pokémon Sussurro
294,8,Pokémon Vocione
295,8,Pokémon Fragore
296,8,Pokémon Coraggio
297,8,Pokémon Sberletese
298,8,Pokémon Pois
299,8,Pokémon Bussola
3,8,Pokémon Seme
30,8,Pokémon Velenago
300,8,Pokémon Micio
301,8,Pokémon Finezza
302,8,Pokémon Oscurità
303,8,Pokémon Inganno
304,8,Pokémon Corazza
305,8,Pokémon Corazza
306,8,Pokémon Corazza
307,8,Pokémon Meditazione
308,8,Pokémon Meditazione
309,8,Pokémon Lampo
31,8,Pokémon Trapano
310,8,Pokémon Scarica
311,8,Pokémon Incitamento
312,8,Pokémon Incitamento
313,8,Pokémon Lucciola
314,8,Pokémon Lucciola
315,8,Pokémon Spina
316,8,Pokémon Stomaco
317,8,Pokémon Velenosacco
318,8,Pokémon Feroce
319,8,Pokémon Brutale
32,8,Pokémon Velenago
320,8,Pokémon Balenottero
321,8,Pokémon Megabalena
322,8,Pokémon Torpore
323,8,Pokémon Eruzione
324,8,Pokémon Carbone
325,8,Pokémon Molla
326,8,Pokémon Raggiro
327,8,Pokémon Macchipanda
328,8,Pokémon Trappola
329,8,Pokémon Vibrazione
33,8,Pokémon Velenago
330,8,Pokémon Magico
331,8,Pokémon Cactus
332,8,Pokémon Spavento
333,8,Pokémon Alidicotone
334,8,Pokémon Canterino
335,8,Pokémon Furogatto
336,8,Pokémon Zannaserpe
337,8,Pokémon Meteorite
338,8,Pokémon Meteorite
339,8,Pokémon Baffetti
34,8,Pokémon Trapano
340,8,Pokémon Baffetti
341,8,Pokémon Birbone
342,8,Pokémon Canaglia
343,8,Pokémon Argilla
344,8,Pokémon Argilla
345,8,Pokémon Fiordimare
346,8,Pokémon Lepade
347,8,Pokémon Primaceo
348,8,Pokémon Piastre
349,8,Pokémon Pesce
35,8,Pokémon Fata
350,8,Pokémon Tenerezza
351,8,Pokémon Meteo
352,8,Pokémon Mutacolore
353,8,Pokémon Pupazzo
354,8,Pokémon Marionetta
355,8,Pokémon Requiem
356,8,Pokémon Ipnosguardo
357,8,Pokémon Frutto
358,8,Pokémon Vencampana
359,8,Pokémon Catastrofe
36,8,Pokémon Fata
360,8,Pokémon Brillante
361,8,Pokémon Cappelneve
362,8,Pokémon Tuttomuso
363,8,Pokémon Rotolante
364,8,Pokémon Rotapalla
365,8,Pokémon Spaccagelo
366,8,Pokémon Bivalve
367,8,Pokémon Abissi
368,8,Pokémon Sudmarino
369,8,Pokémon Longevità
37,8,Pokémon Volpe
370,8,Pokémon Rendezvous
371,8,Pokémon Rocciotesta
372,8,Pokémon Resistenza
373,8,Pokémon Drago
374,8,Pokémon Ferrosfera
375,8,Pokémon Ferrunghia
376,8,Pokémon Ferrarto
377,8,Pokémon Picco
378,8,Pokémon Iceberg
379,8,Pokémon Ferro
38,8,Pokémon Volpe
380,8,Pokémon Eone
381,8,Pokémon Eone
382,8,Pokémon Oceano
383,8,Pokémon Continente
384,8,Pokémon Stratosfera
385,8,Pokémon Desiderio
386,8,Pokémon DNA
387,8,Pokémon Fogliolina
388,8,Pokémon Boschetto
389,8,Pokémon Continente
39,8,Pokémon Pallone
390,8,Pokémon Scimpanzé
391,8,Pokémon Briccone
392,8,Pokémon Fiamma
393,8,Pokémon Pinguino
394,8,Pokémon Pinguino
395,8,Pokémon Imperatore
396,8,Pokémon Storno
397,8,Pokémon Storno
398,8,Pokémon Rapace
399,8,Pokémon Topaffuto
4,8,Pokémon Lucertola
40,8,Pokémon Pallone
400,8,Pokémon Castoro
401,8,Pokémon Grillo
402,8,Pokémon Grillo
403,8,Pokémon Baleno
404,8,Pokémon Favilla
405,8,Pokémon Occhiluce
406,8,Pokémon Germoglio
407,8,Pokémon Floreale
408,8,Pokémon Cranioso
409,8,Pokémon Cranioso
41,8,Pokémon Pipistrello
410,8,Pokémon Schermo
411,8,Pokémon Schermo
412,8,Pokémon Larva
413,8,Pokémon Larva
414,8,Pokémon Falena
415,8,Pokémon Apetta
416,8,Pokémon Alveare
417,8,Pokémon Elescoiatto
418,8,Pokémon Maridonnola
419,8,Pokémon Maridonnola
42,8,Pokémon Pipistrello
420,8,Pokémon Ciliegia
421,8,Pokémon Bocciolo
422,8,Pokémon Lumacomare
423,8,Pokémon Lumacomare
424,8,Pokémon Lungacoda
425,8,Pokémon Pallone
426,8,Pokémon Dirigibile
427,8,Pokémon Coniglio
428,8,Pokémon Coniglio
429,8,Pokémon Stregone
43,8,Pokémon Malerba
430,8,Pokémon Grancapo
431,8,Pokémon Felide
432,8,Pokémon Gattotigre
433,8,Pokémon Sonaglio
434,8,Pokémon Moffetta
435,8,Pokémon Moffetta
436,8,Pokémon Bronzo
437,8,Pokémon Squibronzo
438,8,Pokémon Bonsai
439,8,Pokémon Mimo
44,8,Pokémon Malerba
440,8,Pokémon Ovettino
441,8,Pokémon Musicale
442,8,Pokémon Proibito
443,8,Pokémon Squaloterra
444,8,Pokémon Grotta
445,8,Pokémon Mach
446,8,Pokémon Ghiottone
447,8,Pokémon Emanazione
448,8,Pokémon Aura
449,8,Pokémon Ippo
45,8,Pokémon Fiore
450,8,Pokémon Grandepeso
451,8,Pokémon Scorpione
452,8,Pokémon Scorpiaccio
453,8,Pokémon Inveieleno
454,8,Pokémon Inveieleno
455,8,Pokémon Insettivoro
456,8,Pokémon Pescealato
457,8,Pokémon Neon
458,8,Pokémon Aquilone
459,8,Pokémon Albergelo
46,8,Pokémon Fungo
460,8,Pokémon Albergelo
461,8,Pokémon Lamartigli
462,8,Pokémon Magnetico
463,8,Pokémon Linguaccia
464,8,Pokémon Trapano
465,8,Pokémon Liana
466,8,Pokémon Saetta
467,8,Pokémon Esplosivo
468,8,Pokémon Festa
469,8,Pokémon Libellorco
47,8,Pokémon Fungo
470,8,Pokémon Rigoglioso
471,8,Pokémon Nevefresca
472,8,Pokémon Scorpidente
473,8,Pokémon Duezanne
474,8,Pokémon Virtuale
475,8,Pokémon Lama
476,8,Pokémon Bussola
477,8,Pokémon Pinza
478,8,Pokémon Suolnevoso
479,8,Pokémon Plasma
48,8,Pokémon Insetto
480,8,Pokémon Sapienza
481,8,Pokémon Emozione
482,8,Pokémon Volontà
483,8,Pokémon Tempo
484,8,Pokémon Spazio
485,8,Pokémon Cratere
486,8,Pokémon Colossale
487,8,Pokémon Ribelle
488,8,Pokémon Falcato
489,8,Pokémon Oceanbondo
49,8,Pokémon Velentarma
490,8,Pokémon Oceandante
491,8,Pokémon Neropesto
492,8,Pokémon Gratitudine
493,8,Pokémon Primevo
494,8,Pokémon Vittoria
495,8,Pokémon Serperba
496,8,Pokémon Serperba
497,8,Pokémon Regale
498,8,Pokémon Suinfuoco
499,8,Pokémon Suinfuoco
5,8,Pokémon Fiamma
50,8,Pokémon Talpa
500,8,Pokémon Suincendio
501,8,Pokémon Lontra
502,8,Pokémon Apprendista
503,8,Pokémon Dignità
504,8,Pokémon Esplorante
505,8,Pokémon Sentinella
506,8,Pokémon Cagnolino
507,8,Pokémon Fedeltà
508,8,Pokémon Generosità
509,8,Pokémon Furbizia
51,8,Pokémon Talpa
510,8,Pokémon Sanguefreddo
511,8,Pokémon Scimperba
512,8,Pokémon Spinpanzé
513,8,Pokémon Testacalda
514,8,Pokémon Sfavillante
515,8,Pokémon Annaffiatore
516,8,Pokémon Spruzzacqua
517,8,Pokémon Divorasogni
518,8,Pokémon Dormiveglia
519,8,Pokémon Piccione
52,8,Pokémon Graffimiao
520,8,Pokémon Granpiccione
521,8,Pokémon Orgoglio
522,8,Pokémon Caricavolt
523,8,Pokémon Saetta
524,8,Pokémon Placca
525,8,Pokémon Minerale
526,8,Pokémon Pressionalta
527,8,Pokémon Pipistrello
528,8,Pokémon Cercamore
529,8,Pokémon Talpa
53,8,Pokémon Nobilgatto
530,8,Pokémon Sottoterra
531,8,Pokémon Ascolto
532,8,Pokémon Forzaimmane
533,8,Pokémon Forzaimmane
534,8,Pokémon Forzaimmane
535,8,Pokémon Girino
536,8,Pokémon Vibrazione
537,8,Pokémon Vibrazione
538,8,Pokémon Judo
539,8,Pokémon Karate
54,8,Pokémon Papero
540,8,Pokémon Grancucito
541,8,Pokémon Coprifoglia
542,8,Pokémon Balia
543,8,Pokémon Centipede
544,8,Pokémon Rotopede
545,8,Pokémon Megapede
546,8,Pokémon Cotonpalla
547,8,Pokémon Spiffero
548,8,Pokémon Radice
549,8,Pokémon Fiorfronzolo
55,8,Pokémon Papero
550,8,Pokémon Irruenza
551,8,Pokémon Sabbiadrillo
552,8,Pokémon Sabbiadrillo
553,8,Pokémon Minaccia
554,8,Pokémon Daruma
555,8,Pokémon Altefiamme
556,8,Pokémon Cactus
557,8,Pokémon Pietracasa
558,8,Pokémon Scogliocasa
559,8,Pokémon Mutapelle
56,8,Pokémon Suinpanzè
560,8,Pokémon Furfante
561,8,Pokémon Pseuduccello
562,8,Pokémon Fatuanima
563,8,Pokémon Bara
564,8,Pokémon Ancestruga
565,8,Pokémon Ancestruga
566,8,Pokémon Paleouccello
567,8,Pokémon Paleouccello
568,8,Pokémon Spazzatura
569,8,Pokémon Discarica
57,8,Pokémon Suinpanzè
570,8,Pokémon Malavolpe
571,8,Pokémon Mutevolpe
572,8,Pokémon Cincillà
573,8,Pokémon Sciarpa
574,8,Pokémon Fissosguardo
575,8,Pokémon Raggiro
576,8,Pokémon Corpoceleste
577,8,Pokémon Cellula
578,8,Pokémon Scissione
579,8,Pokémon Espansione
58,8,Pokémon Cagnolino
580,8,Pokémon Alacquatico
581,8,Pokémon Biancuccello
582,8,Pokémon Nevefresca
583,8,Pokémon Geloneve
584,8,Pokémon Bufera
585,8,Pokémon Stagione
586,8,Pokémon Stagione
587,8,Pokémon Petauro
588,8,Pokémon Addentatore
589,8,Pokémon Cavaliere
59,8,Pokémon Leggenda
590,8,Pokémon Fungo
591,8,Pokémon Fungo
592,8,Pokémon Fluttuante
593,8,Pokémon Fluttuante
594,8,Pokémon Assistenza
595,8,Pokémon Appiccicante
596,8,Pokémon Elettroragno
597,8,Pokémon Spinaseme
598,8,Pokémon Spinasfere
599,8,Pokémon Ingranaggio
6,8,Pokémon Fiamma
60,8,Pokémon Girino
600,8,Pokémon Ingranaggio
601,8,Pokémon Ingranaggio
602,8,Pokémon Elettropesce
603,8,Pokémon Elettropesce
604,8,Pokémon Elettropesce
605,8,Pokémon Cervello
606,8,Pokémon Cervello
607,8,Pokémon Candela
608,8,Pokémon Lanterna
609,8,Pokémon Attiranime
61,8,Pokémon Girino
610,8,Pokémon Zanna
611,8,Pokémon Mascellascia
612,8,Pokémon Mascellascia
613,8,Pokémon Freddo
614,8,Pokémon Glaciale
615,8,Pokémon Cristallo
616,8,Pokémon Lumachina
617,8,Pokémon Sgusciato
618,8,Pokémon Trappola
619,8,Pokémon Marziale
62,8,Pokémon Girino
620,8,Pokémon Marziale
621,8,Pokémon Grotta
622,8,Pokémon Statuanimata
623,8,Pokémon Statuanimata
624,8,Pokémon Lamaffilata
625,8,Pokémon Fildilama
626,8,Pokémon Sfondatoro
627,8,Pokémon Aquilotto
628,8,Pokémon Baldanza
629,8,Pokémon Pannolino
63,8,Pokémon Psico
630,8,Pokémon Ossaquila
631,8,Pokémon Formichiere
632,8,Pokémon Ferformica
633,8,Pokémon Impeto
634,8,Pokémon Irruenza
635,8,Pokémon Brutale
636,8,Pokémon Torcia
637,8,Pokémon Sole
638,8,Pokémon Metalcuore
639,8,Pokémon Caverna
64,8,Pokémon Psico
640,8,Pokémon Prateria
641,8,Pokémon Turbinio
642,8,Pokémon Fulminante
643,8,Pokémon Bianco Verità
644,8,Pokémon Nero Ideale
645,8,Pokémon Fertilità
646,8,Pokémon Confine
647,8,Pokémon Puledro
648,8,Pokémon Melodia
649,8,Pokémon Paleozoico
65,8,Pokémon Psico
650,8,Pokémon Castanriccio
651,8,Pokémon Spincorazza
652,8,Pokémon Spincorazza
653,8,Pokémon Volpe
654,8,Pokémon Volpe
655,8,Pokémon Volpe
656,8,Pokémon Schiumorana
657,8,Pokémon Schiumorana
658,8,Pokémon Ninja
659,8,Pokémon Scavabuche
66,8,Pokémon Megaforza
660,8,Pokémon Scavabuche
661,8,Pokémon Pettirosso
662,8,Pokémon Sfavillante
663,8,Pokémon Ardifiamma
664,8,Pokémon Tirascaglie
665,8,Pokémon Tirascaglie
666,8,Pokémon Farfascaglia
667,8,Pokémon Leoncino
668,8,Pokémon Reale
669,8,Pokémon Monofiore
67,8,Pokémon Megaforza
670,8,Pokémon Monofiore
671,8,Pokémon Giardino
672,8,Pokémon Cavalcatura
673,8,Pokémon Cavalcatura
674,8,Pokémon Briccone
675,8,Pokémon Occhiotruce
676,8,Pokémon Barboncino
677,8,Pokémon Moderazione
678,8,Pokémon Temperanza
679,8,Pokémon Armabianca
68,8,Pokémon Megaforza
680,8,Pokémon Armabianca
681,8,Pokémon Spadareale
682,8,Pokémon Profumo
683,8,Pokémon Fragranza
684,8,Pokémon Zuccherino
685,8,Pokémon Panna
686,8,Pokémon Volteggio
687,8,Pokémon Giravolta
688,8,Pokémon Bimano
689,8,Pokémon Aggregato
69,8,Pokémon Fiore
690,8,Pokémon Similalga
691,8,Pokémon Similalga
692,8,Pokémon Zampillo
693,8,Pokémon Acqualancio
694,8,Pokémon Generatore
695,8,Pokémon Generatore
696,8,Pokémon Principino
697,8,Pokémon Tiranno
698,8,Pokémon Tundra
699,8,Pokémon Tundra
7,8,Pokémon Tartaghina
70,8,Pokémon Moschivoro
700,8,Pokémon Legame
701,8,Pokémon Lottalibera
702,8,Pokémon Antenna
703,8,Pokémon Gemma
704,8,Pokémon Mollusco
705,8,Pokémon Mollusco
706,8,Pokémon Drago
707,8,Pokémon Portachiavi
708,8,Pokémon Ceppo
709,8,Pokémon Alberantico
71,8,Pokémon Moschivoro
710,8,Pokémon Zucca
711,8,Pokémon Zucca
712,8,Pokémon Ghiacciolo
713,8,Pokémon Iceberg
714,8,Pokémon Ondasonora
715,8,Pokémon Ondasonora
716,8,Pokémon Creazione
717,8,Pokémon Distruzione
718,8,Pokémon Equilibrio
719,8,Pokémon Gemma
72,8,Pokémon Medusa
720,8,Pokémon Birba
721,8,Pokémon Vapore
722,8,Pokémon Aliderba
723,8,Pokémon Piumaffilata
724,8,Pokémon Alifreccia
725,8,Pokémon Pirofelino
726,8,Pokémon Pirofelino
727,8,Pokémon Colpibassi
728,8,Pokémon Otaria
729,8,Pokémon Pop Star
73,8,Pokémon Medusa
730,8,Pokémon Solista
731,8,Pokémon Picchio
732,8,Pokémon Trombecco
733,8,Pokémon Cannone
734,8,Pokémon Pattuglia
735,8,Pokémon Sorveglianza
736,8,Pokémon Coleolarva
737,8,Pokémon Batteria
738,8,Pokémon Cervolante
739,8,Pokémon Pugile
74,8,Pokémon Roccia
740,8,Pokémon Peligranchio
741,8,Pokémon Danza
742,8,Pokémon Bombilide
743,8,Pokémon Bombilide
744,8,Pokémon Cagnolino
745,8,Pokémon Lupo
746,8,Pokémon Pesciolino
747,8,Pokémon Stellatroce
748,8,Pokémon Stellatroce
749,8,Pokémon Ciuconiglio
75,8,Pokémon Roccia
750,8,Pokémon Fortequino
751,8,Pokémon Bolladacqua
752,8,Pokémon Bolladacqua
753,8,Pokémon Mantiderba
754,8,Pokémon Mantifiore
755,8,Pokémon Luminescenza
756,8,Pokémon Luminescenza
757,8,Pokémon Lucertossina
758,8,Pokémon Lucertossina
759,8,Pokémon Bizzoso
76,8,Pokémon Megatone
760,8,Pokémon Fortebraccio
761,8,Pokémon Frutto
762,8,Pokémon Frutto
763,8,Pokémon Frutto
764,8,Pokémon Ghirlanda
765,8,Pokémon Saggio
766,8,Pokémon Giocosquadra
767,8,Pokémon Lestopode
768,8,Pokémon Blindato
769,8,Pokémon Montesabbia
77,8,Pokémon Cavalfuoco
770,8,Pokémon Castelsabbia
771,8,Pokémon Oloturia
772,8,Pokémon Multigene
773,8,Pokémon Multigene
774,8,Pokémon Meteora
775,8,Pokémon Dormiveglia
776,8,Pokémon Tartabomba
777,8,Pokémon Ricciopalla
778,8,Pokémon Fantasmanto
779,8,Pokémon Sfregadenti
78,8,Pokémon Cavalfuoco
780,8,Pokémon Tuttacalma
781,8,Pokémon Brandellalga
782,8,Pokémon Squama
783,8,Pokémon Squama
784,8,Pokémon Squama
785,8,Pokémon Nume Locale
786,8,Pokémon Nume Locale
787,8,Pokémon Nume Locale
788,8,Pokémon Nume Locale
789,8,Pokémon Nebulosa
79,8,Pokémon Ronfone
790,8,Pokémon Protostella
791,8,Pokémon Solare
792,8,Pokémon Lunare
793,8,Pokémon Parassita
794,8,Pokémon Gonfiacorpo
795,8,Pokémon Leggiadria
796,8,Pokémon Luminaria
797,8,Pokémon Decollo
798,8,Pokémon Spadatratta
799,8,Pokémon Divoratutto
8,8,Pokémon Tartaruga
80,8,Pokémon Paguro
800,8,Pokémon Prisma
801,8,Pokémon Artificiale
802,8,Pokémon Vivinombra
803,8,Pokémon Velenago
804,8,Pokémon Velenago
805,8,Pokémon Bastione
806,8,Pokémon Pirotecnico
807,8,Pokémon Fulmirapido
808,8,Pokémon Bullone
809,8,Pokémon Bullone
81,8,Pokémon Calamita
810,8,Pokémon Scimpanzé
811,8,Pokémon Ritmo
812,8,Pokémon Percussione
813,8,Pokémon Coniglio
814,8,Pokémon Coniglio
815,8,Pokémon Cannoniere
816,8,Pokémon Acquacertola
817,8,Pokémon Acquacertola
818,8,Pokémon Agente
819,8,Pokémon Guancepiene
82,8,Pokémon Calamita
820,8,Pokémon Ingordigia
821,8,Pokémon Uccellino
822,8,Pokémon Corvo
823,8,Pokémon Corvo
824,8,Pokémon Coleolarva
825,8,Pokémon Radome
826,8,Pokémon Settepunti
827,8,Pokémon Volpe
828,8,Pokémon Volpe
829,8,Pokémon Fiorfronzolo
83,8,Pokémon Selvanatra
830,8,Pokémon Cotofronzolo
831,8,Pokémon Pecora
832,8,Pokémon Pecora
833,8,Pokémon Mordace
834,8,Pokémon Morso
835,8,Pokémon Cagnolino
836,8,Pokémon Cane
837,8,Pokémon Carbone
838,8,Pokémon Carbone
839,8,Pokémon Carbone
84,8,Pokémon Biuccello
840,8,Pokémon Pomicolo
841,8,Pokémon Pomivolo
842,8,Pokémon Pomisucco
843,8,Pokémon Sabbiaserpe
844,8,Pokémon Sabbiaserpe
845,8,Pokémon Inghiottone
846,8,Pokémon Carica
847,8,Pokémon Spiedo
848,8,Pokémon Bebè
849,8,Pokémon Punk
85,8,Pokémon Triuccello
850,8,Pokémon Termogeno
851,8,Pokémon Termogeno
852,8,Pokémon Bizze
853,8,Pokémon Jujitsu
854,8,Pokémon Tè
855,8,Pokémon Tè
856,8,Pokémon Calma
857,8,Pokémon Quiete
858,8,Pokémon Silenzio
859,8,Pokémon Scaltro
86,8,Pokémon Otaria
860,8,Pokémon Furbizia
861,8,Pokémon Granfisico
862,8,Pokémon Bloccaggio
863,8,Pokémon Vichingo
864,8,Pokémon Corallo
865,8,Pokémon Selvanatra
866,8,Pokémon Comico
867,8,Pokémon Rancore
868,8,Pokémon Pannafresca
869,8,Pokémon Pannafresca
87,8,Pokémon Otaria
870,8,Pokémon Schieramento
871,8,Pokémon Echino
872,8,Pokémon Baco
873,8,Pokémon Gelofalena
874,8,Pokémon Megalito
875,8,Pokémon Pinguino
876,8,Pokémon Emozione
877,8,Pokémon Doppiafaccia
878,8,Pokémon Bronzofante
879,8,Pokémon Bronzofante
88,8,Pokémon Melma
880,8,Pokémon Fossile
881,8,Pokémon Fossile
882,8,Pokémon Fossile
883,8,Pokémon Fossile
884,8,Pokémon Metallolega
885,8,Pokémon Risentimento
886,8,Pokémon Sostegno
887,8,Pokémon Furtivo
888,8,Pokémon Guerriero
889,8,Pokémon Guerriero
89,8,Pokémon Melma
890,8,Pokémon Gigante
891,8,Pokémon Kung Fu
892,8,Pokémon Kung Fu
893,8,Pokémon Scimmialigna
894,8,Pokémon Elettrone
895,8,Pokémon Dracosfera
896,8,Pokémon Furiequino
897,8,Pokémon Sveltequino
898,8,Pokémon Re
899,8,Pokémon Grancorno
9,8,Pokémon Crostaceo
90,8,Pokémon Bivalve
900,8,Pokémon Scure
901,8,Pokémon Torba
902,8,Pokémon Pescegrosso
903,8,Pokémon Scalata
904,8,Pokémon Spinoso
905,8,Pokémon Amoreodio
906,8,Pokémon Erbagatto
907,8,Pokémon Erbagatto
908,8,Pokémon Illusionista
909,8,Pokémon Fuocodrillo
91,8,Pokémon Bivalve
910,8,Pokémon Fuocodrillo
911,8,Pokémon Cantante
912,8,Pokémon Anatroccolo
913,8,Pokémon Esercizio
914,8,Pokémon Ballerino
915,8,Pokémon Porcellino
916,8,Pokémon Porcellino
917,8,Pokémon Gomitolo
918,8,Pokémon Trappola
919,8,Pokémon Cavalletta
92,8,Pokémon Gas
920,8,Pokémon Cavalletta
921,8,Pokémon Topo
922,8,Pokémon Topo
923,8,Pokémon Toccasana
924,8,Pokémon Coppia
925,8,Pokémon Famiglia
926,8,Pokémon Cagnolino
927,8,Pokémon Cane
928,8,Pokémon Oliva
929,8,Pokémon Oliva
93,8,Pokémon Gas
930,8,Pokémon Oliva
931,8,Pokémon Pappagallo
