pokemon_id,generation_id,ability_id,is_hidden,slot
321,4,,1,3
322,3,,0,2
322,4,,1,3
323,3,,0,2
323,4,,1,3
324,4,,1,3
324,6,,0,2
325,4,,1,3
326,4,,1,3
327,3,,0,2
327,4,,1,3
328,4,,1,3
331,4,,1,3
332,4,,1,3
333,4,,1,3
334,4,,1,3
335,4,,1,3
336,4,,1,3
339,3,,0,2
339,4,,1,3
340,3,,0,2
340,4,,1,3
341,4,,1,3
342,4,,1,3
345,4,,1,3
346,4,,1,3
347,4,,1,3
348,4,,1,3
349,4,,1,3
349,5,,0,2
350,4,,1,3
350,5,,0,2
352,5,,1,3
353,3,,0,2
353,4,,1,3
354,3,,0,2
354,4,,1,3
355,5,,1,3
356,5,,1,3
357,3,,0,2
357,4,,1,3
359,3,,0,2
359,4,,1,3
360,4,,1,3
361,3,,0,2
361,4,,1,3
362,3,,0,2
362,4,,1,3
363,3,,0,2
363,4,,1,3
364,3,,0,2
364,4,,1,3
365,3,,0,2
365,4,,1,3
366,4,,1,3
367,4,,1,3
368,4,,1,3
369,4,,1,3
370,4,,1,3
371,4,,1,3
372,4,,1,3
373,4,,1,3
374,4,,1,3
375,4,,1,3
376,4,,1,3
387,4,,1,3
388,4,,1,3
389,4,,1,3
390,4,,1,3
391,4,,1,3
392,4,,1,3
393,4,,1,3
393,8,128,1,3
394,4,,1,3
394,8,128,1,3
395,4,,1,3
395,8,128,1,3
396,5,,1,3
397,4,,1,3
398,4,,1,3
399,4,,1,3
400,4,,1,3
401,4,,1,3
402,4,,1,3
403,4,,1,3
404,4,,1,3
405,4,,1,3
406,4,,1,3
407,4,,1,3
408,4,,1,3
409,4,,1,3
410,4,,1,3
411,4,,1,3
412,4,,1,3
413,4,,1,3
414,4,,1,3
415,4,,1,3
416,4,,1,3
417,4,,1,3
418,4,,1,3
419,4,,1,3
422,4,,1,3
423,4,,1,3
424,4,,1,3
425,4,,1,3
426,4,,1,3
427,4,,1,3
428,4,,1,3
430,4,,1,3
431,4,,1,3
432,4,,1,3
434,4,,1,3
435,4,,1,3
436,4,,1,3
437,4,,1,3
438,4,,1,3
439,4,,1,3
440,4,,1,3
441,4,,1,3
442,4,,1,3
443,4,,1,3
444,4,,1,3
445,4,,1,3
446,4,,1,3
447,4,,1,3
448,4,,1,3
449,4,,1,3
450,4,,1,3
451,4,,1,3
452,4,,1,3
453,4,,1,3
454,4,,1,3
456,4,,1,3
457,4,,1,3
458,4,,1,3
459,4,,1,3
460,4,,1,3
461,4,,1,3
462,4,,1,3
463,4,,1,3
464,4,,1,3
465,4,,1,3
466,4,,1,3
467,4,,1,3
468,4,,1,3
469,4,,1,3
470,4,,1,3
471,4,,1,3
472,4,,1,3
473,4,,1,3
474,4,,1,3
475,4,,1,3
475,8,,0,2
476,4,,1,3
477,5,,1,3
478,4,,1,3
483,4,,1,3
484,4,,1,3
487,4,,1,3
524,6,,0,2
525,6,,0,2
526,6,,0,2
543,5,95,1,3
544,5,95,1,3
545,5,95,1,3
574,5,,0,2
575,5,,0,2
576,5,,0,2
582,6,,0,2
583,6,,0,2
584,6,,0,2
598,5,,1,3
607,5,23,1,3
608,5,23,1,3
609,5,23,1,3
613,6,,0,2
614,6,,0,2
900,8,80,1,3
902,8,155,0,1
903,8,,0,2
905,8,131,0,1
10004,4,,1,3
10005,4,,1,3
10016,5,69,0,1
10229,8,154,1,3
10230,8,154,1,3
10233,8,18,1,3
10235,8,143,1,3
10236,8,75,1,3
10240,8,128,1,3
10241,8,75,0,2
10242,8,75,0,2
10244,8,203,1,3
10248,8,155,0,1
