mechanic_id,effect_type_id,target_id,value,value_type,probability,is_consumed
168,2,2,5,multiplier,100,true
169,2,2,1,multiplier,100,true
170,2,2,0.1,multiplier,100,true
171,2,2,1,multiplier,100,true
172,1,2,20,add,100,true
173,6,2,5,ailment_id,100,true
162,1,2,100,percent_max,100,false
162,6,2,"1,2,3,4,5",ailment_id,100,false
176,6,2,4,ailment_id,100,true
177,6,2,3,ailment_id,100,true
178,6,2,2,ailment_id,100,true
179,6,2,1,ailment_id,100,true
180,1,2,100,percent_max,100,true
181,6,2,"1,2,3,4,5",ailment_id,100,true
182,1,2,100,percent_max,100,true
182,6,2,"1,2,3,4,5,6",ailment_id,100,true
184,1,2,100,percent_max,100,true
185,1,2,200,add,100,true
186,1,2,120,add,100,true
187,1,2,50,add,100,true
188,1,2,60,add,100,true
189,6,2,"1,2,3,4,5",ailment_id,100,true
190,6,2,"1,2,3,4,5,6",ailment_id,100,true
191,1,2,50,percent_max,100,true
192,1,2,100,percent_max,100,true
193,1,2,50,add,100,true
194,1,2,30,add,100,true
195,1,2,60,add,100,true
196,1,2,50,add,100,true
197,1,2,80,add,100,true
198,1,2,70,add,100,true
199,1,2,100,add,100,true
200,1,2,50,add,100,true
201,4,2,5,subtract,100,true
202,4,2,10,subtract,100,true
203,1,2,60,add,100,true
204,4,2,5,subtract,100,true
205,4,2,10,subtract,100,true
206,1,2,60,add,100,true
207,4,2,5,subtract,100,true
208,4,2,10,subtract,100,true
209,1,2,200,add,100,true
210,4,2,10,subtract,100,true
211,4,2,15,subtract,100,true
212,1,2,120,add,100,true
213,4,2,10,subtract,100,true
214,4,2,15,subtract,100,true
215,1,2,120,add,100,true
216,4,2,5,subtract,100,true
217,4,2,10,subtract,100,true
218,6,2,"1,2,3,4,5,6",ailment_id,100,true
219,4,2,5,subtract,100,true
220,4,2,10,subtract,100,true
221,6,2,"1,2,3,4,5,6",ailment_id,100,true
222,4,2,5,subtract,100,true
223,4,2,10,subtract,100,true
224,1,2,100,percent_max,100,true
225,4,2,15,subtract,100,true
226,4,2,20,subtract,100,true
227,1,2,50,percent_max,100,true
228,4,2,15,subtract,100,true
229,4,2,20,subtract,100,true
230,1,2,100,percent_max,100,true
231,4,2,15,subtract,100,true
232,4,2,20,subtract,100,true
233,1,2,100,percent_max,100,true
234,4,2,5,subtract,100,true
235,4,2,10,subtract,100,true
236,7,2,10,add,100,true
237,7,2,100,percent_max,100,true
238,5,2,10,add,100,true
239,5,2,100,percent_max,100,true
240,6,2,"1,2,3,4,5,6",ailment_id,100,true
241,1,1,20,add,100,true
242,1,2,20,add,100,true
243,1,3,100,percent_max,100,true
243,5,3,100,percent_max,100,true
244,1,3,100,percent_max,100,true
245,1,3,100,percent_max,100,true
246,8,2,2560,add,100,true
247,8,2,2560,add,100,true
248,4,2,5,add,100,true
249,4,2,3,add,100,true
250,4,2,2,add,100,true
251,8,2,10,add,100,true
252,4,2,5,add,100,true
253,4,2,3,add,100,true
254,4,2,2,add,100,true
255,8,2,10,add,100,true
256,4,2,4,add,100,true
257,4,2,2,add,100,true
258,8,2,10,add,100,true
259,4,2,4,add,100,true
260,4,2,2,add,100,true
261,8,2,10,add,100,true
262,4,2,4,add,100,true
263,4,2,2,add,100,true
264,9,2,2560,add,100,true
265,9,2,2560,add,100,true
266,4,2,5,add,100,true
267,4,2,3,add,100,true
268,4,2,2,add,100,true
269,9,2,10,add,100,true
270,4,2,5,add,100,true
271,4,2,3,add,100,true
272,4,2,2,add,100,true
273,9,2,10,add,100,true
274,4,2,4,add,100,true
275,4,2,2,add,100,true
276,9,2,10,add,100,true
277,4,2,4,add,100,true
278,4,2,2,add,100,true
279,9,2,10,add,100,true
280,4,2,4,add,100,true
281,4,2,2,add,100,true
282,10,2,2560,add,100,true
283,10,2,2560,add,100,true
284,4,2,5,add,100,true
285,4,2,3,add,100,true
286,4,2,2,add,100,true
287,10,2,10,add,100,true
288,4,2,5,add,100,true
289,4,2,3,add,100,true
290,4,2,2,add,100,true
291,10,2,10,add,100,true
292,4,2,4,add,100,true
293,4,2,2,add,100,true
294,10,2,10,add,100,true
295,4,2,4,add,100,true
296,4,2,2,add,100,true
297,10,2,10,add,100,true
298,4,2,4,add,100,true
299,4,2,2,add,100,true
300,11,2,2560,add,100,true
301,11,2,2560,add,100,true
302,4,2,5,add,100,true
303,4,2,3,add,100,true
304,4,2,2,add,100,true
305,11,2,10,add,100,true
306,4,2,5,add,100,true
307,4,2,3,add,100,true
308,4,2,2,add,100,true
309,11,2,10,add,100,true
310,4,2,4,add,100,true
311,4,2,2,add,100,true
312,11,2,10,add,100,true
313,4,2,4,add,100,true
314,4,2,2,add,100,true
315,11,2,10,add,100,true
316,4,2,4,add,100,true
317,4,2,2,add,100,true
318,12,2,2560,add,100,true
319,12,2,2560,add,100,true
320,4,2,5,add,100,true
321,4,2,3,add,100,true
322,4,2,2,add,100,true
323,12,2,10,add,100,true
324,4,2,5,add,100,true
325,4,2,3,add,100,true
326,4,2,2,add,100,true
327,12,2,10,add,100,true
328,4,2,4,add,100,true
329,4,2,2,add,100,true
330,12,2,10,add,100,true
331,4,2,4,add,100,true
332,4,2,2,add,100,true
333,12,2,10,add,100,true
334,4,2,4,add,100,true
335,4,2,2,add,100,true
336,13,2,1,add,100,true
336,14,2,0,set,100,true
337,15,2,1,add,100,true
338,15,2,1,add,100,true
339,4,2,5,add,100,true
340,4,2,3,add,100,true
341,4,2,2,add,100,true
342,15,2,1,add,100,true
343,4,2,4,add,100,true
344,4,2,2,add,100,true
345,15,2,1,add,100,true
346,4,2,4,add,100,true
347,4,2,2,add,100,true
348,15,2,1,add,100,true
349,4,2,4,add,100,true
350,4,2,2,add,100,true
351,16,2,10,add,100,true
352,4,2,5,add,100,true
353,4,2,3,add,100,true
354,4,2,2,add,100,true
355,16,2,10,add,100,true
356,4,2,4,add,100,true
357,4,2,2,add,100,true
358,16,2,10,add,100,true
359,4,2,4,add,100,true
360,4,2,2,add,100,true
361,16,2,10,add,100,true
362,4,2,4,add,100,true
363,4,2,2,add,100,true
364,15,2,3,set,100,true
365,15,2,3,set,100,true
366,4,2,5,add,100,true
367,4,2,3,add,100,true
368,4,2,2,add,100,true
369,15,2,3,set,100,true
370,4,2,4,add,100,true
371,4,2,2,add,100,true
372,15,2,3,set,100,true
373,4,2,4,add,100,true
374,4,2,2,add,100,true
375,15,2,3,set,100,true
376,4,2,4,add,100,true
377,4,2,2,add,100,true
378,6,2,"1,2,3,4,5,6",ailment_id,100,true
379,25,2,43,ailment_id,100,true
380,17,2,mist,battle_condition,100,true
381,4,2,1,add,100,true
382,17,2,mist,battle_condition,100,true
383,4,2,1,add,100,true
384,17,2,mist,battle_condition,100,true
385,4,2,1,add,100,true
386,17,2,mist,battle_condition,100,true
387,4,2,1,add,100,true
388,25,2,44,ailment_id,100,true
389,25,2,44,ailment_id,100,true
390,4,2,1,add,100,true
391,25,2,44,ailment_id,100,true
392,4,2,1,add,100,true
393,25,2,44,ailment_id,100,true
394,4,2,1,add,100,true
395,25,2,44,ailment_id,100,true
396,4,2,1,add,100,true
397,18,2,1,add,100,true
398,18,2,1,add,100,true
399,4,2,1,add,100,true
400,18,2,1,add,100,true
401,4,2,1,add,100,true
402,18,2,1,add,100,true
403,4,2,1,add,100,true
404,18,2,1,add,100,true
405,4,2,1,add,100,true
406,19,2,1,add,100,true
407,19,2,1,add,100,true
408,4,2,1,add,100,true
409,19,2,1,add,100,true
410,4,2,1,add,100,true
411,19,2,1,add,100,true
412,4,2,1,add,100,true
413,19,2,1,add,100,true
414,4,2,1,add,100,true
415,22,2,1,add,100,true
416,22,2,1,add,100,true
417,4,2,1,add,100,true
418,22,2,1,add,100,true
419,4,2,1,add,100,true
420,22,2,1,add,100,true
421,4,2,1,add,100,true
422,22,2,1,add,100,true
423,4,2,1,add,100,true
424,23,2,1,add,100,true
425,23,2,1,add,100,true
426,4,2,1,add,100,true
427,23,2,1,add,100,true
428,4,2,1,add,100,true
429,23,2,1,add,100,true
430,4,2,1,add,100,true
431,23,2,1,add,100,true
432,4,2,1,add,100,true
433,20,2,1,add,100,true
434,20,2,1,add,100,true
435,4,2,1,add,100,true
436,20,2,1,add,100,true
437,4,2,1,add,100,true
438,20,2,1,add,100,true
439,4,2,1,add,100,true
440,20,2,1,add,100,true
441,4,2,1,add,100,true
442,21,2,1,add,100,true
443,4,2,1,add,100,true
444,21,2,1,add,100,true
445,4,2,1,add,100,true
446,21,2,1,add,100,true
447,4,2,1,add,100,true
448,21,2,1,add,100,true
449,4,2,1,add,100,true
450,26,6,,,100,true
451,26,6,,,100,true
452,6,2,2,ailment_id,100,false
453,6,2,6,ailment_id,100,false
454,6,2,7,ailment_id,100,false
455,27,6,200,set,100,true
456,27,6,250,set,100,true
457,28,6,,,100,true
458,27,6,100,set,100,true
459,29,1,20,percent_max,100,false
459,30,1,20,percent_max,100,false
460,31,1,20,percent_max,100,false
460,30,1,20,percent_max,100,false
461,6,1,1,ailment_id,100,true
462,6,2,1,ailment_id,100,true
463,6,1,2,ailment_id,100,true
464,6,2,2,ailment_id,100,true
465,6,1,5,ailment_id,100,true
466,6,2,5,ailment_id,100,true
467,6,1,4,ailment_id,100,true
468,6,2,4,ailment_id,100,true
469,6,1,3,ailment_id,100,true
470,6,2,3,ailment_id,100,true
471,7,1,10,add,100,true
472,7,2,10,add,100,true
473,1,1,10,add,100,true
474,1,2,10,add,100,true
475,1,1,10,add,100,true
476,1,2,10,add,100,true
477,6,1,6,ailment_id,100,true
478,6,2,6,ailment_id,100,true
479,6,1,"1,2,3,4,5,6",ailment_id,100,true
480,6,2,"1,2,3,4,5,6",ailment_id,100,true
481,1,1,50,percent_max,100,true
482,25,1,6,ailment_id,100,true
483,1,2,50,percent_max,100,true
484,1,1,50,percent_max,100,true
485,25,1,6,ailment_id,100,true
486,1,2,50,percent_max,100,true
487,1,1,1/3,fraction,100,true
488,25,1,6,ailment_id,100,true
489,1,2,1/3,percent_max,100,true
490,1,1,50,percent_max,100,true
491,25,1,6,ailment_id,100,true
492,1,2,50,percent_max,100,true
493,1,1,50,percent_max,100,true
494,25,1,6,ailment_id,100,true
495,1,2,50,percent_max,100,true
496,1,1,1/3,fraction,100,true
497,25,1,6,ailment_id,100,true
498,1,2,1/3,percent_max,100,true
499,1,1,50,percent_max,100,true
500,25,1,6,ailment_id,100,true
501,1,2,50,percent_max,100,true
502,1,1,50,percent_max,100,true
503,25,1,6,ailment_id,100,true
504,1,2,50,percent_max,100,true
505,1,1,1/3,fraction,100,true
506,25,1,6,ailment_id,100,true
507,1,2,1/3,percent_max,100,true
508,1,1,50,percent_max,100,true
509,25,1,6,ailment_id,100,true
510,1,2,50,percent_max,100,true
511,1,1,50,percent_max,100,true
512,25,1,6,ailment_id,100,true
513,1,2,50,percent_max,100,true
514,1,1,1/3,fraction,100,true
515,25,1,6,ailment_id,100,true
516,1,2,1/3,percent_max,100,true
517,1,1,50,percent_max,100,true
518,25,1,6,ailment_id,100,true
519,1,2,50,percent_max,100,true
520,1,1,50,percent_max,100,true
521,25,1,6,ailment_id,100,true
522,1,2,50,percent_max,100,true
523,1,1,1/3,fraction,100,true
524,25,1,6,ailment_id,100,true
525,1,2,1/3,percent_max,100,true
526,8,2,10,subtract,100,true
527,4,2,10,add,100,true
528,4,2,5,add,100,true
529,4,2,2,add,100,true
530,8,2,10,subtract,100,true
531,4,2,10,add,100,true
532,4,2,5,add,100,true
533,4,2,1,add,100,true
534,8,2,10,subtract,100,true
535,4,2,10,add,100,true
536,4,2,5,add,100,true
537,4,2,1,add,100,true
538,8,2,10,subtract,100,true
539,4,2,10,add,100,true
540,4,2,5,add,100,true
541,4,2,1,add,100,true
542,9,2,10,subtract,100,true
543,4,2,10,add,100,true
544,4,2,5,add,100,true
545,4,2,2,add,100,true
546,9,2,10,subtract,100,true
547,4,2,10,add,100,true
548,4,2,5,add,100,true
549,4,2,1,add,100,true
550,9,2,10,subtract,100,true
551,4,2,10,add,100,true
552,4,2,5,add,100,true
553,4,2,1,add,100,true
554,9,2,10,subtract,100,true
555,4,2,10,add,100,true
556,4,2,5,add,100,true
557,4,2,1,add,100,true
558,10,2,10,subtract,100,true
559,4,2,10,add,100,true
560,4,2,5,add,100,true
561,4,2,2,add,100,true
562,10,2,10,subtract,100,true
563,4,2,10,add,100,true
564,4,2,5,add,100,true
565,4,2,1,add,100,true
566,10,2,10,subtract,100,true
567,4,2,10,add,100,true
568,4,2,5,add,100,true
569,4,2,1,add,100,true
570,10,2,10,subtract,100,true
571,4,2,10,add,100,true
572,4,2,5,add,100,true
573,4,2,1,add,100,true
574,12,2,10,subtract,100,true
575,4,2,10,add,100,true
576,4,2,5,add,100,true
577,4,2,2,add,100,true
578,12,2,10,subtract,100,true
579,4,2,10,add,100,true
580,4,2,5,add,100,true
581,4,2,1,add,100,true
582,12,2,10,subtract,100,true
583,4,2,10,add,100,true
584,4,2,5,add,100,true
585,4,2,1,add,100,true
586,12,2,10,subtract,100,true
587,4,2,10,add,100,true
588,4,2,5,add,100,true
589,4,2,1,add,100,true
590,16,2,10,subtract,100,true
591,4,2,10,add,100,true
592,4,2,5,add,100,true
593,4,2,2,add,100,true
594,16,2,10,subtract,100,true
595,4,2,10,add,100,true
596,4,2,5,add,100,true
597,4,2,1,add,100,true
598,16,2,10,subtract,100,true
599,4,2,10,add,100,true
600,4,2,5,add,100,true
601,4,2,1,add,100,true
602,16,2,10,subtract,100,true
603,4,2,10,add,100,true
604,4,2,5,add,100,true
605,4,2,1,add,100,true
606,11,2,10,subtract,100,true
607,4,2,10,add,100,true
608,4,2,5,add,100,true
609,4,2,2,add,100,true
610,11,2,10,subtract,100,true
611,4,2,10,add,100,true
612,4,2,5,add,100,true
613,4,2,1,add,100,true
614,11,2,10,subtract,100,true
615,4,2,10,add,100,true
616,4,2,5,add,100,true
617,4,2,1,add,100,true
618,11,2,10,subtract,100,true
619,4,2,10,add,100,true
620,4,2,5,add,100,true
621,4,2,1,add,100,true
