location_id,local_language_id,name,subtitle
377,9,Relic Castle,
377,6,Alter Palast,
377,5,Château Enfoui,
377,1,古代の城,
378,9,Cold Storage,
378,6,Tiefkühlcontainer,
378,5,Hangar Frigorifique,
378,1,冷凍コンテナ,
379,9,Chargestone Cave,
379,6,Elektrolithhöhle,
379,5,Grotte Électrolithe,
379,1,電気石の洞穴,
380,9,Twist Mountain,
380,6,Wendelberg,
380,5,Mont Foré,
380,1,ネジ山,
381,9,Dragonspiral Tower,
381,6,Drachenstiege,
381,5,Tour Dragospire,
381,1,リュウラセンの塔,
382,9,Victory Road,
382,6,Siegesstraße,
382,5,Route Victoire,
382,1,チャンピオンロード,
383,9,Lacunosa Town,
383,6,Tessera,
383,5,Entrelasque,
383,1,カゴメタウン,
384,9,Undella Town,
384,6,Ondula,
384,5,Vaguelone,
384,1,サザナミタウン,
385,9,Anville Town,
385,6,Ferrula,
385,5,Rotombourg,
385,1,カナワタウン,
386,9,Pokémon League,
386,6,Pokémon-Liga,
386,5,Ligue Pokémon,
386,1,ポケモンリーグ,
