move_id,local_language_id,name
10,11,ひっかく
10,12,抓
11,1,はさむ
11,3,찝기
11,4,夾住
11,5,Force Poigne
11,6,Klammer
11,7,Agarre
11,8,Presa
11,9,Vise Grip
11,11,はさむ
11,12,夹住
12,1,ハサミギロチン
12,3,가위자르기
12,4,斷頭鉗
12,5,Guillotine
12,6,Guillotine
12,7,Guillotina
12,8,Ghigliottina
12,9,Guillotine
12,11,ハサミギロチン
12,12,断头钳
13,1,かまいたち
13,3,칼바람
13,4,旋風刀
13,5,Coupe-Vent
13,6,Klingensturm
13,7,Viento Cortante
13,8,Ventagliente
13,9,Razor Wind
13,11,かまいたち
13,12,旋风刀
14,1,つるぎのまい
14,3,칼춤
14,4,劍舞
14,5,Danse Lames
14,6,Schwerttanz
14,7,Danza Espada
14,8,Danzaspada
14,9,Swords Dance
14,11,つるぎのまい
14,12,剑舞
15,1,いあいぎり
15,3,풀베기
15,4,居合斬
15,5,Coupe
15,6,Zerschneider
15,7,Corte
15,8,Taglio
15,9,Cut
15,11,いあいぎり
15,12,居合斩
16,1,かぜおこし
16,3,바람일으키기
16,4,起風
16,5,Tornade
16,6,Windstoß
16,7,Tornado
16,8,Raffica
16,9,Gust
16,11,かぜおこし
16,12,起风
17,1,つばさでうつ
17,3,날개치기
17,4,翅膀攻擊
17,5,Cru-Ailes
17,6,Flügelschlag
17,7,Ataque Ala
17,8,Attacco d’Ala
17,9,Wing Attack
17,11,つばさでうつ
17,12,翅膀攻击
18,1,ふきとばし
18,3,날려버리기
18,4,吹飛
18,5,Cyclone
18,6,Wirbelwind
18,7,Remolino
18,8,Turbine
18,9,Whirlwind
18,11,ふきとばし
18,12,吹飞
19,1,そらをとぶ
19,3,공중날기
19,4,飛翔
19,5,Vol
19,6,Fliegen
19,7,Vuelo
19,8,Volo
19,9,Fly
19,11,そらをとぶ
19,12,飞翔
20,1,しめつける
20,3,조이기
20,4,綁緊
20,5,Étreinte
20,6,Klammergriff
20,7,Atadura
20,8,Legatutto
20,9,Bind
20,11,しめつける
20,12,绑紧
21,1,たたきつける
21,3,힘껏치기
21,4,摔打
21,5,Souplesse
21,6,Slam
21,7,Atizar
21,8,Schianto
21,9,Slam
21,11,たたきつける
21,12,摔打
22,1,つるのムチ
22,3,덩굴채찍
22,4,藤鞭
22,5,Fouet Lianes
22,6,Rankenhieb
22,7,Látigo Cepa
22,8,Frustata
22,9,Vine Whip
22,11,つるのムチ
22,12,藤鞭
23,1,ふみつけ
23,3,짓밟기
23,4,踩踏
23,5,Écrasement
23,6,Stampfer
23,7,Pisotón
23,8,Pestone
23,9,Stomp
23,11,ふみつけ
23,12,踩踏
24,1,にどげり
24,3,두번치기
24,4,二連踢
24,5,Double Pied
24,6,Doppelkick
24,7,Doble Patada
24,8,Doppiocalcio
24,9,Double Kick
24,11,にどげり
24,12,二连踢
25,1,メガトンキック
25,3,메가톤킥
25,4,百萬噸重踢
25,5,Ultimawashi
25,6,Megakick
25,7,Megapatada
25,8,Megacalcio
25,9,Mega Kick
25,11,メガトンキック
25,12,百万吨重踢
26,1,とびげり
26,3,점프킥
26,4,飛踢
26,5,Pied Sauté
26,6,Sprungkick
26,7,Patada Salto
26,8,Calciosalto
26,9,Jump Kick
26,11,とびげり
26,12,飞踢
27,1,まわしげり
27,3,돌려차기
27,4,迴旋踢
27,5,Mawashi Geri
27,6,Fegekick
27,7,Patada Giro
27,8,Calciorullo
27,9,Rolling Kick
27,11,まわしげり
27,12,回旋踢
28,1,すなかけ
28,3,모래뿌리기
28,4,潑沙
28,5,Jet de Sable
28,6,Sandwirbel
28,7,Ataque Arena
28,8,Turbosabbia
28,9,Sand Attack
28,11,すなかけ
28,12,泼沙
29,1,ずつき
29,3,박치기
29,4,頭錘
29,5,Coup d’Boule
29,6,Kopfnuss
29,7,Golpe Cabeza
29,8,Bottintesta
29,9,Headbutt
29,11,ずつき
29,12,头锤
30,1,つのでつく
30,3,뿔찌르기
30,4,角撞
30,5,Koud’Korne
30,6,Hornattacke
30,7,Cornada
30,8,Incornata
30,9,Horn Attack
30,11,つのでつく
30,12,角撞
31,1,みだれづき
31,3,마구찌르기
31,4,亂擊
31,5,Furie
31,6,Furienschlag
31,7,Ataque Furia
31,8,Furia
31,9,Fury Attack
31,11,みだれづき
31,12,乱击
32,1,つのドリル
32,3,뿔드릴
32,4,角鑽
32,5,Empal’Korne
32,6,Hornbohrer
32,7,Perforador
32,8,Perforcorno
32,9,Horn Drill
32,11,つのドリル
32,12,角钻
33,1,たいあたり
33,3,몸통박치기
33,4,撞擊
33,5,Charge
33,6,Tackle
33,7,Placaje
33,8,Azione
33,9,Tackle
33,11,たいあたり
33,12,撞击
34,1,のしかかり
34,3,누르기
34,4,泰山壓頂
34,5,Plaquage
34,6,Bodyslam
34,7,Golpe Cuerpo
34,8,Corposcontro
34,9,Body Slam
34,11,のしかかり
34,12,泰山压顶
35,1,まきつく
35,3,김밥말이
35,4,緊束
35,5,Ligotage
35,6,Wickel
35,7,Constricción
35,8,Avvolgibotta
35,9,Wrap
35,11,まきつく
35,12,紧束
36,1,とっしん
36,3,돌진
36,4,猛撞
36,5,Bélier
36,6,Bodycheck
36,7,Derribo
36,8,Riduttore
36,9,Take Down
36,11,とっしん
36,12,猛撞
37,1,あばれる
37,3,난동부리기
37,4,大鬧一番
37,5,Mania
37,6,Fuchtler
37,7,Golpe
37,8,Colpo
37,9,Thrash
37,11,あばれる
37,12,大闹一番
38,1,すてみタックル
38,3,이판사판태클
38,4,捨身衝撞
38,5,Damoclès
38,6,Risikotackle
38,7,Doble Filo
38,8,Sdoppiatore
38,9,Double-Edge
38,11,すてみタックル
38,12,舍身冲撞
39,1,しっぽをふる
39,3,꼬리흔들기
39,4,搖尾巴
39,5,Mimi-Queue
39,6,Rutenschlag
39,7,Látigo
39,8,Colpocoda
39,9,Tail Whip
39,11,しっぽをふる
39,12,摇尾巴
40,1,どくばり
40,3,독침
40,4,毒針
40,5,Dard-Venin
40,6,Giftstachel
40,7,Picotazo Veneno
40,8,Velenospina
40,9,Poison Sting
40,11,どくばり
40,12,毒针
41,1,ダブルニードル
41,3,더블니들
41,4,雙針
41,5,Double Dard
41,6,Duonadel
41,7,Doble Ataque
41,8,Doppio Ago
41,9,Twineedle
41,11,ダブルニードル
41,12,双针
42,1,ミサイルばり
42,3,바늘미사일
42,4,飛彈針
42,5,Dard-Nuée
42,6,Nadelrakete
42,7,Pin Misil
42,8,Missilspillo
42,9,Pin Missile
42,11,ミサイルばり
42,12,飞弹针
43,1,にらみつける
43,3,째려보기
43,4,瞪眼
43,5,Groz’Yeux
43,6,Silberblick
43,7,Malicioso
43,8,Fulmisguardo
43,9,Leer
43,11,にらみつける
43,12,瞪眼
44,1,かみつく
44,3,물기
44,4,咬住
44,5,Morsure
44,6,Biss
44,7,Mordisco
44,8,Morso
44,9,Bite
44,11,かみつく
44,12,咬住
45,1,なきごえ
45,3,울음소리
45,4,叫聲
45,5,Rugissement
45,6,Heuler
45,7,Gruñido
45,8,Ruggito
45,9,Growl
45,11,なきごえ
45,12,叫声
46,1,ほえる
46,3,울부짖기
46,4,吼叫
46,5,Hurlement
46,6,Brüller
46,7,Rugido
46,8,Boato
46,9,Roar
46,11,ほえる
46,12,吼叫
47,1,うたう
47,3,노래하기
47,4,唱歌
47,5,Berceuse
47,6,Gesang
47,7,Canto
47,8,Canto
47,9,Sing
47,11,うたう
47,12,唱歌
48,1,ちょうおんぱ
48,3,초음파
48,4,超音波
48,5,Ultrason
48,6,Superschall
48,7,Supersónico
48,8,Supersuono
48,9,Supersonic
48,11,ちょうおんぱ
48,12,超音波
49,1,ソニックブーム
49,3,소닉붐
49,4,音爆
49,5,Sonic Boom
49,6,Ultraschall
49,7,Bomba Sónica
49,8,Sonicboom
49,9,Sonic Boom
49,11,ソニックブーム
49,12,音爆
50,1,かなしばり
50,3,사슬묶기
50,4,定身法
50,5,Entrave
50,6,Aussetzer
50,7,Anulación
50,8,Inibitore
50,9,Disable
50,11,かなしばり
50,12,定身法
51,1,ようかいえき
51,3,용해액
51,4,溶解液
51,5,Acide
51,6,Säure
51,7,Ácido
51,8,Acido
51,9,Acid
51,11,ようかいえき
51,12,溶解液
52,1,ひのこ
52,3,불꽃세례
52,4,火花
52,5,Flammèche
52,6,Glut
52,7,Ascuas
52,8,Braciere
52,9,Ember
52,11,ひのこ
52,12,火花
53,1,かえんほうしゃ
53,3,화염방사
53,4,噴射火焰
53,5,Lance-Flammes
53,6,Flammenwurf
53,7,Lanzallamas
53,8,Lanciafiamme
53,9,Flamethrower
53,11,かえんほうしゃ
53,12,喷射火焰
54,1,しろいきり
54,3,흰안개
54,4,白霧
54,5,Brume
54,6,Weißnebel
54,7,Neblina
54,8,Nebbia
54,9,Mist
54,11,しろいきり
54,12,白雾
55,1,みずでっぽう
55,3,물대포
55,4,水槍
55,5,Pistolet à O
55,6,Aquaknarre
55,7,Pistola Agua
55,8,Pistolacqua
55,9,Water Gun
55,11,みずでっぽう
55,12,水枪
56,1,ハイドロポンプ
56,3,하이드로펌프
56,4,水炮
56,5,Hydrocanon
56,6,Hydropumpe
56,7,Hidrobomba
56,8,Idropompa
56,9,Hydro Pump
56,11,ハイドロポンプ
56,12,水炮
57,1,なみのり
57,3,파도타기
57,4,衝浪
57,5,Surf
57,6,Surfer
57,7,Surf
57,8,Surf
57,9,Surf
57,11,なみのり
57,12,冲浪
58,1,れいとうビーム
58,3,냉동빔
58,4,冰凍光束
58,5,Laser Glace
58,6,Eisstrahl
58,7,Rayo Hielo
58,8,Geloraggio
58,9,Ice Beam
58,11,れいとうビーム
58,12,冰冻光束
59,1,ふぶき
59,3,눈보라
59,4,暴風雪
59,5,Blizzard
59,6,Blizzard
59,7,Ventisca
59,8,Bora
59,9,Blizzard
59,11,ふぶき
59,12,暴风雪
60,1,サイケこうせん
60,3,환상빔
60,4,幻象光線
60,5,Rafale Psy
60,6,Psystrahl
60,7,Psicorrayo
60,8,Psicoraggio
60,9,Psybeam
60,11,サイケこうせん
60,12,幻象光线
61,1,バブルこうせん
61,3,거품광선
61,4,泡沫光線
61,5,Bulles d’O
61,6,Blubbstrahl
61,7,Rayo Burbuja
61,8,Bollaraggio
61,9,Bubble Beam
61,11,バブルこうせん
61,12,泡沫光线
62,1,オーロラビーム
62,3,오로라빔
62,4,極光束
62,5,Onde Boréale
62,6,Aurorastrahl
62,7,Rayo Aurora
62,8,Raggiaurora
62,9,Aurora Beam
62,11,オーロラビーム
62,12,极光束
63,1,はかいこうせん
63,3,파괴광선
63,4,破壞光線
63,5,Ultralaser
63,6,Hyperstrahl
63,7,Hiperrayo
63,8,Iper Raggio
63,9,Hyper Beam
63,11,はかいこうせん
63,12,破坏光线
64,1,つつく
64,3,쪼기
64,4,啄
64,5,Picpic
64,6,Pikser
64,7,Picotazo
64,8,Beccata
64,9,Peck
64,11,つつく
64,12,啄
65,1,ドリルくちばし
65,3,회전부리
65,4,啄鑽
65,5,Bec Vrille
65,6,Bohrschnabel
65,7,Pico Taladro
65,8,Perforbecco
65,9,Drill Peck
65,11,ドリルくちばし
65,12,啄钻
66,1,じごくぐるま
66,3,지옥의바퀴
66,4,地獄翻滾
66,5,Sacrifice
66,6,Überroller
66,7,Sumisión
66,8,Sottomissione
66,9,Submission
66,11,じごくぐるま
66,12,地狱翻滚
67,1,けたぐり
67,3,안다리걸기
67,4,踢倒
67,5,Balayage
67,6,Fußkick
67,7,Patada Baja
67,8,Colpo Basso
67,9,Low Kick
67,11,けたぐり
67,12,踢倒
68,1,カウンター
68,3,카운터
68,4,雙倍奉還
68,5,Riposte
68,6,Konter
68,7,Contraataque
68,8,Contrattacco
68,9,Counter
68,11,カウンター
68,12,双倍奉还
69,1,ちきゅうなげ
69,3,지구던지기
69,4,地球上投
69,5,Frappe Atlas
69,6,Geowurf
69,7,Sísmico
69,8,Movim. Sismico
69,9,Seismic Toss
69,11,ちきゅうなげ
69,12,地球上投
70,1,かいりき
70,3,괴력
70,4,怪力
70,5,Force
70,6,Stärke
70,7,Fuerza
70,8,Forza
70,9,Strength
70,11,かいりき
70,12,怪力
71,1,すいとる
71,3,흡수
71,4,吸取
71,5,Vole-Vie
71,6,Absorber
71,7,Absorber
71,8,Assorbimento
71,9,Absorb
71,11,すいとる
71,12,吸取
72,1,メガドレイン
72,3,메가드레인
72,4,超級吸取
72,5,Méga-Sangsue
72,6,Megasauger
72,7,Megaagotar
72,8,Megassorbimento
72,9,Mega Drain
72,11,メガドレイン
72,12,超级吸取
73,1,やどりぎのタネ
73,3,씨뿌리기
73,4,寄生種子
73,5,Vampigraine
73,6,Egelsamen
73,7,Drenadoras
73,8,Parassiseme
73,9,Leech Seed
73,11,やどりぎのタネ
73,12,寄生种子
74,1,せいちょう
74,3,성장
74,4,生長
74,5,Croissance
74,6,Wachstum
74,7,Desarrollo
74,8,Crescita
74,9,Growth
74,11,せいちょう
74,12,生长
75,1,はっぱカッター
75,3,잎날가르기
75,4,飛葉快刀
75,5,Tranch’Herbe
75,6,Rasierblatt
75,7,Hoja Afilada
75,8,Foglielama
75,9,Razor Leaf
75,11,はっぱカッター
75,12,飞叶快刀
76,1,ソーラービーム
76,3,솔라빔
76,4,日光束
76,5,Lance-Soleil
76,6,Solarstrahl
76,7,Rayo Solar
76,8,Solarraggio
76,9,Solar Beam
76,11,ソーラービーム
76,12,日光束
77,1,どくのこな
77,3,독가루
77,4,毒粉
77,5,Poudre Toxik
77,6,Giftpuder
77,7,Polvo Veneno
77,8,Velenpolvere
77,9,Poison Powder
77,11,どくのこな
77,12,毒粉
78,1,しびれごな
78,3,저리가루
78,4,麻痺粉
78,5,Para-Spore
78,6,Stachelspore
78,7,Paralizador
78,8,Paralizzante
78,9,Stun Spore
78,11,しびれごな
78,12,麻痹粉
79,1,ねむりごな
79,3,수면가루
79,4,催眠粉
79,5,Poudre Dodo
79,6,Schlafpuder
79,7,Somnífero
79,8,Sonnifero
79,9,Sleep Powder
79,11,ねむりごな
79,12,催眠粉
80,1,はなびらのまい
80,3,꽃잎댄스
80,4,花瓣舞
80,5,Danse Fleurs
80,6,Blättertanz
80,7,Danza Pétalo
80,8,Petalodanza
80,9,Petal Dance
80,11,はなびらのまい
80,12,花瓣舞
81,1,いとをはく
81,3,실뿜기
81,4,吐絲
81,5,Sécrétion
81,6,Fadenschuss
81,7,Disparo Demora
81,8,Millebave
81,9,String Shot
81,11,いとをはく
81,12,吐丝
82,1,りゅうのいかり
82,3,용의분노
82,4,龍之怒
82,5,Draco-Rage
82,6,Drachenwut
82,7,Furia Dragón
82,8,Ira di Drago
82,9,Dragon Rage
82,11,りゅうのいかり
82,12,龙之怒
83,1,ほのおのうず
83,3,회오리불꽃
83,4,火焰旋渦
83,5,Danse Flammes
83,6,Feuerwirbel
83,7,Giro Fuego
83,8,Turbofuoco
83,9,Fire Spin
83,11,ほのおのうず
83,12,火焰旋涡
84,1,でんきショック
84,3,전기쇼크
84,4,電擊
84,5,Éclair
84,6,Donnerschock
84,7,Impactrueno
84,8,Tuonoshock
84,9,Thunder Shock
84,11,でんきショック
84,12,电击
85,1,１０まんボルト
85,3,10만볼트
85,4,十萬伏特
85,5,Tonnerre
85,6,Donnerblitz
85,7,Rayo
85,8,Fulmine
85,9,Thunderbolt
85,11,１０まんボルト
85,12,十万伏特
86,1,でんじは
86,3,전기자석파
86,4,電磁波
86,5,Cage Éclair
86,6,Donnerwelle
86,7,Onda Trueno
86,8,Tuononda
86,9,Thunder Wave
86,11,でんじは
86,12,电磁波
87,1,かみなり
87,3,번개
87,4,打雷
87,5,Fatal-Foudre
87,6,Donner
87,7,Trueno
87,8,Tuono
87,9,Thunder
87,11,かみなり
87,12,打雷
88,1,いわおとし
88,3,돌떨구기
88,4,落石
88,5,Jet-Pierres
88,6,Steinwurf
88,7,Lanzarrocas
88,8,Sassata
88,9,Rock Throw
88,11,いわおとし
88,12,落石
89,1,じしん
89,3,지진
89,4,地震
89,5,Séisme
89,6,Erdbeben
89,7,Terremoto
89,8,Terremoto
89,9,Earthquake
89,11,じしん
89,12,地震
90,1,じわれ
90,3,땅가르기
90,4,地裂
90,5,Abîme
90,6,Geofissur
90,7,Fisura
90,8,Abisso
90,9,Fissure
90,11,じわれ
90,12,地裂
91,1,あなをほる
91,3,구멍파기
91,4,挖洞
91,5,Tunnel
91,6,Schaufler
91,7,Excavar
91,8,Fossa
91,9,Dig
91,11,あなをほる
91,12,挖洞
92,1,どくどく
92,3,맹독
92,4,劇毒
92,5,Toxik
92,6,Toxin
92,7,Tóxico
92,8,Tossina
92,9,Toxic
92,11,どくどく
92,12,剧毒
93,1,ねんりき
93,3,염동력
93,4,念力
93,5,Choc Mental
93,6,Konfusion
93,7,Confusión
93,8,Confusione
93,9,Confusion
93,11,ねんりき
93,12,念力
94,1,サイコキネシス
94,3,사이코키네시스
94,4,精神強念
94,5,Psyko
94,6,Psychokinese
94,7,Psíquico
94,8,Psichico
94,9,Psychic
94,11,サイコキネシス
94,12,精神强念
95,1,さいみんじゅつ
95,3,최면술
95,4,催眠術
95,5,Hypnose
95,6,Hypnose
95,7,Hipnosis
95,8,Ipnosi
95,9,Hypnosis
95,11,さいみんじゅつ
95,12,催眠术
96,1,ヨガのポーズ
96,3,요가포즈
96,4,瑜伽姿勢
96,5,Yoga
96,6,Meditation
96,7,Meditación
96,8,Meditazione
96,9,Meditate
96,11,ヨガのポーズ
96,12,瑜伽姿势
97,1,こうそくいどう
97,3,고속이동
97,4,高速移動
97,5,Hâte
97,6,Agilität
97,7,Agilidad
97,8,Agilità
97,9,Agility
97,11,こうそくいどう
97,12,高速移动
98,1,でんこうせっか
98,3,전광석화
98,4,電光一閃
98,5,Vive-Attaque
98,6,Ruckzuckhieb
98,7,Ataque Rápido
98,8,Attacco Rapido
98,9,Quick Attack
98,11,でんこうせっか
98,12,电光一闪
99,1,いかり
99,3,분노
99,4,憤怒
99,5,Frénésie
99,6,Raserei
99,7,Furia
99,8,Ira
99,9,Rage
99,11,いかり
99,12,愤怒
100,1,テレポート
100,3,순간이동
100,4,瞬間移動
100,5,Téléport
100,6,Teleport
100,7,Teletransporte
100,8,Teletrasporto
100,9,Teleport
100,11,テレポート
100,12,瞬间移动
101,1,ナイトヘッド
101,3,나이트헤드
101,4,黑夜魔影
101,5,Ombre Nocturne
101,6,Nachtnebel
101,7,Tinieblas
101,8,Ombra Notturna
101,9,Night Shade
101,11,ナイトヘッド
101,12,黑夜魔影
102,1,ものまね
102,3,흉내내기
102,4,模仿
102,5,Copie
102,6,Mimikry
102,7,Mimético
102,8,Mimica
102,9,Mimic
102,11,ものまね
102,12,模仿
103,1,いやなおと
103,3,싫은소리
103,4,刺耳聲
103,5,Grincement
103,6,Kreideschrei
103,7,Chirrido
103,8,Stridio
103,9,Screech
103,11,いやなおと
103,12,刺耳声
104,1,かげぶんしん
104,3,그림자분신
104,4,影子分身
104,5,Reflet
104,6,Doppelteam
104,7,Doble Equipo
104,8,Doppioteam
104,9,Double Team
104,11,かげぶんしん
104,12,影子分身
105,1,じこさいせい
105,3,HP회복
105,4,自我再生
105,5,Soin
105,6,Genesung
105,7,Recuperación
105,8,Ripresa
105,9,Recover
105,11,じこさいせい
105,12,自我再生
106,1,かたくなる
106,3,단단해지기
106,4,變硬
106,5,Armure
106,6,Härtner
106,7,Fortaleza
106,8,Rafforzatore
106,9,Harden
106,11,かたくなる
106,12,变硬
107,1,ちいさくなる
107,3,작아지기
107,4,變小
107,5,Lilliput
107,6,Komprimator
107,7,Reducción
107,8,Minimizzato
107,9,Minimize
107,11,ちいさくなる
107,12,变小
108,1,えんまく
108,3,연막
108,4,煙幕
108,5,Brouillard
108,6,Rauchwolke
108,7,Pantalla de Humo
108,8,Muro di Fumo
108,9,Smokescreen
108,11,えんまく
108,12,烟幕
109,1,あやしいひかり
109,3,이상한빛
109,4,奇異之光
109,5,Onde Folie
109,6,Konfusstrahl
109,7,Rayo Confuso
109,8,Stordiraggio
109,9,Confuse Ray
109,11,あやしいひかり
109,12,奇异之光
110,1,からにこもる
110,3,껍질에숨기
110,4,縮入殼中
110,5,Repli
110,6,Panzerschutz
110,7,Refugio
110,8,Ritirata
110,9,Withdraw
110,11,からにこもる
110,12,缩入壳中
111,1,まるくなる
111,3,웅크리기
111,4,變圓
111,5,Boul’Armure
111,6,Einigler
111,7,Rizo Defensa
111,8,Ricciolscudo
111,9,Defense Curl
111,11,まるくなる
111,12,变圆
112,1,バリアー
112,3,배리어
112,4,屏障
112,5,Bouclier
112,6,Barriere
112,7,Barrera
112,8,Barriera
112,9,Barrier
112,11,バリアー
112,12,屏障
113,1,ひかりのかべ
113,3,빛의장막
113,4,光牆
113,5,Mur Lumière
113,6,Lichtschild
113,7,Pantalla de Luz
113,8,Schermoluce
113,9,Light Screen
113,11,ひかりのかべ
113,12,光墙
114,1,くろいきり
114,3,흑안개
114,4,黑霧
114,5,Buée Noire
114,6,Dunkelnebel
114,7,Niebla
114,8,Nube
114,9,Haze
114,11,くろいきり
114,12,黑雾
115,1,リフレクター
115,3,리플렉터
115,4,反射壁
115,5,Protection
115,6,Reflektor
115,7,Reflejo
115,8,Riflesso
115,9,Reflect
115,11,リフレクター
115,12,反射壁
116,1,きあいだめ
116,3,기충전
116,4,聚氣
116,5,Puissance
116,6,Energiefokus
116,7,Foco Energía
116,8,Focalenergia
116,9,Focus Energy
116,11,きあいだめ
116,12,聚气
117,1,がまん
117,3,참기
117,4,忍耐
117,5,Patience
117,6,Geduld
117,7,Venganza
117,8,Pazienza
117,9,Bide
117,11,がまん
117,12,忍耐
118,1,ゆびをふる
118,3,손가락흔들기
118,4,揮指
118,5,Métronome
118,6,Metronom
118,7,Metrónomo
118,8,Metronomo
118,9,Metronome
118,11,ゆびをふる
118,12,挥指
119,1,オウムがえし
119,3,따라하기
119,4,鸚鵡學舌
119,5,Mimique
119,6,Spiegeltrick
119,7,Espejo
119,8,Speculmossa
119,9,Mirror Move
119,11,オウムがえし
119,12,鹦鹉学舌
120,1,じばく
120,3,자폭
120,4,自爆
120,5,Destruction
120,6,Finale
120,7,Autodestrucción
120,8,Autodistruzione
120,9,Self-Destruct
120,11,じばく
120,12,自爆
121,1,タマゴばくだん
121,3,알폭탄
121,4,炸蛋
121,5,Bombe Œuf
121,6,Eierbombe
121,7,Bomba Huevo
121,8,Uovobomba
121,9,Egg Bomb
121,11,タマゴばくだん
121,12,炸蛋
122,1,したでなめる
122,3,핥기
122,4,舌舔
122,5,Léchouille
122,6,Schlecker
122,7,Lengüetazo
122,8,Leccata
122,9,Lick
122,11,したでなめる
122,12,舌舔
123,1,スモッグ
123,3,스모그
123,4,濁霧
123,5,Purédpois
123,6,Smog
123,7,Polución
123,8,Smog
123,9,Smog
123,11,スモッグ
123,12,浊雾
124,1,ヘドロこうげき
124,3,오물공격
124,4,污泥攻擊
124,5,Détritus
124,6,Schlammbad
124,7,Residuos
124,8,Fango
124,9,Sludge
124,11,ヘドロこうげき
124,12,污泥攻击
125,1,ホネこんぼう
125,3,뼈다귀치기
125,4,骨棒
125,5,Massd’Os
125,6,Knochenkeule
125,7,Hueso Palo
125,8,Ossoclava
125,9,Bone Club
125,11,ホネこんぼう
125,12,骨棒
126,1,だいもんじ
126,3,불대문자
126,4,大字爆炎
126,5,Déflagration
126,6,Feuersturm
126,7,Llamarada
126,8,Fuocobomba
126,9,Fire Blast
126,11,だいもんじ
126,12,大字爆炎
127,1,たきのぼり
127,3,폭포오르기
127,4,攀瀑
127,5,Cascade
127,6,Kaskade
127,7,Cascada
127,8,Cascata
127,9,Waterfall
127,11,たきのぼり
127,12,攀瀑
128,1,からではさむ
128,3,껍질끼우기
128,4,貝殼夾擊
128,5,Claquoir
128,6,Schnapper
128,7,Tenaza
128,8,Tenaglia
128,9,Clamp
128,11,からではさむ
128,12,贝壳夹击
129,1,スピードスター
129,3,스피드스타
129,4,高速星星
129,5,Météores
129,6,Sternschauer
129,7,Rapidez
129,8,Comete
129,9,Swift
129,11,スピードスター
129,12,高速星星
130,1,ロケットずつき
130,3,로케트박치기
130,4,火箭頭錘
130,5,Coud’Krâne
130,6,Schädelwumme
130,7,Cabezazo
130,8,Capocciata
130,9,Skull Bash
130,11,ロケットずつき
130,12,火箭头锤
131,1,とげキャノン
131,3,가시대포
131,4,尖刺加農炮
131,5,Picanon
131,6,Dornkanone
131,7,Clavo Cañón
131,8,Sparalance
131,9,Spike Cannon
131,11,とげキャノン
131,12,尖刺加农炮
132,1,からみつく
132,3,휘감기
132,4,纏繞
132,5,Constriction
132,6,Umklammerung
132,7,Restricción
132,8,Limitazione
132,9,Constrict
132,11,からみつく
132,12,缠绕
133,1,ドわすれ
133,3,망각술
133,4,瞬間失憶
133,5,Amnésie
133,6,Amnesie
133,7,Amnesia
133,8,Amnesia
133,9,Amnesia
133,11,ドわすれ
133,12,瞬间失忆
134,1,スプーンまげ
134,3,숟가락휘기
134,4,折彎湯匙
134,5,Télékinésie
134,6,Psykraft
134,7,Kinético
134,8,Cinèsi
134,9,Kinesis
134,11,スプーンまげ
134,12,折弯汤匙
135,1,タマゴうみ
135,3,알낳기
135,4,生蛋
135,5,E-Coque
135,6,Weichei
135,7,Amortiguador
135,8,Covauova
135,9,Soft-Boiled
135,11,タマゴうみ
135,12,生蛋
136,1,とびひざげり
136,3,무릎차기
136,4,飛膝踢
136,5,Pied Voltige
136,6,Turmkick
136,7,Pat. Salto Alta
136,8,Calcinvolo
136,9,High Jump Kick
136,11,とびひざげり
136,12,飞膝踢
137,1,へびにらみ
137,3,뱀눈초리
137,4,大蛇瞪眼
