item_id,local_language_id,short_effect,effect
8,9,"Tries to catch a wild Pokémon.  Success rate is 3.9× for level 1 Pokémon, and drops steadily to 1× at level 30.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  Has a catch rate of given by `(40 - level) / 10`, where `level` is the wild Pokémon’s level, to a maximum of 3.9× for level 1 Pokémon.  If the wild Pokémon’s level is higher than 30, this ball has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
9,5,Tente de capturer un Pokémon sauvage. Le taux de succès est 3× pour les Pokémon déjà capturés.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage.  Si l'espèce Pokémon sauvage est marqué comme capturée dans le Pokédex du dresseur, cette ball a un taux de capture de 3x.  Sinon, elle a un taux de capture de 1x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
9,9,Tries to catch a wild Pokémon.  Success rate is 3× for previously-caught Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If the wild Pokémon’s species is marked as caught in the trainer’s Pokédex, this ball has a catch rate of 3×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
10,5,"Tente de capturer un Pokémon sauvage. Le taux de succès augmente de 0.1× (Gén V : 0.3x) à chaque tour, jusqu'à 4× max.","Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage.  A un taux de capture de 1.1× le premier tour du combat et augmente de 0.1× à chaque tour, jusqu'à un maximum de 4× au tour 30.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
10,9,"Tries to catch a wild Pokémon. Success rate increases by 0.1× (Gen V: 0.3×) every turn, to a max of 4×.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  Has a catch rate of 1.1× on the first turn of the battle and increases by 0.1× every turn, to a maximum of 4× on turn 30.

    If used in a trainer battle, nothing happens and the ball is lost."
11,5,Tente de capturer un Pokémon sauvage. Le Pokémon capturé commence avec un bonheur de 200.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage.  Quand le [bonheur]{mechanic:happiness} du Pokémon capturé augmente, il augmente d'un point supplémentaire.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
11,9,Tries to catch a wild Pokémon.  Caught Pokémon start with 200 happiness.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.  Whenever the caught Pokémon’s [happiness]{mechanic:happiness} increases, it increases by one extra point.

    If used in a trainer battle, nothing happens and the ball is lost."
12,5,Tente de capturer un Pokémon sauvage.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage, utilisant un taux de capture de 1x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
12,9,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
13,5,Tente de capturer un Pokémon sauvage. Le taux de succès est 3.5× la nuit et dans les grottes.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage.  Si c'est actuellement la nuit ou que le Pokémon sauvage a été rencontré en marchant dans une grotte, cette ball a un taux de capture de 3.5×.  Sinon, elle a un taux de capture de 1x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
13,9,Tries to catch a wild Pokémon.  Success rate is 3.5× at night and in caves.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon.  If it’s currently nighttime or the wild Pokémon was encountered while walking in a cave, this ball has a catch rate of 3.5×.  Otherwise, it has a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
14,5,Tente de capturer un Pokémon sauvage. Le Pokémon capturé est immédiatement soigné.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage, utilisant un taux de capture de 1x.  Les [PV]{mechanic:hp} du Pokémon capturé sont immédiatement restaurés. Les [PP]{mechanic:pp} de toutes ses capacités sont restaurées, et n'importe quelle [altération de statut]{mechanic:status-ailment} est soignée.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
14,9,Tries to catch a wild Pokémon.  Caught Pokémon are immediately healed.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.  The caught Pokémon’s [HP]{mechanic:hp} is immediately restored, [PP]{mechanic:pp} for all its moves is restored, and any [status ailment]{mechanic:status-ailment} is cured.

    If used in a trainer battle, nothing happens and the ball is lost."
15,5,"Tente de capturer un Pokémon sauvage. Le taux de succès est 4× (Gén V : 5x), mais seulement le premier tour.","Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage, utilisant un taux de capture de 4× au premier tour du combat, mais 1× à n'importe quel autre moment.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
15,9,"Tries to catch a wild Pokémon. Success rate is 4× (Gen V: 5×), but only on the first turn.","Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 4× on the first turn of a battle, but 1× any other time.

    If used in a trainer battle, nothing happens and the ball is lost."
16,5,Tente de capturer un Pokémon sauvage.,"Utilisé au combat
:   Tente de [capturer]{mechanic:catch} un Pokémon sauvage, utilisant un taux de capture de 1x.

    Si utilisé pendant un combat de dresseurs, rien ne se passe et la ball est perdue."
16,9,Tries to catch a wild Pokémon.,"Used in battle
:   Attempts to [catch]{mechanic:catch} a wild Pokémon, using a catch rate of 1×.

    If used in a trainer battle, nothing happens and the ball is lost."
17,5,Soigne 20 PV.,"Utilisé sur un Pokémon allié
:   Restaure 20 [PV]{mechanic:hp}."
17,9,Restores 20 HP.,"Used on a friendly Pokémon
:   Restores 20 [HP]{mechanic:hp}."
18,5,Soigne le poison.,"Utilisé sur un Pokémon de l'équipe
:   Soigne le [poison]{mechanic:poison}."
18,9,Cures poison.,"Used on a party Pokémon
:   Cures [poison]{mechanic:poison}."
19,5,Soigne la brûlure.,"Utilisé sur un Pokémon de l'équipe
:   Soigne la [brûlure]{mechanic:burn}."
19,9,Cures a burn.,"Used on a party Pokémon
:   Cures a [burn]{mechanic:burn}."
20,5,Soigne le gel.,"Utilisé sur un Pokémon de l'équipe
:   Soigne le [gel]{mechanic:freezing}."
20,9,Cures freezing.,"Used on a party Pokémon
:   Cures [freezing]{mechanic:freezing}."
21,5,Soigne le sommeil.,"Utilisé sur un Pokémon de l'équipe
:   Soigne le [sommeil]{mechanic:sleep}."
21,9,Cures sleep.,"Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
22,5,Soigne la paralysie.,"Utilisé sur un Pokémon de l'équipe
:   Soigne la [paralysie]{mechanic:paralysis}."
22,9,Cures paralysis.,"Used on a party Pokémon
:   Cures [paralysis]{mechanic:paralysis}."
23,5,Restaure les PV au maximum et soigne toutes les altérations de statut et la confusion.,"Utilisé sur un Pokémon de l'équipe
:   Restaure les [PV]{mechanic:hp} au maximum et soigne n'importe quelle [altération de statut]{mechanic:status-ailment} et la [confusion]{mechanic:confusion}."
23,9,Restores HP to full and cures any status ailment and confusion.,"Used on a party Pokémon
:   Restores [HP]{mechanic:hp} to full and cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
24,5,Restaure les PV au maximum.,"Utilisé sur un Pokémon de l'équipe
:   Restaure les [PV]{mechanic:hp} au maximum."
24,9,Restores HP to full.,"Used on a party Pokémon
:   Restores [HP]{mechanic:hp} to full."
25,5,Restaure 200 PV.,"Utilisé sur un Pokémon de l'équipe
:   Restaure 200 [PV]{mechanic:hp}."
25,9,Restores 200 HP.,"Used on a party Pokémon
:   Restores 200 [HP]{mechanic:hp}."
26,5,Restaure 50 PV.,"Utilisé sur un Pokémon de l'équipe
:   Restaure 50 [PV]{mechanic:hp}."
26,9,Restores 50 HP.,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}."
27,5,Soigne toutes les altérations de statut et la confusion.,"Utilisé sur un Pokémon de l'équipe
:   Soigne n'importe quelle [altération de statut]{mechanic:status-ailment} et la [confusion]{mechanic:confusion}."
27,9,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
28,5,Renaît avec la moitié des PV.,"Utilisé sur un Pokémon de l'équipe
:   Ressuscite le Pokémon et restaure la moitié de ses [PV]{mechanic:hp}."
28,9,Revives with half HP.,"Used on a party Pokémon
:   Revives the Pokémon and restores half its [HP]{mechanic:hp}."
29,5,Renaît avec tous les PV.,"Utilisé sur un Pokémon de l'équipe
:   Ressuscite le Pokémon et restaure ses [PV]{mechanic:hp} au maximum."
29,9,Revives with full HP.,"Used on a party Pokémon
:   Revives the Pokémon and restores its [HP]{mechanic:hp} to full."
30,5,Restaure 50 PV.,"Utilisé sur un Pokémon de l'équipe
:   Restaure 50 [PV]{mechanic:hp}."
30,9,Restores 50 HP.,"Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}."
31,5,Restaure 60 PV.,"Utilisé sur un Pokémon de l'équipe
:   Restaure 60 [PV]{mechanic:hp}."
31,9,Restores 60 HP.,"Used on a party Pokémon
:   Restores 60 [HP]{mechanic:hp}."
32,5,Restaure 80 PV.,"Utilisé sur un Pokémon de l'équipe
:   Restaure 80 [PV]{mechanic:hp}."
32,9,Restores 80 HP.,"Used on a party Pokémon
:   Restores 80 [HP]{mechanic:hp}."
33,5,Restaure 100 PV.,"Utilisé sur un Pokémon de l'équipe
:   Restaure 100 [PV]{mechanic:hp}."
33,9,Restores 100 HP.,"Used on a party Pokémon
:   Restores 100 [HP]{mechanic:hp}."
34,5,"Restaure 50 PV, mais diminue le bonheur.","Utilisé sur un Pokémon de l'équipe
:   Restaure 50 [PV]{mechanic:hp}.  Diminue le [bonheur]{mechanic:happiness} de 5/5/10."
34,9,"Restores 50 HP, but lowers happiness.","Used on a party Pokémon
:   Restores 50 [HP]{mechanic:hp}.  Decreases [happiness]{mechanic:happiness} by 5/5/10."
35,5,"Restaure 200 PV, mais diminue le bonheur.","Utilisé sur un Pokémon de l'équipe
:   Restaure 200 [PV]{mechanic:hp}.  Diminue le [bonheur]{mechanic:happiness} de 10/10/15."
35,9,"Restores 200 HP, but lowers happiness.","Used on a party Pokémon
:   Restores 200 [HP]{mechanic:hp}.  Decreases [happiness]{mechanic:happiness} by 10/10/15."
36,5,"Soigne n'importe quelle altération de statut, mais diminue le bonheur.","Utilisé sur un Pokémon de l'équipe
:   Soigne n'importe quelle [altération de statut]{mechanic:status-ailment}.  Diminue le [bonheur]{mechanic:happiness} de 5/5/10."
36,9,"Cures any status ailment, but lowers happiness.","Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment}.  Decreases [happiness]{mechanic:happiness} by 5/5/10."
37,5,"Renaît avec tous les PV, mais diminue le bonheur.","Utilisé sur un Pokémon de l'équipe
:   Ressuscite un Pokémon [KO]{mechanic:faint} et restaure ses [PV]{mechanic:hp} au maximum.  Diminuse le [bonheur]{mechanic:happiness} de 10/10/15."
37,9,"Revives with full HP, but lowers happiness.","Used on a party Pokémon
:   Revives a [fainted]{mechanic:faint} Pokémon and restores its [HP]{mechanic:hp} to full.  Decreases [happiness]{mechanic:happiness} by 10/10/15."
38,5,Restaure 10 PP pour une capacité.,"Utilisé sur un Pokémon de l'équipe 
:   Restaure 10 [PP]{mechanic:pp} pour une capacité sélectionnée."
38,9,Restores 10 PP for one move.,"Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for a selected move."
39,5,Restaure les PP au maximum pour une capacité.,"Utilisé sur un Pokémon de l'équipe 
:   Restaure tous les [PP]{mechanic:pp} pour une capacité sélectionnée."
39,9,Restores PP to full for one move.,"Used on a party Pokémon
:   Restores [PP]{mechanic:pp} to full for a selected move."
40,5,Restaure 10 PP pour toutes les capacités.,"Utilisé sur un Pokémon de l'équipe 
:   Restaure 10 [PP]{mechanic:pp} de chaque capacité."
40,9,Restores 10 PP for each move.,"Used on a party Pokémon
:   Restores 10 [PP]{mechanic:pp} for each move."
41,5,Restaure tous les PP de toutes les capacités.,"Utilisé sur un Pokémon de l'équipe 
:   Restaure tous les [PP]{mechanic:pp} de chaque capacité."
41,9,Restores PP to full for each move.,"Used on a party Pokémon
:   Restores [PP]{mechanic:pp} to full for each move."
42,5,Soigne n'importe quelle altération de statut et la confusion.,"Utilisé sur un Pokémon de l'équipe
:   Soigne n'importe quelle [altération de statut]{mechanic:status-ailment} et la [confusion]{mechanic:confusion}."
42,9,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
43,5,Restaure 20 PV.,"Utilisé sur un Pokémon de l'équipe
:   Restaure 20 [PV]{mechanic:hp}."
43,9,Restores 20 HP.,"Used on a party Pokémon
:   Restores 20 [HP]{mechanic:hp}."
44,5,Renaît tous les Pokémon KO avec tous leurs PV.,"Utilisé
:   Rescussite tous les Pokémon [KO]{mechanic:faint} de l'équipe et restaure leurs [PV]{mechanic:hp} au maximum."
44,9,Revives all fainted Pokémon with full HP.,"Used
:   Revives all [fainted]{mechanic:faint} Pokémon in the party and restores their [HP]{mechanic:hp} to full."
45,5,Augmente l'effort en PV et le bonheur.,"Utilisé sur un Pokémon de l'équipe
:   Augmente ses [EV]{mechanic:effort} de [PV]{mechanic:hp} de 10, mais ne l'augmente pas au delà de 100.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
45,9,Raises HP effort and happiness.,"Used on a party Pokémon
:   Increases [HP]{mechanic:hp} [effort]{mechanic:effort} by 10, but won’t increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
46,5,Augmente l'effort en Attaque et le bonheur.,"Utilisé sur un Pokémon de l'équipe
:   Augmente ses [EV]{mechanic:effort} d'[Attaque]{mechanic:attack} de 10, mais ne l'augmente pas au delà de 100.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
46,9,Raises Attack effort and happiness.,"Used on a party Pokémon
:   Increases [Attack]{mechanic:attack} [effort]{mechanic:effort} by 10, but won’t increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
47,5,Augmente l'effort en Défense et le bonheur.,"Utilisé sur un Pokémon de l'équipe
:   Augmente ses [EV]{mechanic:effort} de [Défense]{mechanic:defense} de 10, mais ne l'augmente pas au delà de 100.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
47,9,Raises Defense effort and happiness.,"Used on a party Pokémon
:   Increases [Defense]{mechanic:defense} [effort]{mechanic:effort} by 10, but won’t increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
48,5,Augmente l'effort en Vitesse et le bonheur.,"Utilisé sur un Pokémon de l'équipe
:   Augmente ses [EV]{mechanic:effort} de [Vitesse]{mechanic:speed} de 10, mais ne l'augmente pas au delà de 100.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
48,9,Raises Speed effort and happiness.,"Used on a party Pokémon
:   Increases [Speed]{mechanic:speed} [effort]{mechanic:effort} by 10, but won’t increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
49,5,Augmente l'effort en Attaque Spéciale et le bonheur.,"Utilisé sur un Pokémon de l'équipe
:   Augmente ses [EV]{mechanic:effort} d'[Attaque Spéciale]{mechanic:special-attack} de 10, mais ne l'augmente pas au delà de 100.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
49,9,Raises Special Attack effort and happiness.,"Used on a party Pokémon
:   Increases [Special Attack]{mechanic:special-attack} [effort]{mechanic:effort} by 10, but won’t increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
50,5,Provoque une montée de niveau et augmente le bonheur.,"Utilisé sur un Pokémon de l'équipe
:   Augmente le niveau de 1.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
50,9,Causes a level-up and raises happiness.,"Used on a party Pokémon
:   Increases level by 1.  Increases [happiness]{mechanic:happiness} by 5/3/2."
51,5,Augmente les PP max d'une capacité de 20%.,"Utilisé sur un Pokémon de l'équipe 
:   Augmente les [PP]{mechanic:pp} max d'une capacité de 20% de ses PP max originaux, jusqu'à un maximum de 1.6×.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
51,9,Raises a move’s max PP by 20%.,"Used on a party Pokémon
:   Increases a selected move’s max [PP]{mechanic:pp} by 20% its original max PP, to a maximum of 1.6×.  Increases [happiness]{mechanic:happiness} by 5/3/2."
52,5,Augmente l'effort en Défense Spéciale et le bonheur.,"Utilisé sur un Pokémon de l'équipe 
:   Augmente ses [EV]{mechanic:effort} de [Défense Spéciale]{mechanic:special-defense} de 10, mais ne l'augmente pas au delà de 100.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
52,9,Raises Special Defense and happiness.,"Used on a party Pokémon
:   Increases [Special Defense]{mechanic:special-defense} [effort]{mechanic:effort} by 10, but won’t increase it beyond 100.  Increases [happiness]{mechanic:happiness} by 5/3/2."
53,5,Augmente les PP max d'une capacité de 60%.,"Utilisé sur un Pokémon de l'équipe
:   Augmente les [PP]{mechanic:pp} max d'une capacité de 1.6× ses PP max originaux.  Augmente le [bonheur]{mechanic:happiness} de 5/3/2."
53,9,Raises a move’s max PP by 60%.,"Used on a party Pokémon
:   Increases a selected move’s max [PP]{mechanic:pp} to 1.6× its original max PP.  Increases [happiness]{mechanic:happiness} by 5/3/2."
54,5,Soigne toutes les altérations de statut et la confusion.,"Utilisé sur un Pokémon de l'équipe
:   Soigne n'importe quelle [altération de statut]{mechanic:status-ailment} et la [confusion]{mechanic:confusion}."
54,9,Cures any status ailment and confusion.,"Used on a party Pokémon
:   Cures any [status ailment]{mechanic:status-ailment} and [confusion]{mechanic:confusion}."
55,5,Empêche les changements de stat en combat pendant cinq tours. Augmente le bonheur.,"Utilisé sur un Pokémon de l'équipe en combat
:   Empêche les stats de la cible d'être [diminuées]{mechanic:lower} pour les cinq prochains tours.  Augmente le bonheur de 1/1/0."
55,9,Prevents stat changes in battle for five turns in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   Protects the target’s stats from being [lowered]{mechanic:lower} for the next five turns.  Increases happiness by 1/1/0."
56,5,Augmente les chances de coup critique en combat. Augmente le bonheur.,"Utilisé sur un Pokémon de l'équipe en combat
:   Augmente les [chances de coups critiques]{mechanic:critical-hit-chance} de la cible d'un niveau jusqu'à ce qu'elle quitte le terrain.  Augmente le bonheur de 1/1/0."
56,9,Increases the chance of a critical hit in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   Increases the target’s [critical hit chance]{mechanic:critical-hit-chance} by one stage until it leaves the field.  Increases happiness by 1/1/0."
57,5,Augmente l'Attaque d'un niveau en combat. Augmente le bonheur.,"Utilisé sur un Pokémon de l'équipe en combat
:   [Augmente]{mechanic:raise} l'[Attaque]{mechanic:attack} de la cible d'un niveau.  Augmente le bonheur de 1/1/0."
57,9,Raises Attack by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target’s [Attack]{mechanic:attack} by one stage.  Increases happiness by 1/1/0."
58,5,Augmente la Défense d'un niveau en combat. Augmente le bonheur.,"Utilisé sur un Pokémon de l'équipe en combat
:   [Augmente]{mechanic:raise} la [Défense]{mechanic:defense} de la cible d'un niveau.  Augmente le bonheur de 1/1/0."
58,9,Raises Defense by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target’s [Defense]{mechanic:defense} by one stage.  Increases happiness by 1/1/0."
59,5,Augmente la Vitesse d'un niveau en combat. Augmente le bonheur.,"Utilisé sur un Pokémon de l'équipe en combat
:   [Augmente]{mechanic:raise} la [Vitesse]{mechanic:speed} de la cible d'un niveau.  Augmente le bonheur de 1/1/0."
59,9,Raises Speed by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target’s [Speed]{mechanic:speed} by one stage.  Increases happiness by 1/1/0."
60,5,Augmente la précision d'un niveau en combat. Augmente le bonheur.,"Utilisé sur un Pokémon de l'équipe en combat
:   [Augmente]{mechanic:raise} la [précision]{mechanic:accuracy} de la cible d'un niveau.  Augmente le bonheur de 1/1/0."
60,9,Raises accuracy by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target’s [accuracy]{mechanic:accuracy} by one stage.  Increases happiness by 1/1/0."
61,5,Augmente l'Attaque Spéciale d'un niveau en combat. Augmente le bonheur.,"Utilisé sur un Pokémon de l'équipe en combat
:   [Augmente]{mechanic:raise} l'[Attaque Spéciale]{mechanic:special-attack} de la cible d'un niveau.  Augmente le bonheur de 1/1/0."
61,9,Raises Special Attack by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target’s [Special Attack]{mechanic:special-attack} by one stage.  Increases happiness by 1/1/0."
62,5,Augmente la Défense Spéciale d'un niveau en combat. Augmente le bonheur.,Utilisé sur un Pokémon de l'équipe en combat :   [Augmente]{mechanic:raise} la [Défense Spéciale]{mechanic:special-defense} de la cible d'un niveau.  Augmente le bonheur de 1/1/0.
62,9,Raises Special Defense by one stage in battle.  Raises happiness.,"Used on a party Pokémon in battle
:   [Raises]{mechanic:raise} the target’s [Special Defense]{mechanic:special-defense} by one stage.  Increases happiness by 1/1/0."
63,5,Met fin à un combat sauvage.,"Utilisé en combat
:   Termine un combat sauvage.  Ne peut pas être utilisé pendant les combats de dresseurs."
63,9,Ends a wild battle.,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
64,5,Met fin à un combat sauvage.,"Utilisé en combat
:   Termine un combat sauvage.  Ne peut pas être utilisé pendant les combats de dresseurs."
64,9,Ends a wild battle.,"Used in battle
:   Ends a wild battle.  Cannot be used in trainer battles."
65,5,Soigne le sommeil.,"Utilisé sur un Pokémon de l'équipe
:   Soigne le [sommeil]{mechanic:sleep}."
65,9,Cures sleep.,"Used on a party Pokémon
:   Cures [sleep]{mechanic:sleep}."
66,5,Soigne la confusion.,"Utilisé sur un Pokémon de l'équipe
:   Soigne la [confusion]{mechanic:confusion}."
66,9,Cures confusion.,"Used on a party Pokémon in battle
:   Cures [confusion]{mechanic:confusion}."
67,5,Soigne l'amour.,"Utilisé sur un Pokémon de l'équipe
:   Soigne l'[attraction]{mechanic:attraction}."
67,9,Cures attraction.,"Used on a party Pokémon in battle
:   Cures [attraction]{mechanic:attraction}."
68,5,Divise par deux le taux de rencontres avec un Pokémon sauvage.,"Utilisé en dehors d'un combat
:   Diminue le taux de rencontre de Pokémon sauvages de 50%."
68,9,Halves the wild Pokémon encounter rate.,"Used outside of battle
:   Decreases the wild Pokémon encounter rate by 50%."
69,5,Double le taux de rencontres avec un Pokémon sauvage.,"Utilisé en dehors d'un combat
:   Double le taux de rencontre de Pokémon sauvages."
69,9,Doubles the wild Pokémon encounter rate.,"Used outside of battle
:   Doubles the wild Pokémon encounter rate."
70,5,Aucun effet. Gén III : Échange quatre et quatre CoquilleTréfonds pour un Grelot Coque.,Aucun effet.
70,9,No effect. Gen III: Trade four and four Shoal Shells for a Shell Bell.,No effect.
71,5,Aucun effet. Gén III : Échange quatre et quatre Sel Tréfonds pour un Grelot Coque.,Aucun effet.
71,9,No effect. Gen III: Trade four and four Shoal Salts for a Shell Bell.,No effect.
