move_effect_id,local_language_id,short_effect,effect
10,5,Utilise la dernière capacité utilisée par la cible.,"Utilise la dernière capacité qui a ciblé le lanceur par un Pokémon toujours sur le [terrain]{mechanic:field}.  Une capacité compte comme ciblant le lanceur même si elle a touché plusieurs Pokémon, tant que le lanceur était l'un d'eux; cependant, les capacités ciblant le [terrain]{mechanic:field} lui-même ne comptent pas.  Si le lanceur n'a pas été ciblé par une capacité appropriée depuis qu'il est entré sur le [terrain]{mechanic:field}, ou si aucun Pokémon qui a ciblé l'utilisateur est encore sur le [terrain]{mechanic:field}, cette capacité [échouera]{mechanic:fail}.

Les capacités qui [échouent]{mechanic:fail}, [manquent leur cible]{mechanic:miss}, ont [aucun effet]{mechanic:no-effect}, ou ont été [bloquées]{mechanic:block} sont quand même copiées.

Les capacités d'Assistance, à retardement, capacités “meta” qui agissent sur d'autres capacités/Pokémon/talents, et d'autres capacités spéciales ne peuvent pas être copiées et sont ignorées; si la dernière capacité à frapper le lanceur était une telle capacité, la dernière capacité sera utilisée à la place.  La liste complète des capacités ignorée est: [Acidarmure]{move:acid-armor}, [Acupression]{move:acupressure}, [Après Vous]{move:after-you}, [Hâte]{move:agility}, [Interversion]{move:ally-switch}, [Amnésie]{move:amnesia}, [Anneau Hydro]{move:aqua-ring}, [Aromathérapie]{move:aromatherapy}, [Brume Capiteuse]{move:aromatic-mist}, [Assistance]{move:assist}, [Allègement]{move:autotomize}, [Bouclier]{move:barrier}, [Relais]{move:baton-pass}, [Éructation]{move:belch}, [Cognobidon]{move:belly-drum}, [Patience]{move:bide}, [Gonflette]{move:bulk-up}, [Plénitude]{move:calm-mind}, [Camouflage]{move:camouflage}, [Célébration]{move:celebrate}, [Chargeur]{move:charge}, [Enroulement]{move:coil}, [Conversion]{move:conversion}, [Conversion 2]{move:conversion-2}, [Photocopie]{move:copycat}, [Force Cosmique]{move:cosmic-power}, [Cotogarde]{move:cotton-guard}, [Riposte]{move:counter}, [Vigilance]{move:crafty-shield}, [Malédiction]{move:curse}, [Appel Défense]{move:defend-order}, [Boul’Armure]{move:defense-curl}, [Lien du Destin]{move:destiny-bond}, [Détection]{move:detect}, [Vœu Destructeur]{move:doom-desire}, [Reflet]{move:double-team}, [Danse Draco]{move:dragon-dance}, [Champ Électrifié]{move:electric-terrain}, [Ténacité]{move:endure}, [Tout ou Rien]{move:final-gambit}, [Garde Florale]{move:flower-shield}, [Puissance]{move:focus-energy}, [Mitra-Poing]{move:focus-punch}, [Par Ici]{move:follow-me}, [Prescience]{move:future-sight}, [Géo-Contrôle]{move:geomancy}, [Champ Herbu]{move:grassy-terrain}, [Gravité]{move:gravity}, [Croissance]{move:growth}, [Rancune]{move:grudge}, [Partage Garde]{move:guard-split}, [Grêle]{move:hail}, [Étrennes]{move:happy-hour}, [Armure]{move:harden}, [Buée Noire]{move:haze}, [Glas de Soin]{move:heal-bell}, [Appel Soins]{move:heal-order}, [Vibra Soin]{move:heal-pulse}, [Vœu Soin]{move:healing-wish}, [Coup d’Main]{move:helping-hand}, [Mains Jointes]{move:hold-hands}, [Aiguisage]{move:hone-claws}, [Grondement]{move:howl}, [Possessif]{move:imprison}, [Racines]{move:ingrain}, [Déluge Plasmique]{move:ion-deluge}, [Mur de Fer]{move:iron-defense}, [Bouclier Royal]{move:kings-shield}, [Mur Lumière]{move:light-screen}, [Air Veinard]{move:lucky-chant}, [Danse Lune]{move:lunar-dance}, [Reflet Magik]{move:magic-coat}, [Vol Magnétik]{move:magnet-rise}, [Magné-Contrôle]{move:magnetic-flux}, [Tatamigaeshi]{move:mat-block}, [Moi d’Abord]{move:me-first}, [Yoga]{move:meditate}, [Métronome]{move:metronome}, [Lait à Boire]{move:milk-drink}, [Copie]{move:mimic}, [Lilliput]{move:minimize}, [Voile Miroir]{move:mirror-coat}, [Mimique]{move:mirror-move}, [Brume]{move:mist}, [Champ Brumeux]{move:misty-terrain}, [Rayon Lune]{move:moonlight}, [Aurore]{move:morning-sun}, [Lance-Boue]{move:mud-sport}, [Machination]{move:nasty-plot}, [Force Nature]{move:nature-power}, [Requiem]{move:perish-song}, [Partage Force]{move:power-split}, [Astuce Force]{move:power-trick}, [Abri]{move:protect}, [Boost]{move:psych-up}, [Prévention]{move:quick-guard}, [Papillodanse]{move:quiver-dance}, [Poudre Fureur]{move:rage-powder}, [Danse Pluie]{move:rain-dance}, [Soin]{move:recover}, [Recyclage]{move:recycle}, [Protection]{move:reflect}, [Copie-Type]{move:reflect-type}, [Régénération]{move:refresh}, [Repos]{move:rest}, [Poliroche]{move:rock-polish}, [Imitation]{move:role-play}, [Atterrissage]{move:roost}, [Fertilisation]{move:rototiller}, [Rune Protect]{move:safeguard}, [Tempête de Sable]{move:sandstorm}, [Aéro Noir]{move:shadow-blast}, [Éclair Noir]{move:shadow-bolt}, [Chute Noire]{move:shadow-half}, [Charge Noire]{move:shadow-rush}, [Percée Noire]{move:shadow-shed}, [Ciel Noir]{move:shadow-sky}, [Typhon Noir]{move:shadow-storm}, [Ondo Noire]{move:shadow-wave}, [Affûtage]{move:sharpen}, [Exuviation]{move:shell-smash}, [Chgt Vitesse]{move:shift-gear}, [Gribouille]{move:sketch}, [Paresse]{move:slack-off}, [Blabla Dodo]{move:sleep-talk}, [Saisie]{move:snatch}, [E-Coque]{move:soft-boiled}, [Picots]{move:spikes}, [Pico-Défense]{move:spiky-shield}, [Relâche]{move:spit-up}, [Trempette]{move:splash}, [Piège de Roc]{move:stealth-rock}, [Toile Gluante]{move:sticky-web}, [Stockage]{move:stockpile}, [Lutte]{move:struggle}, [Clonage]{move:substitute}, [Zénith]{move:sunny-day}, [Avale]{move:swallow}, [Danse Lames]{move:swords-dance}, [Synthèse]{move:synthesis}, [Lumi-Queue]{move:tail-glow}, [Vent Arrière]{move:tailwind}, [Téléport]{move:teleport}, [Pics Toxik]{move:toxic-spikes}, [Morphing]{move:transform}, [Tourniquet]{move:water-sport}, [Garde Large]{move:wide-guard}, [Vœu]{move:wish}, [Repli]{move:withdraw} et [Rengorgement]{move:work-up}.

Cette capacité ne peut pas être sélectionnée par [Assistance]{move:assist}, [Métronome]{move:metronome}, ou [Blabla Dodo]{move:sleep-talk}, ni forcée par [Encore]{move:encore}."
10,9,Uses the target’s last used move.,"Uses the last move targeted at the user by a Pokémon still on the [field]{mechanic:field}.  A move counts as targeting the user even if it hit multiple Pokémon, as long as the user was one of them; however, moves targeting the [field]{mechanic:field} itself do not count.  If the user has not been targeted by an appropriate move since entering the [field]{mechanic:field}, or if no Pokémon that targeted the user remains on the [field]{mechanic:field}, this move will [fail]{mechanic:fail}.

Moves that [fail]{mechanic:fail}ed, [miss]{mechanic:miss}ed, had [no effect]{mechanic:no-effect}, or were [block]{mechanic:block}ed are still copied.

Assist moves, time-delayed moves, “meta” moves that operate on other moves/Pokémon/abilities, and some other special moves cannot be copied and are ignored; if the last move to hit the user was such a move, the previous move will be used instead.  The full list of ignored moves is: [Acid Armor]{move:acid-armor}, [Acupressure]{move:acupressure}, [After You]{move:after-you}, [Agility]{move:agility}, [Ally Switch]{move:ally-switch}, [Amnesia]{move:amnesia}, [Aqua Ring]{move:aqua-ring}, [Aromatherapy]{move:aromatherapy}, [Aromatic Mist]{move:aromatic-mist}, [Assist]{move:assist}, [Autotomize]{move:autotomize}, [Barrier]{move:barrier}, [Baton Pass]{move:baton-pass}, [Belch]{move:belch}, [Belly Drum]{move:belly-drum}, [Bide]{move:bide}, [Bulk Up]{move:bulk-up}, [Calm Mind]{move:calm-mind}, [Camouflage]{move:camouflage}, [Celebrate]{move:celebrate}, [Charge]{move:charge}, [Coil]{move:coil}, [Conversion]{move:conversion}, [Conversion 2]{move:conversion-2}, [Copycat]{move:copycat}, [Cosmic Power]{move:cosmic-power}, [Cotton Guard]{move:cotton-guard}, [Counter]{move:counter}, [Crafty Shield]{move:crafty-shield}, [Curse]{move:curse}, [Defend Order]{move:defend-order}, [Defense Curl]{move:defense-curl}, [Destiny Bond]{move:destiny-bond}, [Detect]{move:detect}, [Doom Desire]{move:doom-desire}, [Double Team]{move:double-team}, [Dragon Dance]{move:dragon-dance}, [Electric Terrain]{move:electric-terrain}, [Endure]{move:endure}, [Final Gambit]{move:final-gambit}, [Flower Shield]{move:flower-shield}, [Focus Energy]{move:focus-energy}, [Focus Punch]{move:focus-punch}, [Follow Me]{move:follow-me}, [Future Sight]{move:future-sight}, [Geomancy]{move:geomancy}, [Grassy Terrain]{move:grassy-terrain}, [Gravity]{move:gravity}, [Growth]{move:growth}, [Grudge]{move:grudge}, [Guard Split]{move:guard-split}, [Hail]{move:hail}, [Happy Hour]{move:happy-hour}, [Harden]{move:harden}, [Haze]{move:haze}, [Heal Bell]{move:heal-bell}, [Heal Order]{move:heal-order}, [Heal Pulse]{move:heal-pulse}, [Healing Wish]{move:healing-wish}, [Helping Hand]{move:helping-hand}, [Hold Hands]{move:hold-hands}, [Hone Claws]{move:hone-claws}, [Howl]{move:howl}, [Imprison]{move:imprison}, [Ingrain]{move:ingrain}, [Ion Deluge]{move:ion-deluge}, [Iron Defense]{move:iron-defense}, [King’s Shield]{move:kings-shield}, [Light Screen]{move:light-screen}, [Lucky Chant]{move:lucky-chant}, [Lunar Dance]{move:lunar-dance}, [Magic Coat]{move:magic-coat}, [Magnet Rise]{move:magnet-rise}, [Magnetic Flux]{move:magnetic-flux}, [Mat Block]{move:mat-block}, [Me First]{move:me-first}, [Meditate]{move:meditate}, [Metronome]{move:metronome}, [Milk Drink]{move:milk-drink}, [Mimic]{move:mimic}, [Minimize]{move:minimize}, [Mirror Coat]{move:mirror-coat}, [Mirror Move]{move:mirror-move}, [Mist]{move:mist}, [Misty Terrain]{move:misty-terrain}, [Moonlight]{move:moonlight}, [Morning Sun]{move:morning-sun}, [Mud Sport]{move:mud-sport}, [Nasty Plot]{move:nasty-plot}, [Nature Power]{move:nature-power}, [Perish Song]{move:perish-song}, [Power Split]{move:power-split}, [Power Trick]{move:power-trick}, [Protect]{move:protect}, [Psych Up]{move:psych-up}, [Quick Guard]{move:quick-guard}, [Quiver Dance]{move:quiver-dance}, [Rage Powder]{move:rage-powder}, [Rain Dance]{move:rain-dance}, [Recover]{move:recover}, [Recycle]{move:recycle}, [Reflect]{move:reflect}, [Reflect Type]{move:reflect-type}, [Refresh]{move:refresh}, [Rest]{move:rest}, [Rock Polish]{move:rock-polish}, [Role Play]{move:role-play}, [Roost]{move:roost}, [Rototiller]{move:rototiller}, [Safeguard]{move:safeguard}, [Sandstorm]{move:sandstorm}, [Shadow Blast]{move:shadow-blast}, [Shadow Bolt]{move:shadow-bolt}, [Shadow Half]{move:shadow-half}, [Shadow Rush]{move:shadow-rush}, [Shadow Shed]{move:shadow-shed}, [Shadow Sky]{move:shadow-sky}, [Shadow Storm]{move:shadow-storm}, [Shadow Wave]{move:shadow-wave}, [Sharpen]{move:sharpen}, [Shell Smash]{move:shell-smash}, [Shift Gear]{move:shift-gear}, [Sketch]{move:sketch}, [Slack Off]{move:slack-off}, [Sleep Talk]{move:sleep-talk}, [Snatch]{move:snatch}, [Soft-Boiled]{move:soft-boiled}, [Spikes]{move:spikes}, [Spiky Shield]{move:spiky-shield}, [Spit Up]{move:spit-up}, [Splash]{move:splash}, [Stealth Rock]{move:stealth-rock}, [Sticky Web]{move:sticky-web}, [Stockpile]{move:stockpile}, [Struggle]{move:struggle}, [Substitute]{move:substitute}, [Sunny Day]{move:sunny-day}, [Swallow]{move:swallow}, [Swords Dance]{move:swords-dance}, [Synthesis]{move:synthesis}, [Tail Glow]{move:tail-glow}, [Tailwind]{move:tailwind}, [Teleport]{move:teleport}, [Toxic Spikes]{move:toxic-spikes}, [Transform]{move:transform}, [Water Sport]{move:water-sport}, [Wide Guard]{move:wide-guard}, [Wish]{move:wish}, [Withdraw]{move:withdraw} and [Work Up]{move:work-up}.

This move cannot be selected by [Assist]{move:assist}, [Metronome]{move:metronome}, or [Sleep Talk]{move:sleep-talk}, nor forced by [Encore]{move:encore}."
11,5,Augmente l'Attaque du lanceur d'un niveau.,Augmente l'[Attaque]{mechanic:attack} du lanceur d'un [niveau]{mechanic:stage}.
11,9,Raises the user’s Attack by one stage.,Raises the user’s [Attack]{mechanic:attack} by one [stage]{mechanic:stage}.
12,5,Augmente la Défense du lanceur d'un niveau.,Augmente la [Défense]{mechanic:defense} du lanceur d'un [niveau]{mechanic:stage}.
12,9,Raises the user’s Defense by one stage.,Raises the user’s [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.
14,5,Augmente l'Attaque Spéciale du lanceur d'un niveau.,Augmente l'[Attaque Spéciale]{mechanic:special-attack} du lanceur d'un [niveau]{mechanic:stage}.
14,9,Raises the user’s Special Attack by one stage.,Raises the user’s [Special Attack]{mechanic:special-attack} by one [stage]{mechanic:stage}.
17,5,Augmente l'esquive du lanceur d'un niveau.,Augmente l'[esquive]{mechanic:evasion} du lanceur d'un [niveau]{mechanic:stage}.
17,9,Raises the user’s evasion by one stage.,Raises the user’s [evasion]{mechanic:evasion} by one [stage]{mechanic:stage}.
18,5,N'échoue jamais.,Inflige des [dégâts réguliers]{mechanic:regular-damage}.  Ignore les modifications de [précision]{mechanic:accuracy} et d'[esquive]{mechanic:evasion}.
18,9,Never misses.,Inflicts [regular damage]{mechanic:regular-damage}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.
19,5,Diminue l'Attaque de la cible d'un niveau.,Diminue l'[Attaque]{mechanic:attack} de la cible d'un [niveau]{mechanic:stage}.
19,9,Lowers the target’s Attack by one stage.,Lowers the target’s [Attack]{mechanic:attack} by one [stage]{mechanic:stage}.
20,5,Diminue la Défense de la cible d'un niveau.,Diminue la [Défense]{mechanic:defense} de la cible d'un [niveau]{mechanic:stage}.
20,9,Lowers the target’s Defense by one stage.,Lowers the target’s [Defense]{mechanic:defense} by one [stage]{mechanic:stage}.
21,5,Diminue la Vitesse de la cible d'un niveau.,Diminue la [Vitesse]{mechanic:speed} de la cible d'un [niveau]{mechanic:stage}.
21,9,Lowers the target’s Speed by one stage.,Lowers the target’s [Speed]{mechanic:speed} by one [stage]{mechanic:stage}.
24,5,Diminue la précision de la cible d'un niveau.,Diminue la [précision]{mechanic:accuracy} de la cible d'un [niveau]{mechanic:stage}.
24,9,Lowers the target’s accuracy by one stage.,Lowers the target’s [accuracy]{mechanic:accuracy} by one [stage]{mechanic:stage}.
25,5,Diminue l'esquive de la cible d'un niveau,Diminue l'[esquive]{mechanic:evasion} de la cible d'un [niveau]{mechanic:stage}.
25,9,Lowers the target’s evasion by one stage.,Lowers the target’s [evasion]{mechanic:evasion} by one [stage]{mechanic:stage}.
26,5,"Réinitialise les stats de tous les Pokémon, la précision, et l'esquive.","Supprime les modifications de [stat]{mechanic:stat}, [précision]{mechanic:accuracy}, et [esquive]{mechanic:evasion} de tous les Pokémon sur le [terrain]{mechanic:field}.

Cela ne compte pas comme une réduction de stat aux fins de [Corps Sain]{ability:clear-body} ou [Écran Fumée]{ability:white-smoke}."
26,9,"Resets all Pokémon’s stats, accuracy, and evasion.","Removes [stat]{mechanic:stat}, [accuracy]{mechanic:accuracy}, and [evasion]{mechanic:evasion} modifiers from every Pokémon on the [field]{mechanic:field}.

This does not count as a stat reduction for the purposes of [Clear Body]{ability:clear-body} or [White Smoke]{ability:white-smoke}."
27,5,"Le lanceur attend deux tours, puis inflige en retour le double des dégâts qu'il a subi.","Le lanceur attend pendant deux tours.  Au second tour, le lanceur inflige le double des dégâts qu'il a accumulé sur le dernier Pokémon à le frapper.  Les dégâts infligés sont [sans type]{mechanic:typeless}.

Cette capacité ne peut pas être sélectionnée par [Blabla Dodo]{move:sleep-talk}."
27,9,"User waits for two turns, then hits back for twice the damage it took.","User waits for two turns.  On the second turn, the user inflicts twice the damage it accumulated on the last Pokémon to hit it.  Damage inflicted is [typeless]{mechanic:typeless}.

This move cannot be selected by [Sleep Talk]{move:sleep-talk}."
28,5,"Touche tous les tours pendant 2-3 tours, puis rend le lanceur confus.","Inflige des [dégâts réguliers]{mechanic:regular-damage}.  Le lanceur est forcé à attaquer avec cette capacité pendant 2–3 tours, sélectionné au hasard.  Après le dernier coup, le lanceur devient [confus]{mechanic:confused}.

[Rune Protect]{move:safeguard} ne protège pas contre la [confusion]{mechanic:confusion} de cette capacité."
28,9,"Hits every turn for 2-3 turns, then confuses the user.","Inflicts [regular damage]{mechanic:regular-damage}.  User is forced to attack with this move for 2–3 turns,selected at random.  After the last hit, the user becomes [confused]{mechanic:confused}.

[Safeguard]{move:safeguard} does not protect against the [confusion]{mechanic:confusion} from this move."
29,5,Termine immédiatement les combats sauvages.   Force les dresseurs à retirer leur Pokémon.,"[Échange]{mechanic:switch} la cible pour un autre Pokémon de son dresseur sélectionné au hasard.  Les combats sauvages se terminent immédiatement.

N'affecte pas les Pokémon avec [Ventouse]{ability:suction-cups} ou sous l'effet de [Racines]{move:ingrain}."
29,9,Immediately ends wild battles.  Forces trainers to switch Pokémon.,"[Switch]{mechanic:switch}es the target out for another of its trainer’s Pokémon selected at random.  Wild battles end immediately.

Doesn’t affect Pokémon with [Suction Cups]{ability:suction-cups} or under the effect of [Ingrain]{move:ingrain}."
30,5,Touche 2-5 fois en un tour.,"Inflige des [dégâts réguliers]{mechanic:regular-damage}.  Touche 2–5 fois en un tour.  

A 3/8 chances chacune de frapper 2 ou 3 fois, et 1/8 chance chacune de frapper 4 ou 5 fois.  Moyenne à 3 coups par utilisation."
30,9,Hits 2-5 times in one turn.,"Inflicts [regular damage]{mechanic:regular-damage}.  Hits 2–5 times in one turn.

Has a 3/8 chance each to hit 2 or 3 times, and a 1/8 chance each to hit 4 or 5 times.  Averages to 3 hits per use."
31,5,Le type du lanceur change en celui de l'une de ses capacités au hasard.,"Le [type]{mechanic:type} du lanceur change en le [type]{mechanic:type} de l'une de ses capacités, sélectionnée au hasard.  [Puissance Cachée]{move:hidden-power} et [Ball’Météo]{move:weather-ball} sont traîtées comme [Normal]{type:normal}.  Seulement les capacités avec un [type]{mechanic:type} différent sont éligibles, et [Malédiction]{move:curse} n'est jamais éligible.  Si le lanceur n'a pas de capacités qui conviennent, cette capacité [échouera]{mechanic:fail}."
31,9,User’s type changes to the type of one of its moves at random.,"User’s [type]{mechanic:type} changes to the [type]{mechanic:type} of one of its moves, selected at random.  [Hidden Power]{move:hidden-power} and [Weather Ball]{move:weather-ball} are treated as [Normal]{type:normal}.  Only moves with a different [type]{mechanic:type} are eligible, and [Curse]{move:curse} is never eligible.  If the user has no suitable moves, this move will [fail]{mechanic:fail}."
32,5,A une $probabilité_d'effet% de chances d'apeurer la cible.,Inflige des [dégats réguliers]{mechanic:regular-damage}.  A une $probabilité_d'effet% de chances d'[apeurer]{mechanic:flinch} la cible.
32,9,Has a $effect_chance% chance to make the target flinch.,Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to make the target [flinch]{mechanic:flinch}.
33,5,Soigne le lanceur de la moitié de ses PV max.,Soigne le lanceur de la moitié de ses [PV]{mechanic:hp} max.
33,9,Heals the user by half its max HP.,Heals the user for half its max [HP]{mechanic:hp}.
34,5,"Empoisonne gravement la cible, infligeant plus de dégâts à chaque tour.",[Empoisonne gravement]{mechanic:badly-poisons} la cible.  N'échoue jamais quand utilisée par un Pokémon de type [Poison]{type:poison}.
34,9,"Badly poisons the target, inflicting more damage every turn.",[Badly poisons]{mechanic:badly-poisons} the target.  Never misses when used by a [Poison]{type:poison}-type Pokémon.
35,5,Éparpille de l'argent sur le sol d'une valeur équivalente à cinq fois le niveau du lanceur.,"Inflige des [dégâts réguliers]{mechanic:regular-damage}.  Après que le combat se termine, le gagnant reçoit cinq fois le niveau du lanceur en argent supplémentaire pour chaque fois que cette capacité a été utilisée."
35,9,Scatters money on the ground worth five times the user’s level.,"Inflicts [regular damage]{mechanic:regular-damage}.  After the battle ends, the winner receives five times the user’s level in extra money for each time this move was used."
36,5,Réduit les dégâts des attaques spéciales de 50% pour cinq tours.,"Érige une barrière autour du côté du terrain du lanceur qui réduit les dégâts des attaques [spéciales]{mechanic:special} de moitié pendant cinq tours.  En combats doubles, la réduction est 1/3.  Les [coups critiques]{mechanic:critical-hit} ne sont pas affectés par la barrière.

Si le lanceur tient [Lumargile]{item:light-clay}, la barrière reste pendant huit tours.

[Casse-Brique]{move:brick-break} ou [Anti-Brume]{move:defog} utilisés par un adversaire détruira la barrière."
36,9,Reduces damage from special attacks by 50% for five turns.,"Erects a barrier around the user’s side of the field that reduces damage from [special]{mechanic:special} attacks by half for five turns.  In double battles, the reduction is 1/3.  [Critical hit]{mechanic:critical-hit}s are not affected by the barrier.

If the user is holding [Light Clay]{item:light-clay}, the barrier lasts for eight turns.

[Brick Break]{move:brick-break} or [Defog]{move:defog} used by an opponent will destroy the barrier."
37,5,"A une $probabilité_d'effet% de chances de [brûler]{mechanic:burn}, [geler]{mechanic:freeze}, ou [paralyser]{mechanic:paralysis} la cible.","Inflige des [dégâts réguliers]{mechanic:regular-damage}.  A une $probabilité_d'effet% de chances de [brûler]{mechanic:burn}, [geler]{mechanic:freeze}, ou [paralyser]{mechanic:paralyze} la cible.  Un de ces effets est sélectionné au hasard; ils ont des probabilités indépendantes d'arriver."
37,9,"Has a $effect_chance% chance to [burn]{mechanic:burn}, [freeze]{mechanic:freeze}, or [paralyze]{mechanic:paralysis} the target.","Inflicts [regular damage]{mechanic:regular-damage}.  Has a $effect_chance% chance to [burn]{mechanic:burn}, [freeze]{mechanic:freeze}, or [paralyze]{mechanic:paralyze} the target.  One of these effects is selected at random; they do not each have independent chances to occur."
38,5,"Le lanceur dort pendant deux tours, se soignant complètement","Le lanceur [s'endort]{mechanic:sleep} et regagne immédiatement tous ses [PV]{mechanic:hp}.  Si le lanceur a un autre [effet majeur de statut]{mechanic:major-status-effect}, le [sommeil]{mechanic:sleep} le remplacera.  Le lanceur se réveille toujours après deux tours, ou un tour avec [Matinal]{ability:early-bird}.

Cette capacité [échoue]{mechanic:fail} si le Pokémon ne peut pas s'endormir à cause de [Brouhaha]{move:uproar}, [Insomnia]{ability:insomnia}, ou [Esprit Vital]{ability:vital-spirit}.  Elle échoue aussi si le Pokémon a tous ses PV ou est déjà endormi."
38,9,"User sleeps for two turns, completely healing itself.","User falls to [sleep]{mechanic:sleep} and immediately regains all its [HP]{mechanic:hp}.  If the user has another [major status effect]{mechanic:major-status-effect}, [sleep]{mechanic:sleep} will replace it.  The user will always wake up after two turns, or one turn with [Early Bird]{ability:early-bird}.

This move [fail]{mechanic:fail}s if the Pokémon cannot fall asleep due to [Uproar]{move:uproar}, [Insomnia]{ability:insomnia}, or [Vital Spirit]{ability:vital-spirit}.  It also fails if the Pokémon is at full health or is already asleep."
39,5,Provoque un KO en un coup.,"Inflige des dégâts égaux au max de [PV]{mechanic:hp} de la cible.  Ignore les modifications de [précision]{mechanic:accuracy} et d'[esquive]{mechanic:evasion}.  La [précision]{mechanic:accuracy} de cette capacité est 30% plus 1% pour chaque niveau de plus qu'à le lanceur par rapport à la cible.  Si le lanceur a un niveau inférieur à la cible, cette capacité [échouera]{mechanic:fail}.

Comme cette capacité inflige une quantité spécifique et finie de dégâts, [Ténacité]{move:endure} empêche toujours la cible d'être mise KO.

Les effets de [Verrouillage]{move:lock-on}, [Lire-Esprit]{move:mind-reader}, et [Annule Garde]{ability:no-guard} s'appliquent toujours, tant que le lanceur a un niveau supérieur ou égal à la cible.  Cependant, ils ne donnent pas de chance à cette capacité de passer à travers [Détection]{move:detect} ou [Abri]{move:protect}."
39,9,Causes a one-hit KO.,"Inflicts damage equal to the target’s max [HP]{mechanic:hp}.  Ignores [accuracy]{mechanic:accuracy} and [evasion]{mechanic:evasion} modifiers.  This move’s [accuracy]{mechanic:accuracy} is 30% plus 1% for each level the user is higher than the target.  If the user is a lower level than the target, this move will [fail]{mechanic:fail}.

Because this move inflicts a specific and finite amount of damage, [Endure]{move:endure} still prevents the target from fainting.

The effects of [Lock-On]{move:lock-on}, [Mind Reader]{move:mind-reader}, and [No Guard]{ability:no-guard} still apply, as long as the user is equal or higher level than the target.  However, they will not give this move a chance to break through [Detect]{move:detect} or [Protect]{move:protect}."
