mechanic_id,condition_type_id,logic_operator_id,value,condition_group
69,9,3,5,1
70,9,3,4,1
71,9,3,3,1
72,9,3,2,1
73,9,3,1,1
74,1,2,100,1
74,10,5,1,1
75,9,6,"1,2,3,4,5",2
76,1,2,100,1
76,10,5,1,1
76,10,5,1,1
76,9,6,"1,2,3,4,5,6",2
77,1,2,100,1
77,10,5,1,1
78,1,2,100,1
78,10,5,1,1
79,1,2,100,1
79,10,5,1,1
80,1,2,100,1
80,10,5,1,1
81,1,2,100,1
81,10,5,1,1
82,9,6,"1,2,3,4,5",1
83,9,6,"1,2,3,4,5,6",1
84,10,3,0,1
85,10,3,0,1
86,1,2,100,1
86,10,5,1,1
87,1,2,100,1
87,10,5,1,1
88,1,2,100,1
88,10,5,1,1
89,1,2,100,1
89,10,5,1,1
90,1,2,100,1
90,10,5,1,1
91,1,2,100,1
91,10,5,1,1
92,1,2,100,1
92,10,5,1,1
93,1,2,100,1
93,10,5,1,1
94,11,7,0,1
94,11,1,199,1
95,11,7,200,1
96,1,2,100,1
96,10,5,1,1
97,11,7,0,1
97,11,1,199,1
98,11,7,200,1
99,1,2,100,1
99,10,5,1,1
100,11,7,0,1
100,11,1,159,1
101,11,7,160,1
102,1,2,100,1
102,10,5,1,1
103,11,7,0,1
103,11,1,199,1
104,11,7,200,1
105,1,2,100,1
105,10,5,1,1
106,11,7,0,1
106,11,1,199,1
107,11,7,200,1
108,1,2,100,1
108,10,5,1,1
109,11,7,0,1
109,11,1,159,1
110,11,7,160,1
111,9,6,"1,2,3,4,5,6",1
112,11,7,0,1
112,11,1,199,1
113,11,7,200,1
114,9,6,"1,2,3,4,5,6",1
115,11,7,0,1
115,11,1,159,1
116,11,7,160,1
117,10,3,0,1
118,11,7,0,1
118,11,1,199,1
119,11,7,200,1
120,10,3,0,1
121,11,7,0,1
121,11,1,199,1
122,11,7,200,1
123,10,3,0,1
124,11,7,0,1
124,11,1,199,1
125,11,7,200,1
126,10,3,0,1
127,11,7,0,1
127,11,1,159,1
128,11,7,160,1
129,12,2,100,1
130,12,2,100,1
131,12,2,100,1
132,12,2,100,1
133,9,6,"1,2,3,4,5,6",1
134,1,1,50,1
135,1,2,100,1
136,13,7,1,1
137,13,7,1,1
138,10,3,0,1
139,14,2,25600,1
140,14,2,25600,1
141,14,2,25600,1
141,11,7,0,1
141,11,1,99,1
142,14,2,25600,1
142,11,7,100,1
142,11,1,199,1
143,14,2,25600,1
143,11,7,200,1
144,14,2,100,1
144,15,2,510,1
145,14,2,100,1
145,15,2,510,1
145,11,7,0,1
145,11,1,99,1
146,14,2,100,1
146,15,2,510,1
146,11,7,100,1
146,11,1,199,1
147,14,2,100,1
147,15,2,510,1
147,11,7,200,1
148,14,2,252,1
148,15,2,510,1
149,14,2,252,1
149,15,2,510,1
149,11,7,0,1
149,11,1,99,1
150,14,2,252,1
150,15,2,510,1
150,11,7,100,1
150,11,1,159,1
151,14,2,252,1
151,15,2,510,1
152,14,2,252,1
152,15,2,510,1
152,11,7,0,1
152,11,1,99,1
153,14,2,252,1
153,15,2,510,1
153,11,7,100,1
153,11,1,199,1
154,14,2,252,1
154,15,2,510,1
155,14,2,252,1
155,15,2,510,1
155,11,7,0,1
155,11,1,99,1
156,14,2,252,1
156,15,2,510,1
156,11,7,100,1
156,11,1,159,1
157,16,2,25600,1
158,16,2,25600,1
159,16,2,25600,1
159,11,7,0,1
159,11,1,99,1
160,16,2,25600,1
160,11,7,100,1
160,11,1,199,1
161,16,2,25600,1
161,11,7,200,1
162,16,2,100,1
162,15,2,510,1
163,16,2,100,1
163,15,2,510,1
163,11,7,0,1
163,11,1,99,1
164,16,2,100,1
164,15,2,510,1
164,11,7,100,1
164,11,1,199,1
165,16,2,100,1
165,15,2,510,1
165,11,7,200,1
166,16,2,252,1
166,15,2,510,1
167,16,2,252,1
167,15,2,510,1
167,11,7,0,1
167,11,1,99,1
168,16,2,252,1
168,15,2,510,1
168,11,7,100,1
168,11,1,159,1
169,16,2,252,1
169,15,2,510,1
170,16,2,252,1
170,15,2,510,1
170,11,7,0,1
170,11,1,99,1
171,16,2,252,1
171,15,2,510,1
171,11,7,100,1
171,11,1,199,1
172,16,2,252,1
172,15,2,510,1
173,16,2,252,1
173,15,2,510,1
173,11,7,0,1
173,11,1,99,1
174,16,2,252,1
174,15,2,510,1
174,11,7,100,1
174,11,1,159,1
175,17,2,25600,1
176,17,2,25600,1
177,17,2,25600,1
177,11,7,0,1
177,11,1,99,1
178,17,2,25600,1
178,11,7,100,1
178,11,1,199,1
179,17,2,25600,1
179,11,7,200,1
180,17,2,100,1
180,15,2,510,1
181,17,2,100,1
181,15,2,510,1
181,11,7,0,1
181,11,1,99,1
182,17,2,100,1
182,15,2,510,1
182,11,7,100,1
182,11,1,199,1
183,17,2,100,1
183,15,2,510,1
183,11,7,200,1
184,17,2,252,1
184,15,2,510,1
185,17,2,252,1
185,15,2,510,1
185,11,7,0,1
185,11,1,99,1
186,17,2,252,1
186,15,2,510,1
186,11,7,100,1
186,11,1,159,1
187,17,2,252,1
187,15,2,510,1
188,17,2,252,1
188,15,2,510,1
188,11,7,0,1
188,11,1,99,1
189,17,2,252,1
189,15,2,510,1
189,11,7,100,1
189,11,1,199,1
190,17,2,252,1
190,15,2,510,1
191,17,2,252,1
191,15,2,510,1
191,11,7,0,1
191,11,1,99,1
192,17,2,252,1
192,15,2,510,1
192,11,7,100,1
192,11,1,159,1
193,18,2,25600,1
194,18,2,25600,1
195,18,2,25600,1
195,11,7,0,1
195,11,1,99,1
196,18,2,25600,1
196,11,7,100,1
196,11,1,199,1
197,18,2,25600,1
197,11,7,200,1
198,18,2,100,1
198,15,2,510,1
199,18,2,100,1
199,15,2,510,1
199,11,7,0,1
199,11,1,99,1
200,18,2,100,1
200,15,2,510,1
200,11,7,100,1
200,11,1,199,1
201,18,2,100,1
201,15,2,510,1
201,11,7,200,1
202,18,2,252,1
202,15,2,510,1
203,18,2,252,1
203,15,2,510,1
203,11,7,0,1
203,11,1,99,1
204,18,2,252,1
204,15,2,510,1
204,11,7,100,1
204,11,1,159,1
205,18,2,252,1
205,15,2,510,1
206,18,2,252,1
206,15,2,510,1
206,11,7,0,1
206,11,1,99,1
207,18,2,252,1
207,15,2,510,1
207,11,7,100,1
207,11,1,199,1
208,18,2,252,1
208,15,2,510,1
209,18,2,252,1
209,15,2,510,1
209,11,7,0,1
209,11,1,99,1
210,18,2,252,1
210,15,2,510,1
210,11,7,100,1
210,11,1,159,1
211,19,2,25600,1
212,19,2,25600,1
213,19,2,25600,1
213,11,7,0,1
213,11,1,99,1
214,19,2,25600,1
214,11,7,100,1
214,11,1,199,1
215,19,2,25600,1
215,11,7,200,1
216,19,2,100,1
216,15,2,510,1
217,19,2,100,1
217,15,2,510,1
217,11,7,0,1
217,11,1,99,1
218,19,2,100,1
218,15,2,510,1
218,11,7,100,1
218,11,1,199,1
219,19,2,100,1
219,15,2,510,1
219,11,7,200,1
220,19,2,252,1
220,15,2,510,1
221,19,2,252,1
221,15,2,510,1
221,11,7,0,1
221,11,1,99,1
222,19,2,252,1
222,15,2,510,1
222,11,7,100,1
222,11,1,159,1
223,19,2,252,1
223,15,2,510,1
224,19,2,252,1
224,15,2,510,1
224,11,7,0,1
224,11,1,99,1
225,19,2,252,1
225,15,2,510,1
225,11,7,100,1
225,11,1,199,1
226,19,2,252,1
226,15,2,510,1
227,19,2,252,1
227,15,2,510,1
227,11,7,0,1
227,11,1,99,1
228,19,2,252,1
228,15,2,510,1
228,11,7,100,1
228,11,1,159,1
229,20,2,100,1
230,21,2,3,1
230,22,8,"57,888",1
231,21,2,3,1
231,22,8,"57,888",1
232,21,2,3,1
232,22,8,"57,888",1
232,11,7,0,1
232,11,1,99,1
233,21,2,3,1
233,22,8,"57,888",1
233,11,7,100,1
233,11,1,199,1
234,21,2,3,1
234,22,8,"57,888",1
234,11,7,200,1
235,21,2,3,1
235,22,8,"57,888",1
236,21,2,3,1
236,22,8,"57,888",1
236,11,7,0,1
236,11,1,99,1
237,21,2,3,1
237,22,8,"57,888",1
237,11,7,100,1
237,11,1,159,1
238,21,2,3,1
238,22,8,"57,888",1
239,21,2,3,1
239,22,8,"57,888",1
239,11,7,0,1
239,11,1,99,1
240,21,2,3,1
240,22,8,"57,888",1
240,11,7,100,1
240,11,1,199,1
241,21,2,3,1
241,22,8,"57,888",1
242,21,2,3,1
242,22,8,"57,888",1
242,11,7,0,1
242,11,1,99,1
243,21,2,3,1
243,22,8,"57,888",1
243,11,7,100,1
243,11,1,159,1
244,23,2,100,1
244,15,2,510,1
245,23,2,100,1
245,15,2,510,1
245,11,7,0,1
245,11,1,99,1
246,23,2,100,1
246,15,2,510,1
246,11,7,100,1
246,11,1,199,1
247,23,2,100,1
247,15,2,510,1
247,11,7,200,1
248,23,2,252,1
248,15,2,510,1
249,23,2,252,1
249,15,2,510,1
249,11,7,0,1
249,11,1,99,1
250,23,2,252,1
250,15,2,510,1
250,11,7,100,1
250,11,1,159,1
251,23,2,252,1
251,15,2,510,1
252,23,2,252,1
252,15,2,510,1
252,11,7,0,1
252,11,1,99,1
253,23,2,252,1
253,15,2,510,1
253,11,7,100,1
253,11,1,199,1
254,23,2,252,1
254,15,2,510,1
255,23,2,252,1
255,15,2,510,1
255,11,7,0,1
255,11,1,99,1
256,23,2,252,1
256,15,2,510,1
256,11,7,100,1
256,11,1,159,1
257,21,2,3,1
257,22,8,"57,888",1
258,21,2,3,1
258,22,8,"57,888",1
259,21,2,3,1
259,22,8,"57,888",1
259,11,7,0,1
259,11,1,99,1
260,21,2,3,1
260,22,8,"57,888",1
260,11,7,100,1
260,11,1,199,1
261,21,2,3,1
261,22,8,"57,888",1
261,11,7,200,1
262,21,2,3,1
262,22,8,"57,888",1
263,21,2,3,1
263,22,8,"57,888",1
263,11,7,0,1
263,11,1,99,1
264,21,2,3,1
264,22,8,"57,888",1
264,11,7,100,1
264,11,1,159,1
265,21,2,3,1
265,22,8,"57,888",1
266,21,2,3,1
266,22,8,"57,888",1
266,11,7,0,1
266,11,1,99,1
267,21,2,3,1
267,22,8,"57,888",1
267,11,7,100,1
267,11,1,199,1
268,21,2,3,1
268,22,8,"57,888",1
269,21,2,3,1
269,22,8,"57,888",1
269,11,7,0,1
269,11,1,99,1
270,21,2,3,1
270,22,8,"57,888",1
270,11,7,100,1
270,11,1,159,1
271,9,6,"1,2,3,4,5,6",1
272,9,4,43,1
273,24,4,1,1
274,24,4,1,1
274,11,7,0,1
274,11,1,199,1
275,24,4,1,1
276,24,4,1,1
276,11,7,0,1
276,11,1,159,1
277,24,4,1,1
278,24,4,1,1
278,11,7,0,1
278,11,1,199,1
279,24,4,1,1
280,24,4,1,1
280,11,7,0,1
280,11,1,159,1
281,37,4,2,1
282,37,4,2,1
283,37,4,2,1
283,11,7,0,1
283,11,1,199,1
284,37,4,2,1
285,37,4,2,1
285,11,7,0,1
285,11,1,159,1
286,37,4,2,1
287,37,4,2,1
287,11,7,0,1
287,11,1,199,1
288,37,4,2,1
289,37,4,2,1
289,11,7,0,1
289,11,1,159,1
290,25,2,6,1
291,25,2,6,1
292,25,2,6,1
292,11,7,0,1
292,11,1,199,1
293,25,2,6,1
294,25,2,6,1
294,11,7,0,1
294,11,1,159,1
295,25,2,6,1
296,25,2,6,1
296,11,7,0,1
296,11,1,199,1
297,25,2,6,1
298,25,2,6,1
298,11,7,0,1
298,11,1,159,1
299,26,2,6,1
300,26,2,6,1
301,26,2,6,1
301,11,7,0,1
301,11,1,199,1
302,26,2,6,1
303,26,2,6,1
303,11,7,0,1
303,11,1,159,1
304,26,2,6,1
305,26,2,6,1
305,11,7,0,1
305,11,1,199,1
306,26,2,6,1
307,26,2,6,1
307,11,7,0,1
307,11,1,159,1
308,27,2,6,1
309,27,2,6,1
310,27,2,6,1
310,11,7,0,1
310,11,1,199,1
311,27,2,6,1
312,27,2,6,1
312,11,7,0,1
312,11,1,159,1
313,27,2,6,1
314,27,2,6,1
314,11,7,0,1
314,11,1,199,1
315,27,2,6,1
316,27,2,6,1
316,11,7,0,1
316,11,1,159,1
317,28,2,6,1
318,28,2,6,1
319,28,2,6,1
319,11,7,0,1
319,11,1,199,1
320,28,2,6,1
321,28,2,6,1
321,11,7,0,1
321,11,1,159,1
322,28,2,6,1
323,28,2,6,1
323,11,7,0,1
323,11,1,199,1
324,28,2,6,1
325,28,2,6,1
325,11,7,0,1
325,11,1,159,1
326,29,2,6,1
327,29,2,6,1
328,29,2,6,1
328,11,7,0,1
328,11,1,199,1
329,29,2,6,1
330,29,2,6,1
330,11,7,0,1
330,11,1,159,1
331,29,2,6,1
332,29,2,6,1
332,11,7,0,1
332,11,1,199,1
333,29,2,6,1
334,29,2,6,1
334,11,7,0,1
334,11,1,159,1
335,30,2,6,1
336,30,2,6,1
336,11,7,0,1
336,11,1,199,1
337,30,2,6,1
338,30,2,6,1
338,11,7,0,1
338,11,1,159,1
339,30,2,6,1
340,30,2,6,1
340,11,7,0,1
340,11,1,199,1
341,30,2,6,1
342,30,2,6,1
342,11,7,0,1
342,11,1,159,1
345,9,3,2,1
346,9,3,6,1
347,9,3,7,1
350,31,3,true,1
352,32,3,dialga,1
352,36,3,steel,1
352,32,3,dialga,2
352,36,3,dragon,2
353,32,3,palkia,1
353,36,3,water,1
353,32,3,palkia,2
353,36,3,dragon,2
354,9,3,1,1
355,9,3,1,1
356,9,3,2,1
357,9,3,2,1
358,9,3,5,1
359,9,3,5,1
360,9,3,4,1
361,9,3,4,1
362,9,3,3,1
363,9,3,3,1
365,12,2,100,1
366,1,1,50,1
367,1,2,100,1
368,1,1,50,1
369,1,2,100,1
370,9,3,6,1
371,9,3,6,1
372,9,6,"1,2,3,4,5,6",1
373,9,6,"1,2,3,4,5,6",1
374,1,1,50,1
375,1,2,100,1
375,10,5,1,1
376,1,1,50,1
377,1,2,100,1
377,10,5,1,1
378,1,1,50,1
379,1,1,50,1
379,9,8,6,1
379,33,6,"2,3,4,5",1
380,1,1,100,1
381,1,1,25,1
382,1,1,25,1
382,9,8,6,1
382,33,6,"2,3,4,5",1
383,1,1,100,1
384,1,1,25,1
385,1,1,25,1
385,9,8,6,1
385,33,6,"2,3,4,5",1
386,1,1,100,1
387,1,1,50,1
388,1,1,50,1
388,9,8,6,1
388,33,6,"11,12,14,16",1
389,1,1,100,1
390,1,1,25,1
391,1,1,25,1
391,9,8,6,1
391,33,6,"11,12,14,16",1
392,1,1,100,1
393,1,1,25,1
394,1,1,25,1
394,9,8,6,1
394,33,6,"11,12,14,16",1
395,1,1,100,1
396,1,1,50,1
397,1,1,50,1
397,9,8,6,1
397,33,6,"21,22,23,24",1
398,1,1,100,1
399,1,1,25,1
400,1,1,25,1
400,9,8,6,1
400,33,6,"21,22,23,24",1
401,1,1,100,1
402,1,1,25,1
403,1,1,25,1
403,9,8,6,1
403,33,6,"21,22,23,24",1
404,1,1,100,1
405,1,1,50,1
406,1,1,50,1
406,9,8,6,1
406,33,6,"15,17,18,20",1
407,1,1,100,1
408,1,1,25,1
409,1,1,25,1
409,9,8,6,1
409,33,6,"15,17,18,20",1
410,1,1,100,1
411,1,1,25,1
412,1,1,25,1
412,9,8,6,1
412,33,6,"15,17,18,20",1
413,1,1,100,1
414,1,1,50,1
415,1,1,50,1
415,9,8,6,1
415,33,6,"6,8,9,10",1
416,1,1,100,1
417,1,1,25,1
418,1,1,25,1
418,9,8,6,1
418,33,6,"6,8,9,10",1
419,1,1,100,1
420,1,1,25,1
421,1,1,25,1
421,9,8,6,1
421,33,6,"6,8,9,10",1
422,1,1,100,1
423,14,5,0,1
424,14,5,0,1
424,11,7,0,1
424,11,1,99,1
425,14,5,0,1
425,11,7,100,1
425,11,1,199,1
426,14,5,0,1
426,11,7,200,1
427,14,5,0,1
428,14,5,0,1
428,11,7,0,1
428,11,1,99,1
429,14,5,0,1
429,11,7,100,1
429,11,1,159,1
430,14,5,0,1
430,11,7,160,1
431,14,5,0,1
432,14,5,0,1
432,11,7,0,1
432,11,1,99,1
433,14,5,0,1
433,11,7,100,1
433,11,1,199,1
434,14,5,0,1
434,11,7,200,1
435,14,5,0,1
436,14,5,0,1
436,11,7,0,1
436,11,1,99,1
437,14,5,0,1
437,11,7,100,1
437,11,1,159,1
438,14,5,0,1
438,11,7,160,1
439,16,5,0,1
440,16,5,0,1
440,11,7,0,1
440,11,1,99,1
441,16,5,0,1
441,11,7,100,1
441,11,1,199,1
442,16,5,0,1
442,11,7,200,1
443,16,5,0,1
444,16,5,0,1
444,11,7,0,1
444,11,1,99,1
445,16,5,0,1
445,11,7,100,1
445,11,1,159,1
446,16,5,0,1
446,11,7,160,1
447,16,5,0,1
448,16,5,0,1
448,11,7,0,1
448,11,1,99,1
449,16,5,0,1
449,11,7,100,1
449,11,1,199,1
450,16,5,0,1
450,11,7,200,1
451,16,5,0,1
452,16,5,0,1
452,11,7,0,1
452,11,1,99,1
453,16,5,0,1
453,11,7,100,1
453,11,1,159,1
454,16,5,0,1
454,11,7,160,1
455,17,5,0,1
456,17,5,0,1
456,11,7,0,1
456,11,1,99,1
457,17,5,0,1
457,11,7,100,1
457,11,1,199,1
458,17,5,0,1
458,11,7,200,1
459,17,5,0,1
460,17,5,0,1
460,11,7,0,1
460,11,1,99,1
461,17,5,0,1
461,11,7,100,1
461,11,1,159,1
462,17,5,0,1
462,11,7,160,1
463,17,5,0,1
464,17,5,0,1
464,11,7,0,1
464,11,1,99,1
465,17,5,0,1
465,11,7,100,1
465,11,1,199,1
466,17,5,0,1
466,11,7,200,1
467,17,5,0,1
468,17,5,0,1
468,11,7,0,1
468,11,1,99,1
469,17,5,0,1
469,11,7,100,1
469,11,1,159,1
470,17,5,0,1
470,11,7,160,1
471,19,5,0,1
472,19,5,0,1
472,11,7,0,1
472,11,1,99,1
473,19,5,0,1
473,11,7,100,1
473,11,1,199,1
474,19,5,0,1
474,11,7,200,1
475,19,5,0,1
476,19,5,0,1
476,11,7,0,1
476,11,1,99,1
477,19,5,0,1
477,11,7,100,1
477,11,1,159,1
478,19,5,0,1
478,11,7,160,1
479,19,5,0,1
480,19,5,0,1
480,11,7,0,1
480,11,1,99,1
481,19,5,0,1
481,11,7,100,1
481,11,1,199,1
482,19,5,0,1
482,11,7,200,1
483,19,5,0,1
484,19,5,0,1
484,11,7,0,1
484,11,1,99,1
485,19,5,0,1
485,11,7,100,1
485,11,1,159,1
486,19,5,0,1
486,11,7,160,1
487,23,5,0,1
488,23,5,0,1
488,11,7,0,1
488,11,1,99,1
489,23,5,0,1
489,11,7,100,1
489,11,1,199,1
490,23,5,0,1
490,11,7,200,1
491,23,5,0,1
492,23,5,0,1
492,11,7,0,1
492,11,1,99,1
493,23,5,0,1
493,11,7,100,1
493,11,1,159,1
494,23,5,0,1
494,11,7,160,1
495,23,5,0,1
496,23,5,0,1
496,11,7,0,1
496,11,1,99,1
497,23,5,0,1
497,11,7,100,1
497,11,1,199,1
498,23,5,0,1
498,11,7,200,1
499,23,5,0,1
500,23,5,0,1
500,11,7,0,1
500,11,1,99,1
501,23,5,0,1
501,11,7,100,1
501,11,1,159,1
502,23,5,0,1
502,11,7,160,1
503,18,5,0,1
504,18,5,0,1
504,11,7,0,1
504,11,1,99,1
505,18,5,0,1
505,11,7,100,1
505,11,1,199,1
506,18,5,0,1
506,11,7,200,1
507,18,5,0,1
508,18,5,0,1
508,11,7,0,1
508,11,1,99,1
509,18,5,0,1
509,11,7,100,1
509,11,1,159,1
510,18,5,0,1
510,11,7,160,1
511,18,5,0,1
512,18,5,0,1
512,11,7,0,1
512,11,1,99,1
513,18,5,0,1
513,11,7,100,1
513,11,1,199,1
514,18,5,0,1
514,11,7,200,1
515,18,5,0,1
516,18,5,0,1
516,11,7,0,1
516,11,1,99,1
517,18,5,0,1
517,11,7,100,1
517,11,1,159,1
518,18,5,0,1
518,11,7,160,1
519,34,3,fire,1
519,35,5,1,1
520,34,3,water,1
520,35,5,1,1
521,34,3,electric,1
521,35,5,1,1
522,34,3,grass,1
522,35,5,1,1
523,34,3,ice,1
523,35,5,1,1
524,34,3,fighting,1
524,35,5,1,1
525,34,3,poison,1
525,35,5,1,1
526,34,3,ground,1
526,35,5,1,1
527,34,3,flying,1
527,35,5,1,1
528,34,3,psychic,1
528,35,5,1,1
529,34,3,bug,1
529,35,5,1,1
530,34,3,rock,1
530,35,5,1,1
531,34,3,ghost,1
531,35,5,1,1
532,34,3,dragon,1
532,35,5,1,1
533,34,3,dark,1
533,35,5,1,1
534,34,3,steel,1
534,35,5,1,1
535,34,3,normal,1
535,35,5,0,1
536,1,1,25,1
536,25,2,6,1
537,1,1,25,1
537,26,2,6,1
538,1,1,25,1
538,27,2,6,1
539,1,1,25,1
539,29,2,6,1
540,1,1,25,1
540,30,2,6,1
541,1,1,25,1
542,1,1,25,1
542,45,3,true,1
543,35,5,1,1
544,1,1,25,1
545,1,1,25,1
546,38,3,2,1
547,38,3,3,1
549,39,4,9,1
550,40,2,0,1
560,9,3,7,1
561,9,6,"7,12,13,15,43,44",1
563,41,4,1,1
563,42,3,0,1
564,36,3,bug,1
565,36,3,bug,1
569,32,3,latios,1
569,32,3,latias,2
570,32,3,latios,1
570,36,3,dragon,1
570,32,3,latios,2
570,36,3,psychic,2
570,32,3,latias,3
570,36,3,dragon,3
570,32,3,latias,4
570,36,3,psychic,4
571,32,3,clampearl,1
572,32,3,clampearl,1
578,36,3,steel,1
579,36,3,steel,1
580,9,4,15,1
581,32,3,pikachu,1
582,32,3,pikachu,1
583,36,3,ground,1
584,36,3,ground,1
585,36,3,rock,1
586,36,3,rock,1
587,36,3,grass,1
588,36,3,grass,1
589,36,3,dark,1
590,36,3,dark,1
591,36,3,fighting,1
592,36,3,fighting,1
593,36,3,electric,1
594,36,3,electric,1
595,36,3,water,1
596,36,3,water,1
597,36,3,flying,1
598,36,3,flying,1
599,36,3,poison,1
600,36,3,poison,1
601,36,3,ice,1
602,36,3,ice,1
603,36,3,ghost,1
604,36,3,ghost,1
605,36,3,psychic,1
606,36,3,psychic,1
607,36,3,fire,1
608,36,3,fire,1
609,36,3,dragon,1
610,36,3,dragon,1
611,36,3,normal,1
612,36,3,normal,1
