id,item_id,version_group_id,trigger_id,context_id,operation_order
277,46,23,3,3,1
278,46,23,3,3,2
279,46,25,3,3,0
280,46,25,3,3,1
281,46,25,3,3,2
282,47,1,3,3,0
283,47,3,3,3,0
284,47,3,3,3,1
285,47,3,3,3,2
286,47,3,3,3,3
287,47,5,3,3,0
288,47,5,3,3,1
289,47,5,3,3,2
290,47,5,3,3,3
291,47,20,3,3,0
292,47,20,3,3,1
293,47,20,3,3,2
294,47,23,3,3,0
295,47,23,3,3,1
296,47,23,3,3,2
297,47,25,3,3,0
298,47,25,3,3,1
299,47,25,3,3,2
300,48,1,3,3,0
301,48,3,3,3,0
302,48,3,3,3,1
303,48,3,3,3,2
304,48,3,3,3,3
305,48,5,3,3,0
306,48,5,3,3,1
307,48,5,3,3,2
308,48,5,3,3,3
309,48,20,3,3,0
310,48,20,3,3,1
311,48,20,3,3,2
312,48,23,3,3,0
313,48,23,3,3,1
314,48,23,3,3,2
315,48,25,3,3,0
316,48,25,3,3,1
317,48,25,3,3,2
318,49,1,3,3,0
319,49,3,3,3,0
320,49,3,3,3,1
321,49,3,3,3,2
322,49,3,3,3,3
323,49,5,3,3,0
324,49,5,3,3,1
325,49,5,3,3,2
326,49,5,3,3,3
327,49,20,3,3,0
328,49,20,3,3,1
329,49,20,3,3,2
330,49,23,3,3,0
331,49,23,3,3,1
332,49,23,3,3,2
333,49,25,3,3,0
334,49,25,3,3,1
335,49,25,3,3,2
336,50,1,3,3,0
337,51,1,3,3,0
338,51,5,3,3,0
339,51,5,3,3,1
340,51,5,3,3,2
341,51,5,3,3,3
342,51,20,3,3,0
343,51,20,3,3,1
344,51,20,3,3,2
345,51,23,3,3,0
346,51,23,3,3,1
347,51,23,3,3,2
348,51,25,3,3,0
349,51,25,3,3,1
350,51,25,3,3,2
351,52,5,3,3,0
352,52,5,3,3,1
353,52,5,3,3,2
354,52,5,3,3,3
355,52,20,3,3,0
356,52,20,3,3,1
357,52,20,3,3,2
358,52,23,3,3,0
359,52,23,3,3,1
360,52,23,3,3,2
361,52,25,3,3,0
362,52,25,3,3,1
363,52,25,3,3,2
364,53,1,3,3,0
365,53,5,3,3,0
366,53,5,3,3,1
367,53,5,3,3,2
368,53,5,3,3,3
369,53,20,3,3,0
370,53,20,3,3,1
371,53,20,3,3,2
372,53,23,3,3,0
373,53,23,3,3,1
374,53,23,3,3,2
375,53,25,3,3,0
376,53,25,3,3,1
377,53,25,3,3,2
378,54,8,3,4,0
379,55,1,3,2,0
380,55,5,3,2,0
381,55,5,3,2,1
382,55,20,3,2,0
383,55,20,3,2,1
384,55,23,3,2,0
385,55,23,3,2,1
386,55,25,3,2,0
387,55,25,3,2,1
388,56,1,3,2,0
389,56,5,3,2,0
390,56,5,3,2,1
391,56,20,3,2,0
392,56,20,3,2,1
393,56,23,3,2,0
394,56,23,3,2,1
395,56,25,3,2,0
396,56,25,3,2,1
397,57,1,3,2,0
398,57,5,3,2,0
399,57,5,3,2,1
400,57,20,3,2,0
401,57,20,3,2,1
402,57,23,3,2,0
403,57,23,3,2,1
404,57,25,3,2,0
405,57,25,3,2,1
406,58,1,3,2,0
407,58,5,3,2,0
408,58,5,3,2,1
409,58,20,3,2,0
410,58,20,3,2,1
411,58,23,3,2,0
412,58,23,3,2,1
413,58,25,3,2,0
414,58,25,3,2,1
415,59,1,3,2,0
416,59,5,3,2,0
417,59,5,3,2,1
418,59,20,3,2,0
419,59,20,3,2,1
420,59,23,3,2,0
421,59,23,3,2,1
422,59,25,3,2,0
423,59,25,3,2,1
424,60,1,3,2,0
425,60,5,3,2,0
426,60,5,3,2,1
427,60,20,3,2,0
428,60,20,3,2,1
429,60,23,3,2,0
430,60,23,3,2,1
431,60,25,3,2,0
432,60,25,3,2,1
433,61,1,3,2,0
434,61,5,3,2,0
435,61,5,3,2,1
436,61,20,3,2,0
437,61,20,3,2,1
438,61,23,3,2,0
439,61,23,3,2,1
440,61,25,3,2,0
441,61,25,3,2,1
442,62,8,3,2,0
443,62,8,3,2,1
444,62,20,3,2,0
445,62,20,3,2,1
446,62,23,3,2,0
447,62,23,3,2,1
448,62,25,3,2,0
449,62,25,3,2,1
450,63,1,3,2,0
451,64,1,3,2,0
452,65,5,3,3,0
453,66,5,3,3,0
454,67,5,3,3,0
455,76,1,3,3,0
456,77,1,3,3,0
457,78,1,3,3,0
458,79,1,3,3,0
459,112,8,6,1,0
460,113,8,6,1,0
461,126,1,7,1,0
462,126,1,3,4,1
463,127,1,7,1,0
464,127,1,3,4,1
465,128,1,7,1,0
466,128,1,3,4,1
467,129,1,7,1,0
468,129,1,3,4,1
469,130,1,7,1,0
470,130,1,3,4,1
471,131,1,8,1,0
472,131,1,3,4,1
473,132,5,2,1,0
474,132,5,2,4,1
475,132,8,2,1,0
476,132,8,2,4,1
477,133,5,7,1,0
478,133,5,3,4,1
479,134,5,7,1,0
480,134,5,3,4,1
481,136,5,2,1,0
482,136,5,2,1,1
483,136,5,3,4,2
484,136,17,2,1,0
485,136,17,2,1,1
486,136,17,3,4,2
487,136,20,2,1,0
488,136,20,2,1,1
489,136,20,3,4,2
490,137,5,2,1,0
491,137,5,2,1,1
492,137,5,3,4,2
493,137,17,2,1,0
494,137,17,2,1,1
495,137,17,3,4,2
496,137,20,2,1,0
497,137,20,2,1,1
498,137,20,3,4,2
499,138,5,2,1,0
500,138,5,2,1,1
501,138,5,3,4,2
502,138,17,2,1,0
503,138,17,2,1,1
504,138,17,3,4,2
505,138,20,2,1,0
506,138,20,2,1,1
507,138,20,3,4,2
508,139,5,2,1,0
509,139,5,2,1,1
510,139,5,3,4,2
511,139,17,2,1,0
512,139,17,2,1,1
513,139,17,3,4,2
514,139,20,2,1,0
515,139,20,2,1,1
516,139,20,3,4,2
517,140,5,2,1,0
518,140,5,2,1,1
519,140,5,3,4,2
520,140,17,2,1,0
521,140,17,2,1,1
522,140,17,3,4,2
523,140,20,2,1,0
524,140,20,2,1,1
525,140,20,3,4,2
526,146,6,3,3,0
527,146,6,3,3,1
528,146,6,3,3,2
529,146,6,3,3,3
530,146,20,3,3,0
531,146,20,3,3,1
532,146,20,3,3,2
533,146,20,3,3,3
534,146,23,3,3,0
535,146,23,3,3,1
536,146,23,3,3,2
537,146,23,3,3,3
538,146,25,3,3,0
539,146,25,3,3,1
540,146,25,3,3,2
541,146,25,3,3,3
542,147,6,3,3,0
543,147,6,3,3,1
544,147,6,3,3,2
545,147,6,3,3,3
546,147,20,3,3,0
547,147,20,3,3,1
548,147,20,3,3,2
549,147,20,3,3,3
550,147,23,3,3,0
551,147,23,3,3,1
552,147,23,3,3,2
553,147,23,3,3,3
554,147,25,3,3,0
555,147,25,3,3,1
556,147,25,3,3,2
557,147,25,3,3,3
558,148,6,3,3,0
559,148,6,3,3,1
560,148,6,3,3,2
561,148,6,3,3,3
562,148,20,3,3,0
563,148,20,3,3,1
564,148,20,3,3,2
565,148,20,3,3,3
566,148,23,3,3,0
567,148,23,3,3,1
568,148,23,3,3,2
569,148,23,3,3,3
570,148,25,3,3,0
571,148,25,3,3,1
572,148,25,3,3,2
573,148,25,3,3,3
574,149,6,3,3,0
575,149,6,3,3,1
576,149,6,3,3,2
577,149,6,3,3,3
578,149,20,3,3,0
579,149,20,3,3,1
580,149,20,3,3,2
581,149,20,3,3,3
582,149,23,3,3,0
583,149,23,3,3,1
584,149,23,3,3,2
585,149,23,3,3,3
586,149,25,3,3,0
587,149,25,3,3,1
588,149,25,3,3,2
589,149,25,3,3,3
590,150,6,3,3,0
591,150,6,3,3,1
592,150,6,3,3,2
593,150,6,3,3,3
594,150,20,3,3,0
595,150,20,3,3,1
596,150,20,3,3,2
597,150,20,3,3,3
598,150,23,3,3,0
599,150,23,3,3,1
600,150,23,3,3,2
601,150,23,3,3,3
602,150,25,3,3,0
603,150,25,3,3,1
604,150,25,3,3,2
605,150,25,3,3,3
606,151,6,3,3,0
607,151,6,3,3,1
608,151,6,3,3,2
609,151,6,3,3,3
610,151,20,3,3,0
611,151,20,3,3,1
612,151,20,3,3,2
613,151,20,3,3,3
614,151,23,3,3,0
615,151,23,3,3,1
616,151,23,3,3,2
617,151,23,3,3,3
618,151,25,3,3,0
619,151,25,3,3,1
620,151,25,3,3,2
621,151,25,3,3,3
