species_id,pokemon_id,pokedex_id,pokedex_number
18,18,12,19
18,18,26,18
19,19,1,19
19,19,2,19
19,19,3,17
19,19,7,17
19,19,9,59
19,10091,16,15
19,10091,17,15
19,10091,18,6
19,10091,19,6
19,10091,20,6
19,10091,21,15
19,10091,22,15
19,10091,23,6
19,10091,24,6
19,10091,25,6
19,19,26,19
20,20,1,20
20,20,2,20
20,20,3,18
20,20,7,18
20,20,9,60
20,10092,16,16
20,10092,17,16
20,10092,18,7
20,10092,19,7
20,10092,20,7
20,10092,21,16
20,10092,22,16
20,10092,23,7
20,10092,24,7
20,10092,25,7
20,20,26,20
21,21,1,21
21,21,2,21
21,21,3,13
21,21,7,13
21,21,14,109
21,21,16,73
21,21,17,73
21,21,19,40
21,21,20,24
21,21,21,87
21,21,22,87
21,21,24,40
21,21,25,33
21,21,26,21
22,22,1,22
22,22,2,22
22,22,3,14
22,22,7,14
22,22,14,110
22,22,16,74
22,22,17,74
22,22,19,41
22,22,20,25
22,22,21,88
22,22,22,88
22,22,24,41
22,22,25,34
22,22,26,22
23,23,1,23
23,23,2,23
23,23,3,50
23,23,7,50
23,23,11,54
23,23,14,37
23,23,21,61
23,23,22,61
23,23,26,23
23,23,32,18
24,24,1,24
24,24,2,24
24,24,3,51
24,24,7,51
24,24,11,55
24,24,14,38
24,24,21,62
24,24,22,62
24,24,26,24
24,24,32,19
25,25,1,25
25,25,2,25
25,25,3,22
25,25,4,156
25,25,5,104
25,25,6,104
25,25,7,22
25,25,11,16
25,25,12,36
25,25,15,163
25,25,16,25
25,25,17,25
25,25,21,32
25,25,22,32
25,25,26,25
25,25,27,194
25,25,28,85
25,25,30,56
25,25,31,74
25,25,32,21
26,26,1,26
26,26,2,26
26,26,3,23
26,26,4,157
26,26,5,105
26,26,6,105
26,26,7,23
26,26,11,17
26,26,12,37
26,26,15,164
26,10100,16,26
26,10100,17,26
26,10100,21,33
26,10100,22,33
26,26,26,26
26,26,27,195
26,26,28,86
26,26,30,57
26,26,31,75
26,26,32,22
27,27,1,27
27,27,2,27
27,27,3,48
27,27,4,112
27,27,7,48
27,27,9,113
27,27,14,97
27,27,15,117
27,10101,16,251
27,10101,19,123
27,10101,21,328
27,10101,24,149
27,27,26,27
27,27,28,168
27,27,32,116
27,10101,33,155
28,28,1,28
28,28,2,28
28,28,3,49
28,28,4,113
28,28,7,49
28,28,9,114
28,28,14,98
28,28,15,118
28,10102,16,252
28,10102,19,124
28,10102,21,329
28,10102,24,150
28,28,26,28
28,28,28,169
28,28,32,117
28,10102,33,156
29,29,1,29
29,29,2,29
29,29,3,95
29,29,7,95
29,29,13,104
29,29,26,29
29,29,29,65
30,30,1,30
30,30,2,30
30,30,3,96
30,30,7,96
30,30,13,105
30,30,26,30
30,30,29,66
31,31,1,31
31,31,2,31
31,31,3,97
31,31,7,97
31,31,13,106
31,31,26,31
31,31,29,67
32,32,1,32
32,32,2,32
32,32,3,98
32,32,7,98
32,32,13,107
32,32,26,32
32,32,29,68
33,33,1,33
33,33,2,33
33,33,3,99
33,33,7,99
33,33,13,108
33,33,26,33
33,33,29,69
34,34,1,34
34,34,2,34
34,34,3,100
34,34,7,100
34,34,13,109
34,34,26,34
34,34,29,70
35,35,1,35
35,35,2,35
35,35,3,41
35,35,5,100
35,35,6,100
35,35,7,41
35,35,9,89
35,35,16,211
35,35,19,83
35,35,21,273
35,35,24,94
35,35,26,35
35,35,27,255
35,35,29,44
35,35,30,200
35,35,32,152
36,36,1,36
36,36,2,36
36,36,3,42
36,36,5,101
36,36,6,101
36,36,7,42
36,36,9,90
36,36,16,212
36,36,19,84
36,36,21,274
36,36,24,95
36,36,26,36
36,36,27,256
36,36,29,45
36,36,30,201
36,36,32,153
37,37,1,37
37,37,2,37
37,37,3,125
37,37,4,153
37,37,7,127
37,37,9,248
37,37,15,160
37,10103,16,253
37,10103,19,125
37,10103,21,330
37,10103,24,151
37,37,26,37
37,37,27,68
37,37,30,168
37,37,32,37
37,10103,33,157
38,38,1,38
38,38,2,38
38,38,3,126
38,38,4,154
38,38,7,128
38,38,9,249
38,38,15,161
38,10104,16,254
38,10104,19,126
38,10104,21,331
38,10104,24,152
38,38,26,38
38,38,27,69
38,38,30,169
38,38,32,38
38,10104,33,158
39,39,1,39
39,39,2,39
39,39,3,44
39,39,4,138
39,39,7,44
39,39,9,282
39,39,11,21
39,39,14,120
39,39,15,143
39,39,16,135
39,39,18,62
39,39,21,168
39,39,23,69
39,39,26,39
39,39,28,12
39,39,31,60
40,40,1,40
40,40,2,40
40,40,3,45
40,40,4,139
40,40,7,45
40,40,9,283
40,40,11,22
40,40,14,121
40,40,15,144
40,40,16,136
40,40,18,63
40,40,21,169
40,40,23,70
40,40,26,40
40,40,28,13
40,40,31,61
41,41,1,41
41,41,2,41
41,41,3,37
41,41,4,63
41,41,5,28
41,41,6,28
41,41,7,37
41,41,9,61
41,41,11,23
41,41,12,145
41,41,15,65
41,41,16,68
41,41,17,68
41,41,18,26
41,41,19,35
41,41,20,19
41,41,21,80
41,41,22,80
41,41,23,26
41,41,24,35
41,41,25,26
41,41,26,41
41,41,29,144
41,41,30,34
42,42,1,42
42,42,2,42
42,42,3,38
42,42,4,64
42,42,5,29
42,42,6,29
42,42,7,38
42,42,9,62
42,42,11,24
42,42,12,146
42,42,15,66
42,42,16,69
42,42,17,69
42,42,18,27
42,42,19,36
42,42,20,20
42,42,21,81
42,42,22,81
42,42,23,27
42,42,24,36
42,42,25,27
42,42,26,42
42,42,29,145
42,42,30,35
43,43,1,43
43,43,2,43
43,43,3,83
43,43,4,88
43,43,7,83
43,43,12,105
43,43,15,91
43,43,26,43
43,43,27,55
43,43,33,62
44,44,1,44
44,44,2,44
44,44,3,84
44,44,4,89
44,44,7,84
44,44,12,106
44,44,15,92
44,44,26,44
44,44,27,56
44,44,33,63
45,45,1,45
45,45,2,45
45,45,3,85
45,45,4,90
45,45,7,85
45,45,12,107
45,45,15,93
45,45,26,45
45,45,27,57
45,45,33,64
46,46,1,46
46,46,2,46
46,46,3,70
46,46,7,70
46,46,16,147
46,46,18,74
46,46,19,66
46,46,21,180
46,46,23,81
46,46,24,72
46,46,26,46
46,46,30,53
47,47,1,47
47,47,2,47
47,47,3,71
47,47,7,71
47,47,16,148
47,47,18,75
47,47,19,67
47,47,21,181
47,47,23,82
47,47,24,73
47,47,26,47
47,47,30,54
48,48,1,48
48,48,2,48
48,48,3,108
48,48,7,109
48,48,26,48
48,48,31,256
48,48,33,8
49,49,1,49
49,49,2,49
49,49,3,109
49,49,7,110
49,49,26,49
49,49,31,257
49,49,33,9
50,50,1,50
50,50,2,50
50,50,3,132
50,50,7,134
50,50,14,1
50,10105,16,71
50,10105,17,71
50,10105,18,29
50,10105,19,38
50,10105,20,22
50,10105,21,85
50,10105,22,85
50,10105,23,29
50,10105,24,38
50,10105,25,31
50,50,26,50
50,50,27,164
50,50,31,148
50,10105,33,66
51,51,1,51
51,51,2,51
51,51,3,133
51,51,7,135
51,51,14,2
51,10106,16,72
51,10106,17,72
51,10106,18,30
51,10106,19,39
51,10106,20,23
51,10106,21,86
51,10106,22,86
51,10106,23,30
51,10106,24,39
51,10106,25,32
51,51,26,51
51,51,27,165
51,51,31,149
51,10106,33,67
52,52,1,52
52,52,2,52
52,52,3,136
52,52,7,138
52,52,11,58
52,10107,16,45
52,10107,17,45
52,10107,19,23
52,10107,21,52
52,10107,22,52
52,10107,24,23
52,52,26,52
52,10161,27,182
52,52,31,141
53,53,1,53
53,53,2,53
53,53,3,137
53,53,7,139
53,53,11,59
53,10108,16,46
53,10108,17,46
53,10108,19,24
53,10108,21,53
53,10108,22,53
53,10108,24,24
53,53,26,53
53,53,27,184
53,53,31,142
54,54,1,54
54,54,2,54
54,54,3,138
54,54,4,158
54,54,5,43
54,54,6,43
54,54,7,140
54,54,9,28
54,54,12,59
54,54,15,165
54,54,16,89
54,54,17,89
54,54,18,32
54,54,19,49
54,54,20,39
54,54,21,107
54,54,22,107
54,54,23,32
54,54,24,52
54,54,25,51
54,54,26,54
54,54,28,146
54,54,30,68
54,54,31,55
55,55,1,55
55,55,2,55
55,55,3,139
55,55,4,159
55,55,5,44
55,55,6,44
55,55,7,141
55,55,9,29
55,55,12,60
55,55,15,166
55,55,16,90
55,55,17,90
55,55,18,33
55,55,19,50
55,55,20,40
55,55,21,108
55,55,22,108
55,55,23,33
55,55,24,53
55,55,25,52
55,55,26,55
55,55,28,147
55,55,30,69
55,55,31,56
56,56,1,56
56,56,2,56
56,56,3,134
56,56,7,136
56,56,16,79
56,56,17,79
56,56,20,30
56,56,21,93
56,56,22,93
56,56,25,39
56,56,26,56
56,56,31,158
56,56,32,99
57,57,1,57
57,57,2,57
57,57,3,135
57,57,7,137
57,57,16,80
57,57,17,80
57,57,20,31
57,57,21,94
57,57,22,94
57,57,25,40
57,57,26,57
57,57,31,159
57,57,32,100
58,58,1,58
58,58,2,58
58,58,3,127
58,58,7,129
58,58,9,51
58,58,16,52
58,58,17,52
58,58,21,64
58,58,22,64
58,58,26,58
58,58,27,70
58,10229,30,150
58,58,31,213
58,58,32,78
59,59,1,59
59,59,2,59
59,59,3,128
59,59,7,130
59,59,9,52
59,59,16,53
59,59,17,53
59,59,21,65
59,59,22,65
59,59,26,59
59,59,27,71
59,10230,30,151
59,59,31,214
59,59,32,79
60,60,1,60
60,60,2,60
60,60,3,72
60,60,7,72
60,60,14,33
60,60,16,149
60,60,18,76
60,60,19,68
60,60,21,182
60,60,23,83
60,60,24,74
60,60,26,60
60,60,28,142
60,60,32,39
61,61,1,61
61,61,2,61
61,61,3,73
61,61,7,73
61,61,14,34
61,61,16,150
61,61,18,77
61,61,19,69
61,61,21,183
61,61,23,84
61,61,24,75
61,61,26,61
61,61,28,143
61,61,32,40
62,62,1,62
62,62,2,62
62,62,3,74
62,62,7,74
62,62,14,35
62,62,16,151
62,62,18,78
62,62,19,70
62,62,21,184
62,62,23,85
62,62,24,76
62,62,26,62
62,62,28,144
62,62,32,41
63,63,1,63
63,63,2,63
63,63,3,89
63,63,4,39
63,63,5,20
63,63,6,20
63,63,7,89
63,63,11,127
63,63,12,102
63,63,15,40
63,63,16,42
63,63,17,42
63,63,21,49
63,63,22,49
63,63,26,63
63,63,28,31
63,63,30,58
64,64,1,64
64,64,2,64
64,64,3,90
64,64,4,40
64,64,5,21
64,64,6,21
64,64,7,90
64,64,11,128
64,64,12,103
64,64,15,41
64,64,16,43
64,64,17,43
64,64,21,50
64,64,22,50
64,64,26,64
64,64,28,32
64,64,30,59
65,65,1,65
65,65,2,65
65,65,3,91
65,65,4,41
65,65,5,22
65,65,6,22
65,65,7,91
65,65,11,129
65,65,12,104
65,65,15,42
65,65,16,44
65,65,17,44
65,65,21,51
65,65,22,51
65,65,26,65
65,65,28,33
65,65,30,60
66,66,1,66
66,66,2,66
66,66,3,140
66,66,4,73
66,66,5,40
66,66,6,40
66,66,7,142
66,66,11,98
66,66,13,57
66,66,15,75
66,66,16,95
66,66,17,95
66,66,20,45
66,66,21,117
66,66,22,117
66,66,25,57
66,66,26,66
66,66,27,138
66,66,30,154
67,67,1,67
67,67,2,67
67,67,3,141
67,67,4,74
67,67,5,41
67,67,6,41
67,67,7,143
67,67,11,99
67,67,13,58
67,67,15,76
67,67,16,96
67,67,17,96
67,67,20,46
67,67,21,118
67,67,22,118
67,67,25,58
67,67,26,67
67,67,27,139
67,67,30,155
68,68,1,68
68,68,2,68
68,68,3,142
68,68,4,75
68,68,5,42
68,68,6,42
68,68,7,144
68,68,11,100
68,68,13,59
68,68,15,77
68,68,16,97
68,68,17,97
68,68,20,47
68,68,21,119
68,68,22,119
68,68,25,59
68,68,26,68
68,68,27,140
68,68,30,156
69,69,1,69
69,69,2,69
69,69,3,64
69,69,7,64
69,69,14,26
69,69,26,69
69,69,32,23
70,70,1,70
70,70,2,70
70,70,3,65
70,70,7,65
70,70,14,27
70,70,26,70
70,70,32,24
71,71,1,71
71,71,2,71
71,71,3,66
71,71,7,66
71,71,14,28
71,71,26,71
71,71,32,25
72,72,1,72
72,72,2,72
72,72,3,162
72,72,4,66
72,72,5,136
72,72,6,136
72,72,7,164
72,72,13,25
72,72,15,68
72,72,16,106
72,72,17,106
72,72,18,38
72,72,19,53
72,72,20,55
72,72,21,129
72,72,22,129
72,72,23,38
72,72,24,56
72,72,25,67
72,72,26,72
72,72,28,40
72,72,30,170
72,72,33,50
73,73,1,73
73,73,2,73
73,73,3,163
73,73,4,67
73,73,5,137
73,73,6,137
73,73,7,165
73,73,13,26
73,73,15,69
73,73,16,107
73,73,17,107
73,73,18,39
73,73,19,54
73,73,20,56
73,73,21,130
73,73,22,130
73,73,23,39
73,73,24,57
73,73,25,68
73,73,26,73
73,73,28,41
73,73,30,171
73,73,33,51
74,74,1,74
74,74,2,74
74,74,3,34
74,74,4,57
74,74,5,31
74,74,6,31
74,74,7,34
74,74,14,9
74,74,15,58
74,10109,16,229
74,10109,19,101
74,10109,21,298
74,10109,24,119
74,74,26,74
74,74,30,46
74,74,32,80
74,10109,33,96
75,75,1,75
75,75,2,75
75,75,3,35
75,75,4,58
75,75,5,32
75,75,6,32
75,75,7,35
75,75,14,10
75,75,15,59
75,10110,16,230
75,10110,19,102
75,10110,21,299
75,10110,24,120
75,75,26,75
75,75,30,47
75,75,32,81
75,10110,33,97
76,76,1,76
76,76,2,76
76,76,3,36
76,76,4,59
76,76,5,33
76,76,6,33
76,76,7,36
76,76,14,11
76,76,15,60
76,10111,16,231
76,10111,19,103
76,10111,21,300
76,10111,24,121
76,76,26,76
76,76,30,48
76,76,32,82
76,10111,33,98
77,77,1,77
77,77,2,77
77,77,3,201
77,77,5,90
77,77,6,90
77,77,7,206
77,77,26,77
77,10162,27,333
77,10162,29,105
77,77,30,23
78,78,1,78
78,78,2,78
78,78,3,202
78,78,5,91
78,78,6,91
78,78,7,207
78,78,26,78
78,10163,27,334
78,10163,29,106
78,78,30,24
79,79,1,79
79,79,2,79
79,79,3,80
79,79,7,80
79,79,13,133
79,79,16,37
79,79,17,37
79,79,19,18
79,79,21,44
79,79,22,44
79,79,24,18
79,79,26,79
79,10164,28,1
79,79,31,324
79,10164,33,75
80,80,1,80
80,80,2,80
80,80,3,81
80,80,7,81
80,80,13,134
80,80,16,38
80,80,17,38
80,80,19,19
80,80,21,45
80,80,22,45
80,80,24,19
80,80,26,80
80,10165,28,2
80,80,31,325
80,10165,33,76
81,81,1,81
81,81,2,81
81,81,3,118
81,81,4,82
81,81,6,178
81,81,7,119
81,81,9,48
81,81,14,69
81,81,15,84
81,81,16,47
81,81,17,47
81,81,19,25
81,81,21,54
81,81,22,54
81,81,24,25
81,81,26,81
81,81,28,105
81,81,30,177
81,81,31,209
81,81,33,116
82,82,1,82
82,82,2,82
82,82,3,119
82,82,4,83
82,82,6,179
82,82,7,120
82,82,9,49
82,82,14,70
82,82,15,85
82,82,16,48
82,82,17,48
82,82,19,26
82,82,21,55
82,82,22,55
82,82,24,26
82,82,26,82
82,82,28,106
82,82,30,178
82,82,31,210
82,82,33,117
83,83,1,83
83,83,2,83
83,83,3,158
83,83,7,160
83,83,12,61
83,83,26,83
83,10166,27,218
84,84,1,84
84,84,2,84
84,84,3,199
84,84,4,92
84,84,7,204
84,84,12,94
84,84,15,95
84,84,26,84
84,84,33,1
85,85,1,85
85,85,2,85
85,85,3,200
85,85,4,93
85,85,7,205
85,85,12,95
85,85,15,96
85,85,26,85
85,85,33,2
86,86,1,86
86,86,2,86
86,86,3,176
86,86,7,178
86,86,9,265
86,86,21,115
86,86,22,115
86,86,26,86
86,86,33,143
87,87,1,87
87,87,2,87
87,87,3,177
87,87,7,179
87,87,9,266
87,87,21,116
87,87,22,116
87,87,26,87
87,87,33,144
88,88,1,88
88,88,2,88
88,88,3,116
88,88,4,106
88,88,7,117
88,88,9,64
88,88,15,111
88,10112,16,50
88,10112,17,50
88,10112,19,28
88,10112,21,57
88,10112,22,57
88,10112,24,28
88,88,26,88
88,88,31,194
88,10112,33,68
89,89,1,89
89,89,2,89
89,89,3,117
89,89,4,107
89,89,7,118
89,89,9,65
89,89,15,112
89,10113,16,51
89,10113,17,51
89,10113,19,29
89,10113,21,58
89,10113,22,58
89,10113,24,29
89,89,26,89
89,89,31,195
89,10113,33,69
90,90,1,90
90,90,2,90
90,90,3,169
90,90,7,171
90,90,13,36
90,90,16,115
90,90,17,115
90,90,21,138
90,90,22,138
90,90,26,90
90,90,27,150
90,90,28,131
90,90,31,329
91,91,1,91
91,91,2,91
91,91,3,170
91,91,7,172
91,91,13,37
91,91,16,116
91,91,17,116
91,91,21,139
91,91,22,139
91,91,26,91
91,91,27,151
91,91,28,132
91,91,31,330
92,92,1,92
92,92,2,92
92,92,3,58
92,92,5,69
92,92,6,69
92,92,7,58
92,92,11,112
92,92,14,30
92,92,16,61
92,92,17,61
92,92,18,23
92,92,19,32
92,92,21,73
92,92,22,73
92,92,23,23
92,92,24,32
92,92,26,92
92,92,27,141
92,92,30,136
92,92,31,68
92,92,32,118
93,93,1,93
93,93,2,93
93,93,3,59
93,93,5,70
93,93,6,70
93,93,7,59
93,93,11,113
93,93,14,31
93,93,16,62
93,93,17,62
93,93,18,24
93,93,19,33
93,93,21,74
93,93,22,74
93,93,23,24
93,93,24,33
93,93,26,93
93,93,27,142
93,93,30,137
93,93,31,69
93,93,32,119
94,94,1,94
94,94,2,94
94,94,3,60
94,94,5,71
94,94,6,71
94,94,7,60
94,94,11,114
94,94,14,32
94,94,16,63
94,94,17,63
94,94,18,25
94,94,19,34
94,94,21,75
94,94,22,75
94,94,23,25
94,94,24,34
94,94,26,94
94,94,27,143
94,94,30,138
94,94,31,70
94,94,32,120
95,95,1,95
95,95,2,95
95,95,3,62
95,95,5,34
95,95,6,34
95,95,7,62
95,95,9,71
95,95,11,175
95,95,13,53
95,95,26,95
95,95,27,178
95,95,30,118
96,96,1,96
96,96,2,96
96,96,3,87
96,96,7,87
96,96,16,54
96,96,17,54
96,96,20,13
96,96,21,66
96,96,22,66
96,96,25,20
96,96,26,96
96,96,31,66
97,97,1,97
97,97,2,97
97,97,3,88
97,97,7,88
97,97,16,55
97,97,17,55
97,97,20,14
97,97,21,67
97,97,22,67
97,97,25,21
97,97,26,97
97,97,31,67
98,98,1,98
98,98,2,98
98,98,3,164
98,98,7,166
98,98,26,98
98,98,27,98
98,98,28,38
99,99,1,99
99,99,2,99
99,99,3,165
99,99,7,167
99,99,26,99
99,99,27,99
99,99,28,39
100,100,1,100
100,100,2,100
100,100,3,120
100,100,4,84
100,100,7,121
100,100,14,72
100,100,15,87
100,100,26,100
100,10231,30,192
100,100,31,207
101,101,1,101
101,101,2,101
101,101,3,121
101,101,4,85
101,101,7,122
101,101,14,73
101,101,15,88
101,101,26,101
101,10232,30,193
101,101,31,208
102,102,1,102
102,102,2,102
102,102,3,104
102,102,7,105
102,102,13,136
102,102,16,269
102,102,20,84
102,102,21,355
102,102,25,102
102,102,26,102
102,102,28,205
102,102,33,3
103,103,1,103
103,103,2,103
103,103,3,105
103,103,7,106
103,103,13,137
103,10114,16,270
103,10114,20,85
103,10114,21,356
103,10114,25,103
103,103,26,103
103,103,28,206
103,10114,33,4
104,104,1,104
104,104,2,104
104,104,3,203
104,104,7,208
104,104,13,60
104,104,16,163
104,104,18,90
104,104,21,197
104,104,23,98
104,104,26,104
104,104,28,170
105,105,1,105
105,105,2,105
105,105,3,204
105,105,7,209
105,105,13,61
105,10115,16,164
105,10115,18,91
105,10115,21,198
105,10115,23,99
105,105,26,105
105,105,28,171
106,106,1,106
106,106,2,106
106,106,3,144
106,106,7,146
106,106,26,106
106,106,27,108
106,106,33,93
107,107,1,107
107,107,2,107
107,107,3,145
107,107,7,147
107,107,26,107
107,107,27,109
107,107,33,94
108,108,1,108
108,108,2,108
108,108,3,178
108,108,6,161
108,108,7,180
108,108,9,284
108,108,14,134
108,108,21,375
108,108,25,122
108,108,26,108
108,108,28,54
108,108,30,125
109,109,1,109
109,109,2,109
109,109,3,114
109,109,4,108
109,109,7,115
109,109,9,46
109,109,15,113
109,109,26,109
109,109,27,250
109,109,32,135
110,110,1,110
110,110,2,110
110,110,3,115
110,110,4,109
110,110,7,116
110,110,9,47
110,110,15,114
110,110,26,110
110,10167,27,251
110,110,32,136
111,111,1,111
111,111,2,111
111,111,3,206
111,111,4,169
111,111,6,186
111,111,7,211
111,111,11,160
111,111,13,50
111,111,15,176
111,111,26,111
111,111,27,264
111,111,28,183
111,111,30,120
111,111,33,5
112,112,1,112
112,112,2,112
112,112,3,207
112,112,4,170
112,112,6,187
112,112,7,212
112,112,11,161
112,112,13,51
112,112,15,177
112,112,26,112
112,112,27,265
112,112,28,184
112,112,30,121
112,112,33,6
113,113,1,113
113,113,2,113
113,113,3,217
113,113,5,97
113,113,6,97
113,113,7,222
113,113,16,33
113,113,17,33
113,113,18,17
113,113,19,16
113,113,20,9
113,113,21,40
113,113,22,40
113,113,23,17
113,113,24,16
113,113,25,16
113,113,26,113
113,113,28,7
113,113,30,87
113,113,31,44
113,113,33,17
114,114,1,114
114,114,2,114
114,114,3,179
114,114,6,181
114,114,7,182
114,114,9,217
114,114,26,114
114,114,28,80
114,114,30,95
115,115,1,115
115,115,2,115
115,115,3,205
115,115,7,210
115,115,13,62
115,115,16,165
115,115,18,92
115,115,21,199
115,115,23,100
115,115,26,115
115,115,28,172
116,116,1,116
116,116,2,116
116,116,3,186
116,116,4,184
116,116,7,190
116,116,13,39
116,116,15,193
116,116,26,116
116,116,28,198
116,116,33,52
117,117,1,117
117,117,2,117
117,117,3,187
117,117,4,185
117,117,7,191
117,117,13,40
117,117,15,194
117,117,26,117
117,117,28,199
117,117,33,53
118,118,1,118
118,118,2,118
118,118,3,78
118,118,4,50
118,118,5,78
118,118,6,78
118,118,7,78
118,118,12,53
118,118,15,51
118,118,16,153
118,118,18,80
118,118,19,72
118,118,21,186
118,118,23,87
118,118,24,78
118,118,26,118
118,118,27,146
118,118,28,94
119,119,1,119
119,119,2,119
119,119,3,79
119,119,4,51
119,119,5,79
119,119,6,79
119,119,7,79
119,119,12,54
119,119,15,52
119,119,16,154
119,119,18,81
119,119,19,73
119,119,21,187
119,119,23,88
119,119,24,79
119,119,26,119
119,119,27,147
119,119,28,95
120,120,1,120
120,120,2,120
120,120,3,167
120,120,4,143
120,120,7,169
120,120,9,238
120,120,13,34
120,120,15,148
120,120,16,184
120,120,18,111
120,120,21,223
120,120,23,124
120,120,26,120
120,120,28,98
121,121,1,121
121,121,2,121
121,121,3,168
121,121,4,144
121,121,7,170
121,121,9,239
121,121,13,35
121,121,15,149
121,121,16,185
121,121,18,112
121,121,21,224
121,121,23,125
121,121,26,121
121,121,28,99
122,122,1,122
122,122,2,122
122,122,3,156
122,122,5,95
122,122,6,95
122,122,7,158
122,122,13,114
122,122,21,60
122,122,22,60
122,122,26,122
122,10168,27,365
122,10168,29,11
122,122,30,77
123,123,1,123
123,123,2,123
123,123,3,110
123,123,6,195
123,123,7,111
123,123,11,188
123,123,14,136
123,123,16,275
123,123,20,90
123,123,21,365
123,123,25,112
123,123,26,123
123,123,28,118
123,123,30,72
123,123,31,260
123,123,33,19
124,124,1,124
124,124,2,124
124,124,3,153
124,124,7,155
124,124,14,84
124,124,21,110
124,124,22,110
124,124,26,124
124,124,29,14
125,125,1,125
125,125,2,125
125,125,3,155
125,125,6,198
125,125,7,157
125,125,9,57
125,125,16,227
125,125,19,99
125,125,21,296
125,125,24,117
125,125,26,125
125,125,29,16
125,125,30,183
125,125,33,11
126,126,1,126
126,126,2,126
126,126,3,151
126,126,6,201
126,126,7,153
126,126,9,54
126,126,16,167
126,126,18,94
126,126,21,201
126,126,23,102
126,126,26,126
126,126,29,19
126,126,30,175
126,126,33,14
127,127,1,127
127,127,2,127
127,127,3,112
127,127,4,167
127,127,7,113
127,127,9,146
127,127,13,130
127,127,15,174
127,127,16,175
127,127,18,102
127,127,20,65
127,127,21,211
127,127,23,112
127,127,25,78
127,127,26,127
127,127,28,120
128,128,1,128
128,128,2,128
128,128,3,148
128,128,7,150
128,128,13,125
128,128,16,137
128,128,18,64
128,128,20,61
128,128,21,170
128,128,23,71
128,128,25,73
128,128,26,128
128,128,28,116
128,10250,31,223
128,128,33,22
129,129,1,129
129,129,2,129
129,129,3,76
129,129,4,52
129,129,5,23
129,129,6,23
129,129,7,76
129,129,11,13
129,129,12,49
129,129,15,53
129,129,16,91
129,129,17,91
129,129,18,34
129,129,19,51
129,129,20,41
129,129,21,111
129,129,22,111
129,129,23,34
129,129,24,54
129,129,25,53
129,129,26,129
129,129,27,144
129,129,28,42
129,129,29,62
129,129,30,80
129,129,31,134
129,129,32,43
130,130,1,130
130,130,2,130
130,130,3,77
130,130,4,53
130,130,5,24
130,130,6,24
130,130,7,77
130,130,11,14
130,130,12,50
130,130,15,54
130,130,16,92
130,130,17,92
130,130,18,35
130,130,19,52
130,130,20,42
130,130,21,112
130,130,22,112
130,130,23,35
130,130,24,55
130,130,25,54
130,130,26,130
130,130,27,145
130,130,28,43
130,130,29,63
130,130,30,81
130,130,31,135
130,130,32,44
131,131,1,131
131,131,2,131
131,131,3,219
131,131,7,224
131,131,9,242
131,131,11,190
131,131,13,150
131,131,16,268
131,131,20,83
131,131,21,353
131,131,25,100
131,131,26,131
131,131,27,361
131,131,29,190
