item_id,version_group_id,language_id,flavor_text
2,14,9,"An ultra-performance Ball that
provides a higher Pokémon catch rate
than a Great Ball."
2,15,1,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
2,15,3,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
2,15,5,"Une Ball ultraperformante dont le taux de
réussite est supérieur à celui de la Super Ball."
2,15,6,"Ein Ball mit hoher Erfolgsquote. Dem Superball in
allen Punkten überlegen."
2,15,7,"Poké Ball de rendimiento superior. Tiene un
índice de éxito mayor al de la Super Ball."
2,15,8,"Poké Ball dalle prestazioni eccellenti:
fornisce maggiori probabilità di cattura rispetto
alla Mega Ball."
2,15,9,"An ultra-high-performance Poké Ball
that provides a higher success rate for
catching Pokémon than a Great Ball."
2,15,11,"スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。"
2,17,1,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
2,17,3,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
2,17,4,"性能非常不錯的球。
比起超級球
更容易捉到寶可夢。"
2,17,5,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Super Ball."
2,17,6,"Ein Ball mit hoher Erfolgsquote. Dem Superball in
allen Punkten überlegen."
2,17,7,"Poké Ball de rendimiento superior. Tiene un índice
de éxito mayor al de la Super Ball."
2,17,8,"Poké Ball dalle prestazioni eccellenti: fornisce
maggiori probabilità di cattura rispetto alla
Mega Ball."
2,17,9,"An ultra-high-performance Poké Ball that provides
a higher success rate for catching Pokémon than
a Great Ball."
2,17,11,"スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。"
2,17,12,"比起超级球来
更容易捉到宝可梦的，
性能非常不错的球。"
2,18,1,"スーパーボールよりも　さらに
ポケモンを　つかまえやすくなった
すごく　せいのうのいい　ボール。"
2,18,3,"수퍼볼보다도 더욱
포켓몬을 잡기 쉬워진
매우 성능이 좋은 볼."
2,18,4,"性能非常不錯的球。
比起超級球
更容易捉到寶可夢。"
2,18,5,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Super Ball."
2,18,6,"Ein Ball mit hoher Erfolgsquote. Dem Superball in
allen Punkten überlegen."
2,18,7,"Poké Ball de rendimiento superior. Tiene un índice
de éxito mayor al de la Super Ball."
2,18,8,"Poké Ball dalle prestazioni eccellenti: fornisce
maggiori probabilità di cattura rispetto alla
Mega Ball."
2,18,9,"An ultra-high-performance Poké Ball that provides
a higher success rate for catching Pokémon than
a Great Ball."
2,18,11,"スーパーボールよりも　さらに
ポケモンを　捕まえやすくなった
すごく　性能のいい　ボール。"
2,18,12,"比起超级球来
更容易捉到宝可梦的，
性能非常不错的球。"
3,5,9,"A good BALL with a
higher catch rate
than a POKé BALL."
3,6,9,"A good BALL with a
higher catch rate
than a POKé BALL."
3,7,9,"A good, quality BALL that offers
a higher POKéMON catch rate than
a standard POKé BALL."
3,8,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,9,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,10,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,11,5,"Une Ball très performante dont le taux
de réussite est supérieur à celui de la
Poké Ball."
3,11,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,14,9,"A good, high-performance Ball that
provides a higher Pokémon catch rate
than a standard Poké Ball."
3,15,1,"モンスターボールよりも　さらに
ポケモンを　つかまえやすくなった
すこし　せいのうのいい　ボール。"
3,15,3,"몬스터볼보다도 더욱
포켓몬을 잡기 쉬워진
약간 성능이 좋은 볼."
3,15,5,"Une Ball très performante dont le taux de
réussite est supérieur à celui de la Poké Ball."
3,15,6,"Ein Ball mit guter Erfolgsquote. Dem Pokéball in
allen Punkten überlegen."
3,15,7,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
3,15,8,"Poké Ball dalle ottime prestazioni:
fornisce maggiori probabilità di cattura rispetto
alla normale Poké Ball."
3,15,9,"A good, high-performance Poké Ball
that provides a higher Pokémon catch
rate than a standard Poké Ball can."
3,15,11,"モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。"
3,17,1,"モンスターボールよりも　さらに
ポケモンを　つかまえやすくなった
すこし　せいのうのいい　ボール。"
3,17,3,"몬스터볼보다도 더욱
포켓몬을 잡기 쉬워진
약간 성능이 좋은 볼."
3,17,4,"性能還算不錯的球。
比起精靈球
更容易捉到寶可夢。"
3,17,5,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Poké Ball."
3,17,6,"Ein Ball mit guter Erfolgsquote. Dem Pokéball in
allen Punkten überlegen."
3,17,7,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
3,17,8,"Poké Ball dalle ottime prestazioni: fornisce
maggiori probabilità di cattura rispetto alla
normale Poké Ball."
3,17,9,"A good, high-performance Poké Ball that provides
a higher Pokémon catch rate than a standard
Poké Ball."
3,17,11,"モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。"
3,17,12,"比起精灵球来
更容易捉到宝可梦的，
性能还算不错的球。"
3,18,1,"モンスターボールよりも　さらに
ポケモンを　つかまえやすくなった
すこし　せいのうのいい　ボール。"
3,18,3,"몬스터볼보다도 더욱
포켓몬을 잡기 쉬워진
약간 성능이 좋은 볼."
3,18,4,"性能還算不錯的球。
比起精靈球
更容易捉到寶可夢。"
3,18,5,"Une Ball très performante dont le taux de réussite
est supérieur à celui de la Poké Ball."
3,18,6,"Ein Ball mit guter Erfolgsquote. Dem Pokéball in
allen Punkten überlegen."
3,18,7,"Poké Ball de alto rendimiento. Tiene un índice de
éxito superior al de la Poké Ball."
3,18,8,"Poké Ball dalle ottime prestazioni: fornisce
maggiori probabilità di cattura rispetto alla
normale Poké Ball."
3,18,9,"A good, high-performance Poké Ball that provides
a higher Pokémon catch rate than a standard
Poké Ball."
3,18,11,"モンスターボールよりも　さらに
ポケモンを　捕まえやすくなった
少し　性能のいい　ボール。"
3,18,12,"比起精灵球来
更容易捉到宝可梦的，
性能还算不错的球。"
4,5,9,"A tool used for
catching wild
POKéMON."
4,6,9,"A tool used for
catching wild
POKéMON."
4,7,9,"A BALL thrown to catch a wild
POKéMON. It is designed in a
capsule style."
4,8,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,9,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,10,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,11,5,"Un objet pareil à une capsule, qui
capture les Pokémon sauvages. Il suffit
pour cela de le jeter comme une balle."
4,11,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,14,9,"A device for catching wild Pokémon.
It is thrown like a ball at the target.
It is designed as a capsule system."
4,15,1,"やせいの　ポケモンに　なげて
つかまえる　ための　ボール。
カプセルしきに　なっている。"
4,15,3,"야생 포켓몬에게 던져서
잡기 위한 볼.
캡슐식으로 되어 있다."
4,15,5,"Un objet semblable à une capsule, qui capture
les Pokémon sauvages. Il suffit pour cela de le
jeter comme une balle."
4,15,6,"Damit fängst du wilde Pokémon. Du wirfst ihn wie
einen normalen Ball. Das Design ähnelt dem einer
Kapsel."
4,15,7,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
4,15,8,"Strumento dotato di capsula usato per catturare
Pokémon selvatici. Si lancia contro il bersaglio
come una palla."
4,15,9,"A device for catching wild Pokémon.
It’s thrown like a ball at a Pokémon,
comfortably encapsulating its target."
4,15,11,"野生の　ポケモンに　投げて
捕まえるための　ボール。
カプセル式に　なっている。"
4,17,1,"やせいの　ポケモンに　なげて
つかまえる　ための　ボール。
カプセルしきに　なっている。"
4,17,3,"야생 포켓몬에게 던져서
잡기 위한 볼.
캡슐식으로 되어 있다."
4,17,4,"用於投向野生寶可夢
並將其捕捉的球。
它是膠囊樣式的。"
4,17,5,"Un objet semblable à une capsule, qui capture
les Pokémon sauvages. Il suffit pour cela de le
jeter comme une balle."
4,17,6,"Damit fängst du wilde Pokémon. Du wirfst ihn wie
einen normalen Ball. Das Design ähnelt dem einer
Kapsel."
4,17,7,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
4,17,8,"Strumento dotato di capsula usato per catturare
Pokémon selvatici. Si lancia contro il bersaglio
come una palla."
4,17,9,"A device for catching wild Pokémon. It’s thrown like
a ball at a Pokémon, comfortably encapsulating
its target."
4,17,11,"野生の　ポケモンに　投げて
捕まえるための　ボール。
カプセル式に　なっている。"
4,17,12,"用于投向野生宝可梦
并将其捕捉的球。
它是胶囊样式的。"
4,18,1,"やせいの　ポケモンに　なげて
つかまえる　ための　ボール。
カプセルしきに　なっている。"
4,18,3,"야생 포켓몬에게 던져서
잡기 위한 볼.
캡슐식으로 되어 있다."
4,18,4,"用於投向野生寶可夢
並將其捕捉的球。
它是膠囊樣式的。"
4,18,5,"Un objet semblable à une capsule, qui capture
les Pokémon sauvages. Il suffit pour cela de le
jeter comme une balle."
4,18,6,"Damit fängst du wilde Pokémon. Du wirfst ihn wie
einen normalen Ball. Das Design ähnelt dem einer
Kapsel."
4,18,7,"Dispositivo con diseño capsular que atrapa
Pokémon salvajes. Se lanza como una bola
contra el blanco."
4,18,8,"Strumento dotato di capsula usato per catturare
Pokémon selvatici. Si lancia contro il bersaglio
come una palla."
4,18,9,"A device for catching wild Pokémon. It’s thrown like
a ball at a Pokémon, comfortably encapsulating
its target."
4,18,11,"野生の　ポケモンに　投げて
捕まえるための　ボール。
カプセル式に　なっている。"
4,18,12,"用于投向野生宝可梦
并将其捕捉的球。
它是胶囊样式的。"
5,5,9,"A special BALL that
is used only in the
SAFARI ZONE."
5,6,9,"A special BALL that
is used only in the
SAFARI ZONE."
5,7,9,"A special BALL that is used only in
the SAFARI ZONE. It is finished in
a camouflage pattern."
5,8,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
5,9,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
5,10,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
5,11,5,"Une Poké Ball spéciale dont l’usage
est réservé au Parc Safari. Elle est
décorée d’un motif camouflage."
5,11,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
5,14,9,"A special Poké Ball that is used only in
the Great Marsh. It is decorated in a
camouflage pattern."
5,15,1,"だいしつげんの　なか　だけで
つかう　とくべつな　ボール。
めいさいがらに　なっている。"
5,15,3,"대습초원 안에서만
쓰는 특별한 볼.
얼룩무늬로 되어 있다."
5,15,5,"Une Poké Ball spéciale dont l’usage est réservé
au Parc Safari. Elle est décorée d’un motif
camouflage."
5,15,6,"Ein Ball, der nur in Safari-Zonen eingesetzt wird.
Er besticht durch sein Tarnfarbenmuster."
5,15,7,"Poké Ball con un diseño de camuflaje que se
utiliza únicamente en el Gran Pantano."
5,15,8,"Poké Ball speciale, usata soltanto nella
Gran Palude. È decorata con un motivo mimetico."
5,15,9,"A special Poké Ball that is used only in
the Great Marsh. It is recognizable by
the camouflage pattern decorating it."
5,15,11,"大湿原の　中だけで
使う　特別な　ボール。
迷彩柄に　なっている。"
5,17,1,"だいしつげんの　なか　だけで
つかう　とくべつな　ボール。
めいさいがらに　なっている。"
5,17,3,"대습초원 안에서만
쓰는 특별한 볼.
얼룩무늬로 되어 있다."
5,17,4,"僅能在大濕地中
使用的特殊的球。
上面有迷彩花紋。"
5,17,5,"Une Poké Ball spéciale dont l’usage est réservé
au Parc Safari. Elle est décorée d’un motif
camouflage."
5,17,6,"Ein Ball, der nur in Safari-Zonen eingesetzt wird.
Er besticht durch sein Tarnfarbenmuster."
5,17,7,"Poké Ball con un diseño de camuflaje que se utiliza
únicamente en la Zona Safari."
5,17,8,"Poké Ball speciale, usata soltanto nella Gran Palude.
È decorata con un motivo mimetico."
5,17,9,"A special Poké Ball that is used only in the
Great Marsh. It is recognizable by the camouflage
pattern decorating it."
5,17,11,"大湿原の　中だけで
使う　特別な　ボール。
迷彩柄に　なっている。"
5,17,12,"仅能在大湿地中使用的特殊的球。
上面有迷彩花纹。"
5,18,1,"だいしつげんの　なか　だけで
つかう　とくべつな　ボール。
めいさいがらに　なっている。"
5,18,3,"대습초원 안에서만
쓰는 특별한 볼.
얼룩무늬로 되어 있다."
5,18,4,"僅能在大濕地中
使用的特殊的球。
上面有迷彩花紋。"
5,18,5,"Une Poké Ball spéciale dont l’usage est réservé
au Parc Safari. Elle est décorée d’un motif
camouflage."
5,18,6,"Ein Ball, der nur in Safari-Zonen eingesetzt wird.
Er besticht durch sein Tarnfarbenmuster."
5,18,7,"Poké Ball con un diseño de camuflaje que se utiliza
únicamente en la Zona Safari."
5,18,8,"Poké Ball speciale, usata soltanto nella Gran Palude.
È decorata con un motivo mimetico."
5,18,9,"A special Poké Ball that is used only in the
Great Marsh. It is recognizable by the camouflage
pattern decorating it."
5,18,11,"大湿原の　中だけで
使う　特別な　ボール。
迷彩柄に　なっている。"
5,18,12,"仅能在大湿地中使用的特殊的球。
上面有迷彩花纹。"
6,5,9,"A BALL that works
well on WATER- and
BUG-type POKéMON."
6,6,9,"A BALL that works
well on WATER- and
BUG-type POKéMON."
6,7,9,"A somewhat different BALL that
works especially well on WATER- and
BUG-type POKéMON."
6,8,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,9,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,10,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,11,5,"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon Eau ou Insecte."
6,11,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,14,9,"A somewhat different Poké Ball that
works especially well on Water- and
Bug-type Pokémon."
6,15,1,"みずタイプと　むしタイプの
ポケモンが　つかまえやすくなる
ちょっと　かわった　ボール。"
6,15,3,"물타입과 벌레타입의
포켓몬을 잡기 쉬운
조금 특이한 볼."
6,15,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon Eau ou
Insecte."
6,15,6,"Ein Ball, der sich besonders gut eignet,
um Wasser- und Käfer-Pokémon zu fangen."
6,15,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon de tipo
Agua y Bicho."
6,15,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon di tipo Acqua e Coleottero."
6,15,9,"A somewhat different Poké Ball that
is more effective when attempting
to catch Water- or Bug-type Pokémon."
6,15,11,"みずタイプと　むしタイプの
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。"
6,17,1,"みずタイプと　むしタイプの
ポケモンが　つかまえやすくなる
ちょっと　かわった　ボール。"
6,17,3,"물타입과 벌레타입의
포켓몬을 잡기 쉬운
조금 특이한 볼."
6,17,4,"有點與眾不同的球。
能更容易地捉到
水屬性和蟲屬性寶可夢。"
6,17,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon Eau ou
Insecte."
6,17,6,"Ein Ball, der sich besonders gut eignet, um Wasser-
und Käfer-Pokémon zu fangen."
6,17,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon de tipo
Agua y Bicho."
6,17,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon di tipo Acqua e Coleottero."
6,17,9,"A somewhat different Poké Ball that is more
effective when attempting to catch Water- or
Bug-type Pokémon."
6,17,11,"みずタイプと　むしタイプの
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。"
6,17,12,"有点与众不同的球。
能很容易地捕捉
水属性和虫属性的宝可梦。"
6,18,1,"みずタイプと　むしタイプの
ポケモンが　つかまえやすくなる
ちょっと　かわった　ボール。"
6,18,3,"물타입과 벌레타입의
포켓몬을 잡기 쉬운
조금 특이한 볼."
6,18,4,"有點與眾不同的球。
能更容易地捉到
水屬性和蟲屬性寶可夢。"
6,18,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon Eau ou
Insecte."
6,18,6,"Ein Ball, der sich besonders gut eignet, um Wasser-
und Käfer-Pokémon zu fangen."
6,18,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon de tipo
Agua y Bicho."
6,18,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon di tipo Acqua e Coleottero."
6,18,9,"A somewhat different Poké Ball that is more
effective when attempting to catch Water- or
Bug-type Pokémon."
6,18,11,"みずタイプと　むしタイプの
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。"
6,18,12,"有点与众不同的球。
能很容易地捕捉
水属性和虫属性的宝可梦。"
7,5,9,"A BALL that works
better on POKéMON
on the ocean floor."
7,6,9,"A BALL that works
better on POKéMON
on the ocean floor."
7,7,9,"A somewhat different BALL that
works especially well on POKéMON
deep in the sea."
7,8,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live in the sea."
7,9,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live in the sea."
7,10,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live in the sea."
7,11,5,"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon sous-marins."
7,11,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live underwater."
7,14,9,"A somewhat different Poké Ball that
works especially well on Pokémon that
live underwater."
7,15,1,"みずの　せかいで　くらしている
ポケモンが　つかまえやすくなる
ちょっと　かわった　ボール。"
7,15,3,"물의 세계에서 사는
포켓몬을 잡기 쉬운
조금 특이한 볼."
7,15,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon
sous-marins."
7,15,6,"Ein Ball, mit dem sich Pokémon, die im Wasser
leben, besser fangen lassen."
7,15,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon que viven
bajo el agua."
7,15,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon che vivono in acqua."
7,15,9,"A somewhat different Poké Ball that
works especially well when catching
Pokémon that live underwater."
7,15,11,"水の　世界で　暮らしている
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。"
7,17,1,"みずの　せかいで　くらしている
ポケモンが　つかまえやすくなる
ちょっと　かわった　ボール。"
7,17,3,"물의 세계에서 사는
포켓몬을 잡기 쉬운
조금 특이한 볼."
7,17,4,"有點與眾不同的球。
能更容易地捉到
生活在水中世界的寶可夢。"
7,17,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon
sous-marins."
7,17,6,"Ein Ball, mit dem sich Pokémon, die im Wasser leben,
besser fangen lassen."
7,17,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon que viven
bajo el agua."
7,17,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon che vivono in acqua."
7,17,9,"A somewhat different Poké Ball that works
especially well when catching Pokémon that
live underwater."
7,17,11,"水の　世界で　暮らしている
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。"
7,17,12,"有点与众不同的球。
能很容易地捕捉
生活在水世界里的宝可梦。"
7,18,1,"みずの　せかいで　くらしている
ポケモンが　つかまえやすくなる
ちょっと　かわった　ボール。"
7,18,3,"물의 세계에서 사는
포켓몬을 잡기 쉬운
조금 특이한 볼."
7,18,4,"有點與眾不同的球。
能更容易地捉到
生活在水中世界的寶可夢。"
7,18,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon
sous-marins."
7,18,6,"Ein Ball, mit dem sich Pokémon, die im Wasser leben,
besser fangen lassen."
7,18,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon que viven
bajo el agua."
7,18,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon che vivono in acqua."
7,18,9,"A somewhat different Poké Ball that works
especially well when catching Pokémon that
live underwater."
7,18,11,"水の　世界で　暮らしている
ポケモンが　捕まえやすくなる
ちょっと　変わった　ボール。"
7,18,12,"有点与众不同的球。
能很容易地捕捉
生活在水世界里的宝可梦。"
8,5,9,"A BALL that works
better on weaker
POKéMON."
8,6,9,"A BALL that works
better on weaker
POKéMON."
8,7,9,"A somewhat different BALL that
works especially well on weaker
POKéMON."
8,8,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,9,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,10,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,11,5,"Une Poké Ball un peu spéciale qui
fonctionne particulièrement bien
sur les Pokémon les plus faibles."
8,11,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,14,9,"A somewhat different Poké Ball that
works especially well on weaker
Pokémon in the wild."
8,15,1,"つかまえる　やせいの　ポケモンが
よわいほど　つかまえやすくなる
ちょっと　かわった　ボール。"
8,15,3,"잡으려는 야생 포켓몬이
약할수록 잡기 쉬운
조금 특이한 볼."
8,15,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon les plus
faibles."
8,15,6,"Ein Ball, dessen Erfolgsquote besonders bei
Pokémon mit niedrigem Level sehr hoch ist."
8,15,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon salvajes
de nivel bajo."
8,15,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon selvatici più deboli."
8,15,9,"A somewhat different Poké Ball that
becomes more effective the lower
the level of the wild Pokémon."
8,15,11,"捕まえる　野生の　ポケモンが
弱いほど　捕まえやすくなる
ちょっと　変わった　ボール。"
8,17,1,"つかまえる　やせいの　ポケモンが
よわいほど　つかまえやすくなる
ちょっと　かわった　ボール。"
8,17,3,"잡으려는 야생 포켓몬이
약할수록 잡기 쉬운
조금 특이한 볼."
8,17,4,"有點與眾不同的球。
捕捉的野生寶可夢越弱，
就越容易捉到。"
8,17,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon les plus
faibles."
8,17,6,"Ein Ball, dessen Erfolgsquote besonders bei
Pokémon mit niedrigem Level sehr hoch ist."
8,17,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon salvajes
de nivel bajo."
8,17,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon selvatici più deboli."
8,17,9,"A somewhat different Poké Ball that becomes more
effective the lower the level of the wild Pokémon."
8,17,11,"捕まえる　野生の　ポケモンが
弱いほど　捕まえやすくなる
ちょっと　変わった　ボール。"
8,17,12,"有点与众不同的球。
捕捉的野生宝可梦越弱，
就会越容易捕捉。"
8,18,1,"つかまえる　やせいの　ポケモンが
よわいほど　つかまえやすくなる
ちょっと　かわった　ボール。"
8,18,3,"잡으려는 야생 포켓몬이
약할수록 잡기 쉬운
조금 특이한 볼."
8,18,4,"有點與眾不同的球。
捕捉的野生寶可夢越弱，
就越容易捉到。"
8,18,5,"Une Poké Ball un peu spéciale qui fonctionne
particulièrement bien sur les Pokémon les plus
faibles."
8,18,6,"Ein Ball, dessen Erfolgsquote besonders bei
Pokémon mit niedrigem Level sehr hoch ist."
8,18,7,"Es algo distinta a las demás. Funciona
especialmente bien con los Pokémon salvajes
de nivel bajo."
8,18,8,"Poké Ball un po’ diversa. Risulta particolarmente
efficace sui Pokémon selvatici più deboli."
8,18,9,"A somewhat different Poké Ball that becomes more
effective the lower the level of the wild Pokémon."
