ability_changelog_id,local_language_id,effect
15,6,Gibt schwere []{mechanic:poison} als normale []{mechanic:poison} zurück.
15,9,Passes back bad [poison]{mechanic:poison} as regular poison.
16,5,N'a pas d'effet en dehors du combat.
16,6,Hat außerhalb vom Kampf keinen Effekt.
16,9,Has no overworld effect.
17,5,"N'affecte pas les capacités []{type:electric} non-offensives, i.e. []{move:thunder-wave}. Augmente la fréquence des revanches dans le monde extérieur si un Pokémon de l'équipe a ce talent."
17,6,"Betrifft keine []{type:electric}-Attacken die keinen Schaden anrichten, wie []{move:thunder-wave}. Erhöht die Anzahl an Trainer-Anrufen wenn irgendein Pokémon im Team diese Fähigkeit hat."
17,9,"Does not affect non-damaging []{type:electric} moves, i.e. []{move:thunder-wave}.  Increases the frequency of Match Call calls on the overworld if any party Pokémon has this ability."
18,5,Redirige les capacités []{type:electric} sans les annuler ou garantir aucun boost d'[]{mechanic:special-attack}. Ne redirige pas []{move:hidden-power}.
18,6,"Leitet []{type:electric}-Attacken um, ohne ihre Effekte zu deaktivieren oder einen []{mechanic:special-attack} Bonus zu gewähren. Leitet []{move:hidden-power} nicht um."
18,9,Redirects []{type:electric} moves without negating them or granting any [Special Attack]{mechanic:special-attack} boost.  Does not redirect []{move:hidden-power}.
19,5,N'a pas d'effet en dehors du combat.
19,6,Hat außerhalb vom Kampf keinen Effekt.
19,9,Has no overworld effect.
20,5,N'a pas d'effet en dehors du combat.
20,6,Hat außerhalb vom Kampf keinen Effekt.
20,9,Has no overworld effect.
21,5,"Empêche []{move:heal-bell} de soigner le Pokémon, que ce soit en combat ou non."
21,6,"Hindert []{move:heal-bell} daran, das Pokémon zu heilen, auch außerhalb vom Kampf."
21,9,"Prevents []{move:heal-bell} from curing the Pokémon, whether or not it is in battle."
22,5,N'a pas d'effet en dehors du combat.
22,6,Hat außerhalb vom Kampf keinen Effekt.
22,9,Has no overworld effect.
23,5,N'affecte pas les capacités du Pokémon allié qui ciblent tous les autres Pokémon. La présence de ce talent n'est pas annoncée à son entrée au combat.
23,6,Betrifft keine Attacken von Teammitgliedern die alle anderen Pokémon als Ziel haben. Diese Fähigkeit wird im Kampf nicht angekündigt.
23,9,Does not affect friendly Pokémon's moves that target all other Pokémon.  This ability's presence is not announced upon entering battle.
24,5,N'a pas d'effet en dehors du combat.
24,6,Hat außerhalb vom Kampf keinen Effekt.
24,9,Has no overworld effect.
25,5,N'a pas d'effet en dehors du combat.
25,6,Hat außerhalb vom Kampf keinen Effekt.
25,9,Has no overworld effect.
26,5,N'a pas d'effet en dehors du combat.
26,6,Hat außerhalb vom Kampf keinen Effekt.
26,9,Has no overworld effect.
27,5,Double le rayon d'action de []{move:cut} dans le monde extérieur si un Pokémon de l'équipe a ce talent.
27,6,"Verdoppelt den Radius in dem []{move:cut} Gras entfernt, wenn irgendein Pokémon im Team diese Fähigkeit hat."
27,9,Doubles []{move:cut}'s grass-cutting radius on the overworld if any party Pokémon has this ability.
28,5,N'a aucun effet en combat.
28,6,Hat im Kampf keinen Effekt.
28,9,Has no effect in battle.
29,5,N'a pas d'effet en dehors du combat.
29,6,Hat außerhalb vom Kampf keinen Effekt.
29,9,Has no overworld effect.
30,5,N'a pas d'effet en dehors du combat.
30,6,Hat außerhalb vom Kampf keinen Effekt.
30,9,Has no overworld effect.
31,5,N'a pas d'effet en dehors du combat.
31,6,Hat außerhalb vom Kampf keinen Effekt.
31,9,Has no overworld effect.
32,5,Ne prend pas effet pendant le []{mechanic:sleep}.
32,6,Hat keinen Effekt während das Pokémon [schläft]{mechanic:sleep}.
32,9,Does not take effect during [sleep]{mechanic:sleep}.
33,5,N'a pas d'effet en dehors du combat.
33,6,Hat außerhalb vom Kampf keinen Effekt.
33,9,Has no overworld effect.
34,5,Augmente la fréquence des cris entendus dans le monde extérieur si un Pokémon de l'équipe a ce talent.
34,6,"Erhöht die Anzahl an Rufen die man außerhalb vom Kampf hört, wenn irgendein Pokémon im Team diese Fähigkeit hat."
34,9,Increases the frequency of cries heard on the overworld if any party Pokémon has this ability.
35,5,N'a pas d'effet en dehors du combat.
35,6,Hat außerhalb vom Kampf keinen Effekt.
35,9,Has no overworld effect.
36,5,N'a pas d'effet en dehors du combat.
36,6,Hat außerhalb vom Kampf keinen Effekt.
36,9,Has no overworld effect.
37,5,N'a pas d'effet en dehors du combat.
37,6,Hat außerhalb vom Kampf keinen Effekt.
37,9,Has no overworld effect.
38,5,Le []{mechanic:poison} continue d'infliger des dégâts au Pokémon en dehors du combat.
38,6,[]{mechanic:poison} schadet dem Pokémon außerhalb vom Kampf.
38,9,[Poison]{mechanic:poison} still damages the Pokémon outside of battle.
39,5,"La []{mechanic:paralysis} ne peut pas empêcher le Pokémon de bouger, mais le malus de []{mechanic:speed} est appliqué. Le []{mechanic:poison} continue d'infliger des dommages au Pokémon en dehors du combat."
39,6,"[]{mechanic:paralysis} hindert das Pokémon nicht daran sich zu bewegen, aber der []{mechanic:speed} Malus bleibt. []{mechanic:poison} schadet dem Pokémon außerhalb vom Kampf."
39,9,"[Paralysis]{mechanic:paralysis} cannot prevent the Pokémon from moving, though the [Speed]{mechanic:speed} cut is unaffected.  [Poison]{mechanic:poison} still damages the Pokémon outside of battle."
40,5,"À cause d'un glitch, les capacités affectées par ce talent ont (100 - accuracy)% de chance de transpercer []{move:detect} ou []{move:protect}."
40,6,Wegen eines Glitches haben Attacken die von dieser Fähigkeit beeinflusst sind eine (100 - Genauigkeit)% Chance durch den []{move:detect} oder []{move:protect} zu treffen.
40,9,"Due to a glitch, moves affected by this ability have a (100 - accuracy)% chance to hit through []{move:detect} or []{move:protect}."
41,5,[]{move:rest} fonctionne de manière habituelle sous le []{mechanic:strong-sunlight}.
41,6,[]{move:rest} funktioniert normal bei [starkem Sonnenlicht]{mechanic:strong-sunlight}.
41,9,[]{move:rest} works as usual during [strong sunlight]{mechanic:strong-sunlight}.
42,5,[]{move:fling} peut être utilisé de manière habituelle.
42,6,[]{move:fling} kann normal benutzt werden.
42,9,[]{move:fling} can be used as usual.
43,5,Redirige les capacités []{type:water} sans les annuler ou garantir aucun boost d'[]{mechanic:special-attack}. Ne redirige pas []{move:hidden-power}.
43,6,Leitet []{type:water}-Attacken um ohne den []{mechanic:special-attack} Bonus zu gewähren. Leitet []{move:hidden-power} nicht um.
43,9,Redirects []{type:water} moves without negating them or granting any [Special Attack]{mechanic:special-attack} boost.  Does not redirect []{move:hidden-power}.
44,5,Peut copier []{ability:flower-gift} et []{ability:wonder-guard}.
44,6,Kann []{ability:flower-gift} und []{ability:wonder-guard} kopieren.
44,9,Can copy []{ability:flower-gift} and []{ability:wonder-guard}.
45,5,Peut copier []{ability:forecast} et []{ability:trace}.
45,6,Kann []{ability:forecast} und []{ability:trace} kopieren.
45,9,Can copy []{ability:forecast} and []{ability:trace}.
46,5,Fonctionne uniquement quand associé à []{ability:minus}.
46,6,Funktioniert nur wenn es mit []{ability:minus} kombiniert wird.
46,9,Powers up only when paired with []{ability:minus}.
47,5,Fonctionne uniquement quand associé à []{ability:plus}.
47,6,Funktioniert nur wenn es mit []{ability:plus} kombiniert wird.
47,9,Powers up only when paired with []{ability:plus}.
48,5,Les chances que l'effet s'active sont de 30%.
48,6,"Die Chance, dass der Effekt eintritt, beträgt 30%."
48,9,Chance of taking effect is 30%.
49,5,[]{move:triple-kick} n'est pas affecté.
49,6,[]{move:triple-kick} wird nicht beeinflusst.
49,9,[]{move:triple-kick} is unaffected.
50,5,[]{move:struggle} n'est pas affecté. []{move:helping-hand} et []{move:defense-curl} ne sont pas pris en compte.
50,6,[]{move:struggle} wird nicht beeinflusst. []{move:helping-hand} und []{move:defense-curl} werden nicht beachtet.
50,9,[]{move:struggle} is unaffected.  []{move:helping-hand} and []{move:defense-curl} are not taken into account.
51,5,N'a pas d'effet en dehors du combat.
51,6,Hat außerhalb vom Kampf keinen Effekt.
51,9,Has no overworld effect.
52,5,Les chances que l'effet s'active sont de 33%.
52,6,"Die Chance, dass der Effekt eintritt, beträgt 33%."
52,9,Chance of taking effect is 33%.
