growth_rate_id,level,experience
3,15,2700
3,16,3276
3,17,3930
3,18,4665
3,19,5487
3,20,6400
3,21,7408
3,22,8518
3,23,9733
3,24,11059
3,25,12500
3,26,14060
3,27,15746
3,28,17561
3,29,19511
3,30,21600
3,31,23832
3,32,26214
3,33,28749
3,34,31443
3,35,34300
3,36,37324
3,37,40522
3,38,43897
3,39,47455
3,40,51200
3,41,55136
3,42,59270
3,43,63605
3,44,68147
3,45,72900
3,46,77868
3,47,83058
3,48,88473
3,49,94119
3,50,100000
3,51,106120
3,52,112486
3,53,119101
3,54,125971
3,55,133100
3,56,140492
3,57,148154
3,58,156089
3,59,164303
3,60,172800
3,61,181584
3,62,190662
3,63,200037
3,64,209715
3,65,219700
3,66,229996
3,67,240610
3,68,251545
3,69,262807
3,70,274400
3,71,286328
3,72,298598
3,73,311213
3,74,324179
3,75,337500
3,76,351180
3,77,365226
3,78,379641
3,79,394431
3,80,409600
3,81,425152
3,82,441094
3,83,457429
3,84,474163
3,85,491300
3,86,508844
3,87,526802
3,88,545177
3,89,563975
3,90,583200
3,91,602856
3,92,622950
3,93,643485
3,94,664467
3,95,685900
3,96,707788
3,97,730138
3,98,752953
3,99,776239
3,100,800000
4,1,0
4,2,9
4,3,57
4,4,96
4,5,135
4,6,179
4,7,236
4,8,314
4,9,419
4,10,560
4,11,742
4,12,973
4,13,1261
4,14,1612
4,15,2035
4,16,2535
4,17,3120
4,18,3798
4,19,4575
4,20,5460
4,21,6458
4,22,7577
4,23,8825
4,24,10208
4,25,11735
4,26,13411
4,27,15244
4,28,17242
4,29,19411
4,30,21760
4,31,24294
4,32,27021
4,33,29949
4,34,33084
4,35,36435
4,36,40007
4,37,43808
4,38,47846
4,39,52127
4,40,56660
4,41,61450
4,42,66505
4,43,71833
4,44,77440
4,45,83335
4,46,89523
4,47,96012
4,48,102810
4,49,109923
4,50,117360
4,51,125126
4,52,133229
4,53,141677
4,54,150476
4,55,159635
4,56,169159
4,57,179056
4,58,189334
4,59,199999
4,60,211060
4,61,222522
4,62,234393
4,63,246681
4,64,259392
4,65,272535
4,66,286115
4,67,300140
4,68,314618
4,69,329555
4,70,344960
4,71,360838
4,72,377197
4,73,394045
4,74,411388
4,75,429235
4,76,447591
4,77,466464
4,78,485862
4,79,505791
4,80,526260
4,81,547274
4,82,568841
4,83,590969
4,84,613664
4,85,636935
4,86,660787
4,87,685228
4,88,710266
4,89,735907
4,90,762160
4,91,789030
4,92,816525
4,93,844653
4,94,873420
4,95,902835
4,96,932903
4,97,963632
4,98,995030
4,99,1027103
4,100,1059860
5,1,0
5,2,15
5,3,52
5,4,122
5,5,237
5,6,406
5,7,637
5,8,942
5,9,1326
5,10,1800
5,11,2369
5,12,3041
5,13,3822
5,14,4719
5,15,5737
5,16,6881
5,17,8155
5,18,9564
5,19,11111
5,20,12800
5,21,14632
5,22,16610
5,23,18737
5,24,21012
5,25,23437
5,26,26012
5,27,28737
5,28,31610
5,29,34632
5,30,37800
5,31,41111
5,32,44564
5,33,48155
5,34,51881
5,35,55737
5,36,59719
5,37,63822
5,38,68041
5,39,72369
5,40,76800
5,41,81326
5,42,85942
5,43,90637
5,44,95406
5,45,100237
5,46,105122
5,47,110052
5,48,115015
5,49,120001
5,50,125000
5,51,131324
5,52,137795
5,53,144410
5,54,151165
5,55,158056
5,56,165079
5,57,172229
5,58,179503
5,59,186894
5,60,194400
5,61,202013
5,62,209728
5,63,217540
5,64,225443
5,65,233431
5,66,241496
5,67,249633
5,68,257834
5,69,267406
5,70,276458
5,71,286328
5,72,296358
5,73,305767
5,74,316074
5,75,326531
5,76,336255
5,77,346965
5,78,357812
5,79,367807
5,80,378880
5,81,390077
5,82,400293
5,83,411686
5,84,423190
5,85,433572
5,86,445239
5,87,457001
5,88,467489
5,89,479378
5,90,491346
5,91,501878
5,92,513934
5,93,526049
5,94,536557
5,95,548720
5,96,560922
5,97,571333
5,98,583539
5,99,591882
5,100,600000
6,1,0
6,2,4
6,3,13
6,4,32
6,5,65
6,6,112
6,7,178
6,8,276
6,9,393
6,10,540
6,11,745
6,12,967
6,13,1230
6,14,1591
6,15,1957
6,16,2457
6,17,3046
6,18,3732
6,19,4526
6,20,5440
6,21,6482
6,22,7666
6,23,9003
6,24,10506
6,25,12187
6,26,14060
6,27,16140
6,28,18439
6,29,20974
6,30,23760
6,31,26811
6,32,30146
6,33,33780
6,34,37731
6,35,42017
6,36,46656
6,37,50653
6,38,55969
6,39,60505
6,40,66560
6,41,71677
6,42,78533
6,43,84277
6,44,91998
6,45,98415
6,46,107069
6,47,114205
6,48,123863
6,49,131766
6,50,142500
6,51,151222
6,52,163105
6,53,172697
6,54,185807
6,55,196322
6,56,210739
6,57,222231
6,58,238036
6,59,250562
6,60,267840
6,61,281456
6,62,300293
6,63,315059
6,64,335544
6,65,351520
6,66,373744
6,67,390991
6,68,415050
6,69,433631
6,70,459620
6,71,479600
6,72,507617
6,73,529063
6,74,559209
6,75,582187
6,76,614566
6,77,639146
6,78,673863
6,79,700115
6,80,737280
6,81,765275
6,82,804997
6,83,834809
6,84,877201
6,85,908905
6,86,954084
6,87,987754
6,88,1035837
6,89,1071552
6,90,1122660
6,91,1160499
6,92,1214753
6,93,1254796
6,94,1312322
6,95,1354652
6,96,1415577
6,97,1460276
6,98,1524731
6,99,1571884
6,100,1640000
